Unnamed: 0,key,doi,size,totalRecords,spMammalnet,spGBIF,file
1,0184679-210914110416597,10.15468/dl.gxbwxv,129.22,447578,Vulpes vulpes,Vulpes vulpes,0184679-210914110416597.zip
2,0184675-210914110416597,10.15468/dl.cpyzff,4.64,24814,Ursus arctos,Ursus arctos,0184675-210914110416597.zip
3,0184672-210914110416597,10.15468/dl.tu3mv7,0.0,1639,Talpa occidentalis,Talpa occidentalis,0184672-210914110416597.zip
4,0184651-210914110416597,10.15468/dl.3ex4re,49.09,198799,Talpa europaea,Talpa europaea,0184651-210914110416597.zip
5,0184650-210914110416597,10.15468/dl.gx69z9,2.07,11328,Tadarida teniotis,Tadarida teniotis,0184650-210914110416597.zip
6,0184649-210914110416597,10.15468/dl.tkqf8t,14.31,42836,Sylvilagus floridanus,Sylvilagus floridanus,0184649-210914110416597.zip
7,0184640-210914110416597,10.15468/dl.q442fm,41.68,185173,Sus scrofa,Sus scrofa,0184640-210914110416597.zip
8,0184639-210914110416597,10.15468/dl.eczxn6,0.0,2395,Suncus etruscus,Suncus etruscus,0184639-210914110416597.zip
9,0184637-210914110416597,10.15468/dl.d4djm5,0.36,1539,Spermophilus citellus,Spermophilus citellus,0184637-210914110416597.zip
10,0184635-210914110416597,10.15468/dl.crgzdv,4.67,27508,Sorex minutus,Sorex minutus,0184635-210914110416597.zip
11,0184631-210914110416597,10.15468/dl.mtsknz,1.34,9604,Sorex coronatus,Sorex coronatus,0184631-210914110416597.zip
12,0184628-210914110416597,10.15468/dl.93h4zv,9.4,67503,Sorex araneus,Sorex araneus,0184628-210914110416597.zip
13,0184612-210914110416597,10.15468/dl.qg73zk,139.41,461284,Sciurus vulgaris,Sciurus vulgaris,0184612-210914110416597.zip
14,0184602-210914110416597,10.15468/dl.bhsk24,271.45,795493,Sciurus meridionalis,Sciurus vulgaris,0184612-210914110416597.zip
15,0184589-210914110416597,10.15468/dl.qvqjck,92.37,254922,Sciurus carolinensis,Sciurus carolinensis,0184589-210914110416597.zip
16,0184588-210914110416597,10.15468/dl.zqf4zq,8.24,61944,Rupicapra rupicapra,Rupicapra rupicapra,0184588-210914110416597.zip
17,0184585-210914110416597,10.15468/dl.3ufcbf,1.45,13430,Rupicapra pyrenaica,Rupicapra pyrenaica,0184585-210914110416597.zip
18,0184582-210914110416597,10.15468/dl.hznb9z,12.21,70334,Rattus rattus,Rattus rattus,0184582-210914110416597.zip
19,0184580-210914110416597,10.15468/dl.ekp8zy,17.79,89616,Rattus norvegicus,Rattus norvegicus,0184580-210914110416597.zip
20,0184573-210914110416597,10.15468/dl.x6q5t5,9.69,46200,Rangifer tarandus,Rangifer tarandus,0184573-210914110416597.zip
21,0184567-210914110416597,10.15468/dl.2y77y5,18.68,59563,Procyon lotor,Procyon lotor,0184567-210914110416597.zip
22,0184526-210914110416597,10.15468/dl.jqqsww,45.19,201427,Phoca vitulina,Phoca vitulina,0184526-210914110416597.zip
23,0184518-210914110416597,10.15468/dl.dmapjb,0.0,5958,Ovis ammon OR Ovis gmelini musimon,Ovis aries,0184518-210914110416597.zip
24,0184499-210914110416597,10.15468/dl.53nuzk,91.22,367747,Oryctolagus cuniculus,Oryctolagus cuniculus,0184499-210914110416597.zip
25,0184478-210914110416597,10.15468/dl.3s8k6c,146.02,860076,Ondatra zibethicus,Ondatra zibethicus,0184478-210914110416597.zip
26,0184474-210914110416597,10.15468/dl.789nd8,2.66,24841,Nyctereutes procyonoides,Nyctereutes procyonoides,0184474-210914110416597.zip
27,0184471-210914110416597,10.15468/dl.r7qpjx,9.79,42006,Neovison vison,Mustela vison,0184471-210914110416597.zip
28,0184467-210914110416597,10.15468/dl.hzbugn,11.32,60139,Myocastor coypus,Myocastor coypus,0184467-210914110416597.zip
29,0184464-210914110416597,10.15468/dl.3793wp,8.12,41969,Mustela putorius,Mustela putorius,0184464-210914110416597.zip
30,0184457-210914110416597,10.15468/dl.adny26,9.59,43569,Mustela nivalis,Mustela nivalis,0184457-210914110416597.zip
31,0184456-210914110416597,10.15468/dl.h9rnu7,0.3,971,Mustela lutreola,Mustela lutreola,0184456-210914110416597.zip
32,0184453-210914110416597,10.15468/dl.wtsyrw,14.95,72688,Mustela erminea,Mustela erminea,0184453-210914110416597.zip
33,0184451-210914110416597,10.15468/dl.r72vz2,13.44,71966,Muscardinus avellanarius,Muscardinus avellanarius,0184451-210914110416597.zip
34,0184433-210914110416597,10.15468/dl.qgykym,35.86,113107,Mus musculus,Mus musculus,0184433-210914110416597.zip
35,0184424-210914110416597,10.15468/dl.3cdy9n,0.0,20172,Muntiacus reevesi,Muntiacus reevesi,0184424-210914110416597.zip
36,0184419-210914110416597,10.15468/dl.3vupf3,4.02,29355,Microtus arvalis,Microtus arvalis,0184419-210914110416597.zip
37,0184408-210914110416597,10.15468/dl.pnjkwm,42.93,167682,Meles meles,Meles meles,0184408-210914110416597.zip
38,0184406-210914110416597,10.15468/dl.qjky6u,9.73,49139,Martes martes,Martes martes,0184406-210914110416597.zip
39,0184404-210914110416597,10.15468/dl.ge37x3,10.9,76958,Martes foina,Martes foina,0184404-210914110416597.zip
40,0184401-210914110416597,10.15468/dl.apcyze,0.0,57269,Marmota marmota,Marmota marmota,0184401-210914110416597.zip
41,0184399-210914110416597,10.15468/dl.8geu87,0.07,387,Lynx pardinus,Lynx pardinus,0184399-210914110416597.zip
42,0184397-210914110416597,10.15468/dl.egd77w,8.53,60700,Lynx lynx,Lynx lynx,0184397-210914110416597.zip
43,0184375-210914110416597,10.15468/dl.vzqkpt,44.23,156180,Lutra lutra,Lutra lutra,0184375-210914110416597.zip
44,0184372-210914110416597,10.15468/dl.fmrms8,0.0,62335,Lepus timidus,Lepus timidus,0184372-210914110416597.zip
45,0184371-210914110416597,10.15468/dl.qtyehb,0.0,6430,Lepus granatensis,Lepus granatensis,0184371-210914110416597.zip
46,0184352-210914110416597,10.15468/dl.a5963g,100.54,455989,Lepus europaeus,Lepus europaeus,0184352-210914110416597.zip
47,0184348-210914110416597,10.15468/dl.guyhnz,0.03,60,Lepus corsicanus,Lepus corsicanus,0184348-210914110416597.zip
48,0184344-210914110416597,10.15468/dl.stsajp,0.03,77,Lepus castroviejoi,Lepus castroviejoi,0184344-210914110416597.zip
49,0184335-210914110416597,10.15468/dl.bshk4a,7.73,52703,Lepus capensis,Lepus capensis,0184335-210914110416597.zip
50,0184332-210914110416597,10.15468/dl.sz5vqz,0.38,920,Hystrix cristata,Hystrix cristata,0184332-210914110416597.zip
51,0184331-210914110416597,10.15468/dl.nv5uxm,0.94,4675,Herpestes ichneumon,Herpestes ichneumon,0184331-210914110416597.zip
52,0184329-210914110416597,10.15468/dl.bnsrh3,0.8,7801,Herpestes auropunctatus,Herpestes auropunctatus,0184329-210914110416597.zip
53,0184311-210914110416597,10.15468/dl.64cg2b,62.55,296199,Halichoerus grypus,Halichoerus grypus,0184311-210914110416597.zip
54,0184309-210914110416597,10.15468/dl.khz7j6,0.0,10860,Glis glis,Glis glis,0184309-210914110416597.zip
55,0184307-210914110416597,10.15468/dl.rpm3jq,3.02,15686,Genetta genetta,Genetta genetta,0184307-210914110416597.zip
56,0184303-210914110416597,10.15468/dl.6jystb,3.54,23064,Felis silvestris,Felis silvestris,0184303-210914110416597.zip
57,0184300-210914110416597,10.15468/dl.dnh3hv,0.73,2217,Erinaceus roumanicus,Erinaceus roumanicus,0184300-210914110416597.zip
58,0184258-210914110416597,10.15468/dl.u4zu38,95.98,378674,Erinaceus europaeus,Erinaceus europaeus,0184258-210914110416597.zip
59,0184257-210914110416597,10.15468/dl.wtf9xj,0.23,726,Erinaceus concolor,Erinaceus concolor,0184257-210914110416597.zip
60,0184254-210914110416597,10.15468/dl.8mbxn5,0.0,10823,Eliomys quercinus,Eliomys quercinus,0184254-210914110416597.zip
61,0184244-210914110416597,10.15468/dl.teefqp,10.47,58957,Dama dama,Dama dama,0184244-210914110416597.zip
62,0184237-210914110416597,10.15468/dl.g2dzab,3.73,32582,Crocidura russula,Crocidura russula,0184237-210914110416597.zip
63,0184233-210914110416597,10.15468/dl.twqppd,0.37,1333,Cricetus cricetus,Cricetus cricetus,0184233-210914110416597.zip
64,0184215-210914110416597,10.15468/dl.8xvxym,22.13,115950,Clethrionomys glareolus,Clethrionomys glareolus,0184215-210914110416597.zip
65,0184211-210914110416597,10.15468/dl.qy8ecv,1.39,6067,Cervus nippon,Cervus nippon,0184211-210914110416597.zip
66,0184199-210914110416597,10.15468/dl.mdkqp4,33.02,123584,Cervus elaphus,Cervus elaphus,0184199-210914110416597.zip
67,0184189-210914110416597,10.15468/dl.pszztr,37.86,169007,Castor fiber,Castor fiber,0184189-210914110416597.zip
68,0184174-210914110416597,10.15468/dl.r5g8qy,158.76,661945,Capreolus capreolus,Capreolus capreolus,0184174-210914110416597.zip
69,0184172-210914110416597,10.15468/dl.bzpxum,186.47,10167,Capra pyrenaica,Capra pyrenaica,0184172-210914110416597.zip
70,0184171-210914110416597,10.15468/dl.gx3hgr,7.01,54643,Capra ibex,Capra ibex,0184171-210914110416597.zip
71,0184170-210914110416597,10.15468/dl.hj5fbn,18.36,95548,Canis lupus,Canis lupus,0184170-210914110416597.zip
72,0184169-210914110416597,10.15468/dl.4qqaxa,1.24,13632,Canis aureus,Canis aureus,0184169-210914110416597.zip
73,0184167-210914110416597,10.15468/dl.twnf45,0.26,1509,Bison bonasus,Bison bonasus,0184167-210914110416597.zip
74,0184165-210914110416597,10.15468/dl.bv53w4,0.67,2309,Axis axis,Axis axis,0184165-210914110416597.zip
75,0184163-210914110416597,10.15468/dl.2pbmks,0.29,1429,Atlantoxerus getulus,Atlantoxerus getulus,0184163-210914110416597.zip
76,0184161-210914110416597,10.15468/dl.h7sym8,0.0,1230,Atelerix algirus,Atelerix algirus,0184161-210914110416597.zip
77,0184160-210914110416597,10.15468/dl.kc7sjk,15.0,83683,Arvicola terrestris,Arvicola amphibius,0184160-210914110416597.zip
