year,lat,lon,coordinateUncertaintyInMeters,coordinatePrecision,scientificNameID,scientificName,speciesKey,species,iucnRedListCategory
2022,29.167686,-103.484565,176.0,,,"Ammotragus lervia (Pallas, 1777)",2441005,Ammotragus lervia,VU
2022,29.825579,-99.635243,1158.0,,,"Ammotragus lervia (Pallas, 1777)",2441005,Ammotragus lervia,VU
2022,29.323496,-100.632655,4.0,,,"Ammotragus lervia (Pallas, 1777)",2441005,Ammotragus lervia,VU
2022,38.669553,-0.233581,83.0,,,"Ammotragus lervia (Pallas, 1777)",2441005,Ammotragus lervia,VU
2022,26.550517,-100.580486,4.0,,,"Ammotragus lervia (Pallas, 1777)",2441005,Ammotragus lervia,VU
2021,43.51883,5.67762,4285.0,,,"Ammotragus lervia (Pallas, 1777)",2441005,Ammotragus lervia,VU
2022,30.713172,-104.969755,4.0,,,"Ammotragus lervia (Pallas, 1777)",2441005,Ammotragus lervia,VU
2021,30.603683,-103.905905,4.0,,,"Ammotragus lervia (Pallas, 1777)",2441005,Ammotragus lervia,VU
2021,29.803618,-100.932018,4.0,,,"Ammotragus lervia (Pallas, 1777)",2441005,Ammotragus lervia,VU
2022,29.278923,-103.327202,35.0,,,"Ammotragus lervia (Pallas, 1777)",2441005,Ammotragus lervia,VU
2021,32.194555,-104.424043,715.0,,,"Ammotragus lervia (Pallas, 1777)",2441005,Ammotragus lervia,VU
2021,30.595978,-103.934872,514.0,,,"Ammotragus lervia (Pallas, 1777)",2441005,Ammotragus lervia,VU
2021,29.235983,-103.405217,,,,"Ammotragus lervia (Pallas, 1777)",2441005,Ammotragus lervia,VU
2021,17.365224,21.714001,30748.0,,,"Ammotragus lervia (Pallas, 1777)",2441005,Ammotragus lervia,VU
2021,32.177995,-104.448154,12226.0,,,"Ammotragus lervia (Pallas, 1777)",2441005,Ammotragus lervia,VU
2022,30.43885,-101.82013,8.0,,,"Ammotragus lervia (Pallas, 1777)",2441005,Ammotragus lervia,VU
2016,30.689401,-103.791544,488.0,,,"Ammotragus lervia (Pallas, 1777)",2441005,Ammotragus lervia,VU
2022,33.424075,-105.305062,8.0,,,"Ammotragus lervia (Pallas, 1777)",2441005,Ammotragus lervia,VU
