year,lat,lon,coordinateUncertaintyInMeters,coordinatePrecision,scientificNameID,scientificName,speciesKey,species,iucnRedListCategory
2022,56.51901,10.65876,5000.0,,,"Apodemus agrarius (Pallas, 1771)",2437761,Apodemus agrarius,LC
2022,55.840456,37.63571,8.0,,,"Apodemus agrarius (Pallas, 1771)",2437761,Apodemus agrarius,LC
2022,55.840581,37.635629,8.0,,,"Apodemus agrarius (Pallas, 1771)",2437761,Apodemus agrarius,LC
2022,52.000958,9.854725,3758.0,,,"Apodemus agrarius (Pallas, 1771)",2437761,Apodemus agrarius,LC
2022,59.980112,30.254299,133.0,,,"Apodemus agrarius (Pallas, 1771)",2437761,Apodemus agrarius,LC
2022,60.023288,30.352339,955.0,,,"Apodemus agrarius (Pallas, 1771)",2437761,Apodemus agrarius,LC
2011,50.368212,34.822962,18869.0,,,"Apodemus agrarius (Pallas, 1771)",2437761,Apodemus agrarius,LC
2021,60.355607,28.630446,488.0,,,"Apodemus agrarius (Pallas, 1771)",2437761,Apodemus agrarius,LC
2019,55.731827,37.80445,172.0,,,"Apodemus agrarius (Pallas, 1771)",2437761,Apodemus agrarius,LC
2022,54.113558,12.050877,1240.0,,,"Apodemus agrarius (Pallas, 1771)",2437761,Apodemus agrarius,LC
2022,50.416807,30.563182,2.0,,,"Apodemus agrarius (Pallas, 1771)",2437761,Apodemus agrarius,LC
2022,50.416792,30.563172,8.0,,,"Apodemus agrarius (Pallas, 1771)",2437761,Apodemus agrarius,LC
2019,50.381828,30.373772,26500.0,,,"Apodemus agrarius (Pallas, 1771)",2437761,Apodemus agrarius,LC
2022,52.081108,9.793824,250.0,,,"Apodemus agrarius (Pallas, 1771)",2437761,Apodemus agrarius,LC
1998,50.673794,12.12349,250.0,,,"Apodemus agrarius (Pallas, 1771)",2437761,Apodemus agrarius,LC
2022,51.99818,9.857574,25.0,,,"Apodemus agrarius (Pallas, 1771)",2437761,Apodemus agrarius,LC
1987,52.438835,16.956156,,,,"Apodemus agrarius (Pallas, 1771)",2437761,Apodemus agrarius,LC
1987,52.438835,16.956156,,,,"Apodemus agrarius (Pallas, 1771)",2437761,Apodemus agrarius,LC
1986,52.438835,16.956156,,,,"Apodemus agrarius (Pallas, 1771)",2437761,Apodemus agrarius,LC
1986,52.438835,16.956156,,,,"Apodemus agrarius (Pallas, 1771)",2437761,Apodemus agrarius,LC
1987,52.438835,16.956156,,,,"Apodemus agrarius (Pallas, 1771)",2437761,Apodemus agrarius,LC
1987,52.438835,16.956156,,,,"Apodemus agrarius (Pallas, 1771)",2437761,Apodemus agrarius,LC
1986,52.438835,16.956156,,,,"Apodemus agrarius (Pallas, 1771)",2437761,Apodemus agrarius,LC
1987,52.438835,16.956156,,,,"Apodemus agrarius (Pallas, 1771)",2437761,Apodemus agrarius,LC
1987,52.438835,16.956156,,,,"Apodemus agrarius (Pallas, 1771)",2437761,Apodemus agrarius,LC
1986,52.438835,16.956156,,,,"Apodemus agrarius (Pallas, 1771)",2437761,Apodemus agrarius,LC
1987,52.438835,16.956156,,,,"Apodemus agrarius (Pallas, 1771)",2437761,Apodemus agrarius,LC
1988,52.450637,17.24777,,,,"Apodemus agrarius (Pallas, 1771)",2437761,Apodemus agrarius,LC
1988,52.423376,16.609241,,,,"Apodemus agrarius (Pallas, 1771)",2437761,Apodemus agrarius,LC
1986,52.423376,16.609241,,,,"Apodemus agrarius (Pallas, 1771)",2437761,Apodemus agrarius,LC
1986,52.423376,16.609241,,,,"Apodemus agrarius (Pallas, 1771)",2437761,Apodemus agrarius,LC
1980,52.41703,16.96048,,,,"Apodemus agrarius (Pallas, 1771)",2437761,Apodemus agrarius,LC
1979,52.40692,16.92993,,,,"Apodemus agrarius (Pallas, 1771)",2437761,Apodemus agrarius,LC
1980,52.39041,16.9317,,,,"Apodemus agrarius (Pallas, 1771)",2437761,Apodemus agrarius,LC
1979,52.40692,16.92993,,,,"Apodemus agrarius (Pallas, 1771)",2437761,Apodemus agrarius,LC
1979,52.40692,16.9299,,,,"Apodemus agrarius (Pallas, 1771)",2437761,Apodemus agrarius,LC
1980,52.40455,16.97616,,,,"Apodemus agrarius (Pallas, 1771)",2437761,Apodemus agrarius,LC
1979,52.42023,16.9687,,,,"Apodemus agrarius (Pallas, 1771)",2437761,Apodemus agrarius,LC
1979,52.42166,16.93617,,,,"Apodemus agrarius (Pallas, 1771)",2437761,Apodemus agrarius,LC
1986,51.932039,16.854146,,,,"Apodemus agrarius (Pallas, 1771)",2437761,Apodemus agrarius,LC
1986,51.932039,16.854146,,,,"Apodemus agrarius (Pallas, 1771)",2437761,Apodemus agrarius,LC
1986,51.932039,16.854146,,,,"Apodemus agrarius (Pallas, 1771)",2437761,Apodemus agrarius,LC
1986,51.932039,16.854146,,,,"Apodemus agrarius (Pallas, 1771)",2437761,Apodemus agrarius,LC
1986,51.932039,16.854146,,,,"Apodemus agrarius (Pallas, 1771)",2437761,Apodemus agrarius,LC
1986,51.932039,16.854146,,,,"Apodemus agrarius (Pallas, 1771)",2437761,Apodemus agrarius,LC
1992,52.082718,15.618813,,,,"Apodemus agrarius (Pallas, 1771)",2437761,Apodemus agrarius,LC
1990,52.082718,15.618813,,,,"Apodemus agrarius (Pallas, 1771)",2437761,Apodemus agrarius,LC
1991,52.082718,15.618813,,,,"Apodemus agrarius (Pallas, 1771)",2437761,Apodemus agrarius,LC
1992,52.082718,15.618813,,,,"Apodemus agrarius (Pallas, 1771)",2437761,Apodemus agrarius,LC
1987,51.130149,15.565891,,,,"Apodemus agrarius (Pallas, 1771)",2437761,Apodemus agrarius,LC
1987,50.99912,15.561805,,,,"Apodemus agrarius (Pallas, 1771)",2437761,Apodemus agrarius,LC
1987,51.162571,15.452482,,,,"Apodemus agrarius (Pallas, 1771)",2437761,Apodemus agrarius,LC
1987,51.17995,15.528215,,,,"Apodemus agrarius (Pallas, 1771)",2437761,Apodemus agrarius,LC
1985,52.446274,16.948836,,,,"Apodemus agrarius (Pallas, 1771)",2437761,Apodemus agrarius,LC
