year,lat,lon,coordinateUncertaintyInMeters,coordinatePrecision,scientificNameID,scientificName,speciesKey,species,iucnRedListCategory
2010,37.035261,-8.025621,122.0,,,"Arvicola sapidus Miller, 1908",2438492,Arvicola sapidus,VU
2021,42.57,0.87,7071.0,,,"Arvicola sapidus Miller, 1908",2438492,Arvicola sapidus,VU
2020,42.4,1.49,7071.0,,,"Arvicola sapidus Miller, 1908",2438492,Arvicola sapidus,VU
2018,41.67,0.9,7071.0,,,"Arvicola sapidus Miller, 1908",2438492,Arvicola sapidus,VU
2018,41.22,0.92,7071.0,,,"Arvicola sapidus Miller, 1908",2438492,Arvicola sapidus,VU
2021,42.3,1.0,7071.0,,,"Arvicola sapidus Miller, 1908",2438492,Arvicola sapidus,VU
2021,40.85,0.22,7071.0,,,"Arvicola sapidus Miller, 1908",2438492,Arvicola sapidus,VU
2020,41.58,0.91,7071.0,,,"Arvicola sapidus Miller, 1908",2438492,Arvicola sapidus,VU
2013,42.80286,1.89801,25.0,,,"Arvicola sapidus Miller, 1908",2438492,Arvicola sapidus,VU
2012,42.71253,2.0869,25.0,,,"Arvicola sapidus Miller, 1908",2438492,Arvicola sapidus,VU
2014,43.00091,1.28118,25.0,,,"Arvicola sapidus Miller, 1908",2438492,Arvicola sapidus,VU
2014,42.85826,1.87895,25.0,,,"Arvicola sapidus Miller, 1908",2438492,Arvicola sapidus,VU
2014,42.87093,1.89057,25.0,,,"Arvicola sapidus Miller, 1908",2438492,Arvicola sapidus,VU
2014,42.70569,1.87168,25.0,,,"Arvicola sapidus Miller, 1908",2438492,Arvicola sapidus,VU
2014,42.70446,1.87402,25.0,,,"Arvicola sapidus Miller, 1908",2438492,Arvicola sapidus,VU
2012,42.76824,1.86415,25.0,,,"Arvicola sapidus Miller, 1908",2438492,Arvicola sapidus,VU
2014,42.70725,1.86685,25.0,,,"Arvicola sapidus Miller, 1908",2438492,Arvicola sapidus,VU
2018,43.81187,-1.36368,4060.0,,,"Arvicola sapidus Miller, 1908",2438492,Arvicola sapidus,VU
2015,43.63419,-1.36476,3085.0,,,"Arvicola sapidus Miller, 1908",2438492,Arvicola sapidus,VU
2014,43.81187,-1.36368,4060.0,,,"Arvicola sapidus Miller, 1908",2438492,Arvicola sapidus,VU
2011,43.56552,-1.35816,3055.0,,,"Arvicola sapidus Miller, 1908",2438492,Arvicola sapidus,VU
2019,42.66012,2.12431,10.0,,,"Arvicola sapidus Miller, 1908",2438492,Arvicola sapidus,VU
