lat,lon,coordinatePrecision,scientificNameID,scientificName,speciesKey,species,iucnRedListCategory
31.22871,-7.42547,1e-05,,"Atelerix algirus (Lereboullet, 1842)",2437136,Atelerix algirus,LC
31.5905,-9.104717,1e-05,,"Atelerix algirus (Lereboullet, 1842)",2437136,Atelerix algirus,LC
34.97345,-4.41163,1e-05,,"Atelerix algirus (Lereboullet, 1842)",2437136,Atelerix algirus,LC
32.76362,-5.00414,1e-05,,"Atelerix algirus (Lereboullet, 1842)",2437136,Atelerix algirus,LC
33.62184,-5.0808,1e-05,,"Atelerix algirus (Lereboullet, 1842)",2437136,Atelerix algirus,LC
28.79285,-10.42849,1e-05,,"Atelerix algirus (Lereboullet, 1842)",2437136,Atelerix algirus,LC
35.102283,-2.86915,1e-05,,"Atelerix algirus (Lereboullet, 1842)",2437136,Atelerix algirus,LC
34.285443,-3.173333,1e-05,,"Atelerix algirus (Lereboullet, 1842)",2437136,Atelerix algirus,LC
31.544517,-8.002867,1e-05,,"Atelerix algirus (Lereboullet, 1842)",2437136,Atelerix algirus,LC
32.258476,-6.105609,1e-05,,"Atelerix algirus (Lereboullet, 1842)",2437136,Atelerix algirus,LC
35.661802,-5.95193,1e-05,,"Atelerix algirus (Lereboullet, 1842)",2437136,Atelerix algirus,LC
34.185417,-5.582283,1e-05,,"Atelerix algirus (Lereboullet, 1842)",2437136,Atelerix algirus,LC
35.07502,-3.2498,1e-05,,"Atelerix algirus (Lereboullet, 1842)",2437136,Atelerix algirus,LC
35.182661,-1.647738,1e-05,,"Atelerix algirus (Lereboullet, 1842)",2437136,Atelerix algirus,LC
34.706183,-3.500979,1e-05,,"Atelerix algirus (Lereboullet, 1842)",2437136,Atelerix algirus,LC
36.58273,8.69487,1e-05,,"Atelerix algirus (Lereboullet, 1842)",2437136,Atelerix algirus,LC
35.02511,-4.16123,1e-05,,"Atelerix algirus (Lereboullet, 1842)",2437136,Atelerix algirus,LC
33.62382,-4.8689,1e-05,,"Atelerix algirus (Lereboullet, 1842)",2437136,Atelerix algirus,LC
34.86801,-2.45206,1e-05,,"Atelerix algirus (Lereboullet, 1842)",2437136,Atelerix algirus,LC
34.525071,-1.912751,1e-05,,"Atelerix algirus (Lereboullet, 1842)",2437136,Atelerix algirus,LC
35.0753,-3.25368,1e-05,,"Atelerix algirus (Lereboullet, 1842)",2437136,Atelerix algirus,LC
32.753637,-5.089792,1e-05,,"Atelerix algirus (Lereboullet, 1842)",2437136,Atelerix algirus,LC
36.464133,8.505733,1e-05,,"Atelerix algirus (Lereboullet, 1842)",2437136,Atelerix algirus,LC
28.271823,-11.564715,1e-05,,"Atelerix algirus (Lereboullet, 1842)",2437136,Atelerix algirus,LC
31.7825,-7.58735,1e-05,,"Atelerix algirus (Lereboullet, 1842)",2437136,Atelerix algirus,LC
34.7389,-2.37559,1e-05,,"Atelerix algirus (Lereboullet, 1842)",2437136,Atelerix algirus,LC
32.472984,-5.992619,1e-05,,"Atelerix algirus (Lereboullet, 1842)",2437136,Atelerix algirus,LC
32.75124,-5.08474,1e-05,,"Atelerix algirus (Lereboullet, 1842)",2437136,Atelerix algirus,LC
33.2456,-5.07164,1e-05,,"Atelerix algirus (Lereboullet, 1842)",2437136,Atelerix algirus,LC
32.894316,-4.999255,1e-05,,"Atelerix algirus (Lereboullet, 1842)",2437136,Atelerix algirus,LC
35.10044,8.73713,1e-05,,"Atelerix algirus (Lereboullet, 1842)",2437136,Atelerix algirus,LC
34.443535,-2.036963,1e-05,,"Atelerix algirus (Lereboullet, 1842)",2437136,Atelerix algirus,LC
34.867574,-3.38623,1e-05,,"Atelerix algirus (Lereboullet, 1842)",2437136,Atelerix algirus,LC
35.368977,-6.015354,1e-05,,"Atelerix algirus (Lereboullet, 1842)",2437136,Atelerix algirus,LC
31.873933,-7.456317,1e-05,,"Atelerix algirus (Lereboullet, 1842)",2437136,Atelerix algirus,LC
28.81815,-10.373785,1e-05,,"Atelerix algirus (Lereboullet, 1842)",2437136,Atelerix algirus,LC
36.4577,8.623017,1e-05,,"Atelerix algirus (Lereboullet, 1842)",2437136,Atelerix algirus,LC
32.749937,-5.031357,1e-05,,"Atelerix algirus (Lereboullet, 1842)",2437136,Atelerix algirus,LC
34.94892,-4.33344,1e-05,,"Atelerix algirus (Lereboullet, 1842)",2437136,Atelerix algirus,LC
29.708333,-9.755,1e-05,,"Atelerix algirus (Lereboullet, 1842)",2437136,Atelerix algirus,LC
36.18397,10.05169,1e-05,,"Atelerix algirus (Lereboullet, 1842)",2437136,Atelerix algirus,LC
