year,lat,lon,coordinateUncertaintyInMeters,coordinatePrecision,scientificNameID,scientificName,speciesKey,species,iucnRedListCategory
2021,41.622,0.606,707.0,,,"Atelerix algirus (Lereboullet, 1842)",2437136,Atelerix algirus,LC
2021,41.638,0.966,707.0,,,"Atelerix algirus (Lereboullet, 1842)",2437136,Atelerix algirus,LC
2021,40.958,0.321,707.0,,,"Atelerix algirus (Lereboullet, 1842)",2437136,Atelerix algirus,LC
2021,40.705,0.71,707.0,,,"Atelerix algirus (Lereboullet, 1842)",2437136,Atelerix algirus,LC
2021,41.169,0.48,707.0,,,"Atelerix algirus (Lereboullet, 1842)",2437136,Atelerix algirus,LC
2021,41.64,0.593,707.0,,,"Atelerix algirus (Lereboullet, 1842)",2437136,Atelerix algirus,LC
2021,41.564,2.407,707.0,,,"Atelerix algirus (Lereboullet, 1842)",2437136,Atelerix algirus,LC
2021,31.225791,-7.907467,29252.0,,,"Atelerix algirus (Lereboullet, 1842)",2437136,Atelerix algirus,LC
2022,39.640278,3.238612,,,,"Atelerix algirus (Lereboullet, 1842)",2437136,Atelerix algirus,LC
2022,28.136352,-14.245441,501.0,,,"Atelerix algirus (Lereboullet, 1842)",2437136,Atelerix algirus,LC
2022,28.161525,-14.229136,555.0,,,"Atelerix algirus (Lereboullet, 1842)",2437136,Atelerix algirus,LC
2021,35.902816,14.485786,50.0,,,"Atelerix algirus (Lereboullet, 1842)",2437136,Atelerix algirus,LC
2022,35.902567,14.485477,199.0,,,"Atelerix algirus (Lereboullet, 1842)",2437136,Atelerix algirus,LC
2021,39.630556,2.775575,189.0,,,"Atelerix algirus (Lereboullet, 1842)",2437136,Atelerix algirus,LC
2021,28.103481,-16.608582,250.0,,,"Atelerix algirus (Lereboullet, 1842)",2437136,Atelerix algirus,LC
2020,27.753674,-15.602056,25.0,,,"Atelerix algirus (Lereboullet, 1842)",2437136,Atelerix algirus,LC
2021,36.542183,6.628203,,,,"Atelerix algirus (Lereboullet, 1842)",2437136,Atelerix algirus,LC
2021,36.542339,6.628408,,,,"Atelerix algirus (Lereboullet, 1842)",2437136,Atelerix algirus,LC
2021,39.827891,2.817719,8.0,,,"Atelerix algirus vagans Thomas, 1901",2437136,Atelerix algirus,
