year,lat,lon,coordinateUncertaintyInMeters,coordinatePrecision,scientificNameID,scientificName,speciesKey,species,iucnRedListCategory
1994,23.70906,81.026105,1063.0,,,"Axis axis (Erxleben, 1777)",2440934,Axis axis,LC
2022,30.442575,-99.812983,,,,"Axis axis (Erxleben, 1777)",2440934,Axis axis,LC
1994,23.70906,81.026105,1063.0,,,"Axis axis (Erxleben, 1777)",2440934,Axis axis,LC
2022,28.374448,-98.992267,382.0,,,"Axis axis (Erxleben, 1777)",2440934,Axis axis,LC
2022,-31.873153,-58.261408,1192.0,,,"Axis axis (Erxleben, 1777)",2440934,Axis axis,LC
2022,29.868226,-98.489734,1191.0,,,"Axis axis (Erxleben, 1777)",2440934,Axis axis,LC
2014,26.017327,76.502574,2704.0,,,"Axis axis (Erxleben, 1777)",2440934,Axis axis,LC
2018,6.292837,81.430487,212.0,,,"Axis axis (Erxleben, 1777)",2440934,Axis axis,LC
2022,30.446935,-99.796905,,,,"Axis axis (Erxleben, 1777)",2440934,Axis axis,LC
2017,26.017327,76.502574,2704.0,,,"Axis axis (Erxleben, 1777)",2440934,Axis axis,LC
2018,6.352929,81.431662,488.0,,,"Axis axis (Erxleben, 1777)",2440934,Axis axis,LC
2022,10.326898,79.839372,2565.0,,,"Axis axis (Erxleben, 1777)",2440934,Axis axis,LC
2022,12.0488,76.153265,277.0,,,"Axis axis (Erxleben, 1777)",2440934,Axis axis,LC
2022,12.805059,80.033472,31057.0,,,"Axis axis (Erxleben, 1777)",2440934,Axis axis,LC
2022,26.85552,75.840584,993.0,,,"Axis axis (Erxleben, 1777)",2440934,Axis axis,LC
2019,-37.92293,-57.821156,11.0,,,"Axis axis (Erxleben, 1777)",2440934,Axis axis,LC
2022,26.85552,75.840584,993.0,,,"Axis axis (Erxleben, 1777)",2440934,Axis axis,LC
2022,26.85552,75.840584,993.0,,,"Axis axis (Erxleben, 1777)",2440934,Axis axis,LC
2022,27.159433,77.5232,8512.0,,,"Axis axis (Erxleben, 1777)",2440934,Axis axis,LC
2022,12.026513,76.137048,1536021.0,,,"Axis axis (Erxleben, 1777)",2440934,Axis axis,LC
2022,12.086219,76.149152,3428.0,,,"Axis axis (Erxleben, 1777)",2440934,Axis axis,LC
2022,30.288174,-98.885441,29382.0,,,"Axis axis (Erxleben, 1777)",2440934,Axis axis,LC
2022,12.048537,76.15314,209.0,,,"Axis axis (Erxleben, 1777)",2440934,Axis axis,LC
2017,6.308984,81.444886,,,,"Axis axis (Erxleben, 1777)",2440934,Axis axis,LC
2022,12.048537,76.15314,209.0,,,"Axis axis (Erxleben, 1777)",2440934,Axis axis,LC
2022,12.030167,76.118306,369.0,,,"Axis axis (Erxleben, 1777)",2440934,Axis axis,LC
2022,-37.092125,-56.900723,,,,"Axis axis (Erxleben, 1777)",2440934,Axis axis,LC
2019,24.695154,80.19024,917.0,,,"Axis axis (Erxleben, 1777)",2440934,Axis axis,LC
2022,27.901517,-98.079422,7.0,,,"Axis axis (Erxleben, 1777)",2440934,Axis axis,LC
2022,22.187933,80.678677,3526.0,,,"Axis axis (Erxleben, 1777)",2440934,Axis axis,LC
2022,29.87485,-98.492824,462.0,,,"Axis axis (Erxleben, 1777)",2440934,Axis axis,LC
2022,-31.869423,-58.245361,8.0,,,"Axis axis (Erxleben, 1777)",2440934,Axis axis,LC
2022,-31.981391,-58.214018,29173.0,,,"Axis axis (Erxleben, 1777)",2440934,Axis axis,LC
2015,27.496088,84.413453,1.0,,,"Axis axis (Erxleben, 1777)",2440934,Axis axis,LC
2021,8.1,80.8,,,2440934.0,"Axis axis (Erxleben, 1777)",2440934,Axis axis,LC
2021,21.136881,-157.214555,10049.0,,,"Axis axis (Erxleben, 1777)",2440934,Axis axis,LC
2014,11.671601,76.368656,5000.0,,,"Axis axis (Erxleben, 1777)",2440934,Axis axis,LC
2022,23.688318,87.676441,,,,"Axis axis (Erxleben, 1777)",2440934,Axis axis,LC
2022,26.872332,75.842041,200.0,,,"Axis axis (Erxleben, 1777)",2440934,Axis axis,LC
2014,11.671601,76.368656,5000.0,,,"Axis axis (Erxleben, 1777)",2440934,Axis axis,LC
2022,11.529204,76.646595,,,,"Axis axis (Erxleben, 1777)",2440934,Axis axis,LC
2008,11.672,76.618,1000.0,,,"Axis axis (Erxleben, 1777)",2440934,Axis axis,LC
2019,20.248383,79.360689,205.0,,,"Axis axis (Erxleben, 1777)",2440934,Axis axis,LC
2019,27.15692,77.523651,232.0,,,"Axis axis (Erxleben, 1777)",2440934,Axis axis,LC
2022,-34.773312,-54.57911,871.0,,,"Axis axis (Erxleben, 1777)",2440934,Axis axis,LC
2002,27.55145,84.405931,244.0,,,"Axis axis (Erxleben, 1777)",2440934,Axis axis,LC
2014,11.671601,76.368656,5000.0,,,"Axis axis (Erxleben, 1777)",2440934,Axis axis,LC
2008,11.672,76.618,1000.0,,,"Axis axis (Erxleben, 1777)",2440934,Axis axis,LC
2008,11.672,76.618,1000.0,,,"Axis axis (Erxleben, 1777)",2440934,Axis axis,LC
2018,11.732534,76.459449,488.0,,,"Axis axis (Erxleben, 1777)",2440934,Axis axis,LC
2022,23.229049,77.364025,2754011.0,,,"Axis axis (Erxleben, 1777)",2440934,Axis axis,LC
2021,-34.996471,150.475105,28762.0,,,"Axis axis (Erxleben, 1777)",2440934,Axis axis,LC
2022,-34.776338,-54.609423,,,,"Axis axis (Erxleben, 1777)",2440934,Axis axis,LC
2018,26.168944,91.796193,,,,"Axis axis (Erxleben, 1777)",2440934,Axis axis,LC
2021,-29.17928,151.02225,10.0,1e-09,1524.0,"Axis axis (Erxleben, 1777)",2440934,Axis axis,LC
2021,-29.17928,151.02225,10.0,1e-09,1524.0,"Axis axis (Erxleben, 1777)",2440934,Axis axis,LC
2021,-29.17928,151.02225,10.0,1e-09,1524.0,"Axis axis (Erxleben, 1777)",2440934,Axis axis,LC
2022,20.615175,-156.292708,3.0,,,"Axis axis (Erxleben, 1777)",2440934,Axis axis,LC
2021,22.058341,88.823159,1572.0,,,"Axis axis (Erxleben, 1777)",2440934,Axis axis,LC
2006,27.165,77.525,2500.0,,,"Axis axis (Erxleben, 1777)",2440934,Axis axis,LC
2022,30.446872,-99.796897,3.0,,,"Axis axis (Erxleben, 1777)",2440934,Axis axis,LC
2011,7.817301,80.640804,283665.0,,,"Axis axis (Erxleben, 1777)",2440934,Axis axis,LC
2006,6.541831,81.529542,,,,"Axis axis (Erxleben, 1777)",2440934,Axis axis,LC
2015,13.217611,101.057831,500.0,,,"Axis axis (Erxleben, 1777)",2440934,Axis axis,LC
2020,26.017327,76.502574,2704.0,,,"Axis axis (Erxleben, 1777)",2440934,Axis axis,LC
2021,10.313132,79.835464,,,,"Axis axis (Erxleben, 1777)",2440934,Axis axis,LC
2009,22.145785,80.660885,2935.0,,,"Axis axis (Erxleben, 1777)",2440934,Axis axis,LC
2006,27.165,77.525,2500.0,,,"Axis axis (Erxleben, 1777)",2440934,Axis axis,LC
2021,11.587316,76.581298,,,,"Axis axis (Erxleben, 1777)",2440934,Axis axis,LC
2021,22.062401,88.818351,3921.0,,,"Axis axis (Erxleben, 1777)",2440934,Axis axis,LC
2021,29.822733,78.218017,2805.0,,,"Axis axis (Erxleben, 1777)",2440934,Axis axis,LC
2022,23.229009,77.364026,1971.0,,,"Axis axis (Erxleben, 1777)",2440934,Axis axis,LC
2020,21.124305,70.824151,9451.0,,,"Axis axis (Erxleben, 1777)",2440934,Axis axis,LC
2022,-34.745404,-54.568837,143.0,,,"Axis axis (Erxleben, 1777)",2440934,Axis axis,LC
1987,27.766812,85.4066,3542.0,,,"Axis axis (Erxleben, 1777)",2440934,Axis axis,LC
2021,22.062401,88.818351,3921.0,,,"Axis axis (Erxleben, 1777)",2440934,Axis axis,LC
2006,26.006,76.497,8000.0,,,"Axis axis (Erxleben, 1777)",2440934,Axis axis,LC
2021,-35.695979,-57.380754,,,,"Axis axis (Erxleben, 1777)",2440934,Axis axis,LC
2021,-35.696073,-57.38032,31.0,,,"Axis axis (Erxleben, 1777)",2440934,Axis axis,LC
2016,21.949727,89.18333,94662.0,,,"Axis axis (Erxleben, 1777)",2440934,Axis axis,LC
2021,11.670502,76.63162,6866.0,,,"Axis axis (Erxleben, 1777)",2440934,Axis axis,LC
2021,22.062401,88.818351,3921.0,,,"Axis axis (Erxleben, 1777)",2440934,Axis axis,LC
2019,28.45903,81.234162,1131.0,,,"Axis axis (Erxleben, 1777)",2440934,Axis axis,LC
2022,12.990777,80.237987,142.0,,,"Axis axis (Erxleben, 1777)",2440934,Axis axis,LC
2021,21.858579,89.721984,5947.0,,,"Axis axis (Erxleben, 1777)",2440934,Axis axis,LC
2007,25.960514,76.442871,,,,"Axis axis (Erxleben, 1777)",2440934,Axis axis,LC
2022,27.915856,-98.56999,4.0,,,"Axis axis (Erxleben, 1777)",2440934,Axis axis,LC
2015,8.563693,81.240093,1953.0,,,"Axis axis (Erxleben, 1777)",2440934,Axis axis,LC
2021,-34.949336,150.495104,28762.0,,,"Axis axis (Erxleben, 1777)",2440934,Axis axis,LC
2021,30.049632,-99.150704,189.0,,,"Axis axis (Erxleben, 1777)",2440934,Axis axis,LC
2020,26.017327,76.502574,2704.0,,,"Axis axis (Erxleben, 1777)",2440934,Axis axis,LC
2006,26.006,76.497,8000.0,,,"Axis axis (Erxleben, 1777)",2440934,Axis axis,LC
2021,15.12003,74.394501,380.0,,,"Axis axis (Erxleben, 1777)",2440934,Axis axis,LC
2020,-3.036458,104.78819,185.0,,,"Axis axis (Erxleben, 1777)",2440934,Axis axis,LC
2021,-30.906355,-57.906923,61.0,,,"Axis axis (Erxleben, 1777)",2440934,Axis axis,LC
2022,23.229009,77.364026,1971.0,,,"Axis axis (Erxleben, 1777)",2440934,Axis axis,LC
2020,26.017327,76.502574,2704.0,,,"Axis axis (Erxleben, 1777)",2440934,Axis axis,LC
2019,27.573742,84.495648,170.0,,,"Axis axis (Erxleben, 1777)",2440934,Axis axis,LC
2021,-34.005489,-53.555868,15.0,,,"Axis axis (Erxleben, 1777)",2440934,Axis axis,LC
2021,13.222606,75.250823,1430.0,,,"Axis axis (Erxleben, 1777)",2440934,Axis axis,LC
2021,12.995474,80.239785,23.0,,,"Axis axis (Erxleben, 1777)",2440934,Axis axis,LC
