year,lat,lon,coordinateUncertaintyInMeters,coordinatePrecision,scientificNameID,scientificName,speciesKey,species,iucnRedListCategory
2022,56.266758,42.280199,25433.0,,,"Bison bonasus (Linnaeus, 1758)",2441184,Bison bonasus,NT
2022,52.489934,34.020854,26036.0,,,"Bison bonasus (Linnaeus, 1758)",2441184,Bison bonasus,NT
2022,56.211959,42.21502,25433.0,,,"Bison bonasus (Linnaeus, 1758)",2441184,Bison bonasus,NT
2022,56.309108,42.300532,25433.0,,,"Bison bonasus (Linnaeus, 1758)",2441184,Bison bonasus,NT
2022,56.274525,42.204974,25433.0,,,"Bison bonasus (Linnaeus, 1758)",2441184,Bison bonasus,NT
2022,53.452855,35.67002,25876.0,,,"Bison bonasus (Linnaeus, 1758)",2441184,Bison bonasus,NT
2022,56.248133,42.297516,25433.0,,,"Bison bonasus (Linnaeus, 1758)",2441184,Bison bonasus,NT
2022,56.343328,42.270505,25433.0,,,"Bison bonasus (Linnaeus, 1758)",2441184,Bison bonasus,NT
2022,56.384192,42.354364,25433.0,,,"Bison bonasus (Linnaeus, 1758)",2441184,Bison bonasus,NT
2022,51.725032,5.657717,26164.0,,,"Bison bonasus (Linnaeus, 1758)",2441184,Bison bonasus,NT
2022,52.732839,23.852843,26004.0,,,"Bison bonasus (Linnaeus, 1758)",2441184,Bison bonasus,NT
2022,56.231326,42.311616,25433.0,,,"Bison bonasus (Linnaeus, 1758)",2441184,Bison bonasus,NT
2022,56.334543,42.260395,25433.0,,,"Bison bonasus (Linnaeus, 1758)",2441184,Bison bonasus,NT
2021,56.247629,42.303776,25433.0,,,"Bison bonasus (Linnaeus, 1758)",2441184,Bison bonasus,NT
2022,56.214862,42.350484,25433.0,,,"Bison bonasus (Linnaeus, 1758)",2441184,Bison bonasus,NT
2021,53.960545,30.353961,25813.0,,,"Bison bonasus (Linnaeus, 1758)",2441184,Bison bonasus,NT
2022,56.206242,42.208827,25433.0,,,"Bison bonasus (Linnaeus, 1758)",2441184,Bison bonasus,NT
2022,56.387894,42.329297,25433.0,,,"Bison bonasus (Linnaeus, 1758)",2441184,Bison bonasus,NT
2022,56.252362,42.392305,25433.0,,,"Bison bonasus (Linnaeus, 1758)",2441184,Bison bonasus,NT
2022,56.278793,42.373089,25433.0,,,"Bison bonasus (Linnaeus, 1758)",2441184,Bison bonasus,NT
2011,52.609298,23.860897,26004.0,,,"Bison bonasus (Linnaeus, 1758)",2441184,Bison bonasus,NT
2021,53.836273,30.316863,25813.0,,,"Bison bonasus (Linnaeus, 1758)",2441184,Bison bonasus,NT
2021,53.891635,30.347546,25813.0,,,"Bison bonasus (Linnaeus, 1758)",2441184,Bison bonasus,NT
2021,56.32504,42.329541,25433.0,,,"Bison bonasus (Linnaeus, 1758)",2441184,Bison bonasus,NT
2022,56.277126,42.339111,25433.0,,,"Bison bonasus (Linnaeus, 1758)",2441184,Bison bonasus,NT
2022,56.385767,42.221078,25433.0,,,"Bison bonasus (Linnaeus, 1758)",2441184,Bison bonasus,NT
2021,56.395797,42.393414,25433.0,,,"Bison bonasus (Linnaeus, 1758)",2441184,Bison bonasus,NT
2022,56.259164,42.228247,25433.0,,,"Bison bonasus (Linnaeus, 1758)",2441184,Bison bonasus,NT
2021,52.259207,4.55614,26068.0,,,"Bison bonasus (Linnaeus, 1758)",2441184,Bison bonasus,NT
2021,56.261826,10.726737,250.0,,,"Bison bonasus (Linnaeus, 1758)",2441184,Bison bonasus,NT
2021,59.09859,16.71192,250.0,,,"Bison bonasus (Linnaeus, 1758)",2441184,Bison bonasus,NT
2021,59.09328,16.71027,1000.0,,,"Bison bonasus (Linnaeus, 1758)",2441184,Bison bonasus,NT
