lat,lon,coordinatePrecision,scientificNameID,scientificName,speciesKey,species,iucnRedListCategory
58.7,23.7,0.1,,"Canis aureus Linnaeus, 1758",5219219,Canis aureus,LC
58.4,27.4,0.1,,"Canis aureus Linnaeus, 1758",5219219,Canis aureus,LC
58.7,23.5,0.1,,"Canis aureus Linnaeus, 1758",5219219,Canis aureus,LC
58.2,24.5,0.1,,"Canis aureus Linnaeus, 1758",5219219,Canis aureus,LC
59.4,24.4,0.1,,"Canis aureus Linnaeus, 1758",5219219,Canis aureus,LC
13.9,105.41,0.01,,"Canis aureus Linnaeus, 1758",5219219,Canis aureus,LC
14.06,105.55,0.01,,"Canis aureus Linnaeus, 1758",5219219,Canis aureus,LC
14.05,105.43,0.01,,"Canis aureus Linnaeus, 1758",5219219,Canis aureus,LC
14.03,105.49,0.01,,"Canis aureus Linnaeus, 1758",5219219,Canis aureus,LC
14.07,105.53,0.01,,"Canis aureus Linnaeus, 1758",5219219,Canis aureus,LC
14.09,105.54,0.01,,"Canis aureus Linnaeus, 1758",5219219,Canis aureus,LC
14.07,105.46,0.01,,"Canis aureus Linnaeus, 1758",5219219,Canis aureus,LC
14.07,105.47,0.01,,"Canis aureus Linnaeus, 1758",5219219,Canis aureus,LC
14.05,105.43,0.01,,"Canis aureus Linnaeus, 1758",5219219,Canis aureus,LC
14.07,105.42,0.01,,"Canis aureus Linnaeus, 1758",5219219,Canis aureus,LC
14.05,105.43,0.01,,"Canis aureus Linnaeus, 1758",5219219,Canis aureus,LC
13.91,105.39,0.01,,"Canis aureus Linnaeus, 1758",5219219,Canis aureus,LC
14.05,105.43,0.01,,"Canis aureus Linnaeus, 1758",5219219,Canis aureus,LC
14.05,105.43,0.01,,"Canis aureus Linnaeus, 1758",5219219,Canis aureus,LC
13.95,105.4,0.01,,"Canis aureus Linnaeus, 1758",5219219,Canis aureus,LC
14.07,105.47,0.01,,"Canis aureus Linnaeus, 1758",5219219,Canis aureus,LC
14.05,105.43,0.01,,"Canis aureus Linnaeus, 1758",5219219,Canis aureus,LC
14.05,105.43,0.01,,"Canis aureus Linnaeus, 1758",5219219,Canis aureus,LC
14.05,105.43,0.01,,"Canis aureus Linnaeus, 1758",5219219,Canis aureus,LC
13.91,105.39,0.01,,"Canis aureus Linnaeus, 1758",5219219,Canis aureus,LC
14.03,105.47,0.01,,"Canis aureus Linnaeus, 1758",5219219,Canis aureus,LC
14.09,105.54,0.01,,"Canis aureus Linnaeus, 1758",5219219,Canis aureus,LC
14.07,105.47,0.01,,"Canis aureus Linnaeus, 1758",5219219,Canis aureus,LC
14.07,105.47,0.01,,"Canis aureus Linnaeus, 1758",5219219,Canis aureus,LC
14.07,105.46,0.01,,"Canis aureus Linnaeus, 1758",5219219,Canis aureus,LC
14.07,105.47,0.01,,"Canis aureus Linnaeus, 1758",5219219,Canis aureus,LC
14.07,105.47,0.01,,"Canis aureus Linnaeus, 1758",5219219,Canis aureus,LC
14.05,105.43,0.01,,"Canis aureus Linnaeus, 1758",5219219,Canis aureus,LC
14.05,105.43,0.01,,"Canis aureus Linnaeus, 1758",5219219,Canis aureus,LC
14.04,105.47,0.01,,"Canis aureus Linnaeus, 1758",5219219,Canis aureus,LC
14.03,105.47,0.01,,"Canis aureus Linnaeus, 1758",5219219,Canis aureus,LC
14.09,105.54,0.01,,"Canis aureus Linnaeus, 1758",5219219,Canis aureus,LC
14.07,105.47,0.01,,"Canis aureus Linnaeus, 1758",5219219,Canis aureus,LC
13.92,105.36,0.01,,"Canis aureus Linnaeus, 1758",5219219,Canis aureus,LC
14.03,105.49,0.01,,"Canis aureus Linnaeus, 1758",5219219,Canis aureus,LC
13.9,105.38,0.01,,"Canis aureus Linnaeus, 1758",5219219,Canis aureus,LC
14.03,105.44,0.01,,"Canis aureus Linnaeus, 1758",5219219,Canis aureus,LC
14.07,105.47,0.01,,"Canis aureus Linnaeus, 1758",5219219,Canis aureus,LC
14.07,105.47,0.01,,"Canis aureus Linnaeus, 1758",5219219,Canis aureus,LC
14.07,105.47,0.01,,"Canis aureus Linnaeus, 1758",5219219,Canis aureus,LC
14.07,105.47,0.01,,"Canis aureus Linnaeus, 1758",5219219,Canis aureus,LC
14.07,105.47,0.01,,"Canis aureus Linnaeus, 1758",5219219,Canis aureus,LC
14.05,105.49,0.01,,"Canis aureus Linnaeus, 1758",5219219,Canis aureus,LC
14.05,105.49,0.01,,"Canis aureus Linnaeus, 1758",5219219,Canis aureus,LC
14.05,105.49,0.01,,"Canis aureus Linnaeus, 1758",5219219,Canis aureus,LC
14.05,105.49,0.01,,"Canis aureus Linnaeus, 1758",5219219,Canis aureus,LC
14.05,105.49,0.01,,"Canis aureus Linnaeus, 1758",5219219,Canis aureus,LC
14.05,105.43,0.01,,"Canis aureus Linnaeus, 1758",5219219,Canis aureus,LC
14.07,105.47,0.01,,"Canis aureus Linnaeus, 1758",5219219,Canis aureus,LC
14.05,105.49,0.01,,"Canis aureus Linnaeus, 1758",5219219,Canis aureus,LC
14.05,105.43,0.01,,"Canis aureus Linnaeus, 1758",5219219,Canis aureus,LC
14.05,105.43,0.01,,"Canis aureus Linnaeus, 1758",5219219,Canis aureus,LC
14.07,105.42,0.01,,"Canis aureus Linnaeus, 1758",5219219,Canis aureus,LC
14.05,105.43,0.01,,"Canis aureus Linnaeus, 1758",5219219,Canis aureus,LC
14.05,105.43,0.01,,"Canis aureus Linnaeus, 1758",5219219,Canis aureus,LC
14.06,105.55,0.01,,"Canis aureus Linnaeus, 1758",5219219,Canis aureus,LC
13.91,105.39,0.01,,"Canis aureus Linnaeus, 1758",5219219,Canis aureus,LC
14.07,105.46,0.01,,"Canis aureus Linnaeus, 1758",5219219,Canis aureus,LC
14.07,105.53,0.01,,"Canis aureus Linnaeus, 1758",5219219,Canis aureus,LC
14.05,105.43,0.01,,"Canis aureus Linnaeus, 1758",5219219,Canis aureus,LC
14.05,105.43,0.01,,"Canis aureus Linnaeus, 1758",5219219,Canis aureus,LC
14.05,105.43,0.01,,"Canis aureus Linnaeus, 1758",5219219,Canis aureus,LC
14.09,105.54,0.01,,"Canis aureus Linnaeus, 1758",5219219,Canis aureus,LC
14.05,105.49,0.01,,"Canis aureus Linnaeus, 1758",5219219,Canis aureus,LC
14.07,105.47,0.01,,"Canis aureus Linnaeus, 1758",5219219,Canis aureus,LC
14.07,105.47,0.01,,"Canis aureus Linnaeus, 1758",5219219,Canis aureus,LC
14.05,105.43,0.01,,"Canis aureus Linnaeus, 1758",5219219,Canis aureus,LC
14.05,105.43,0.01,,"Canis aureus Linnaeus, 1758",5219219,Canis aureus,LC
14.05,105.43,0.01,,"Canis aureus Linnaeus, 1758",5219219,Canis aureus,LC
14.04,105.47,0.01,,"Canis aureus Linnaeus, 1758",5219219,Canis aureus,LC
14.07,105.47,0.01,,"Canis aureus Linnaeus, 1758",5219219,Canis aureus,LC
