year,lat,lon,coordinateUncertaintyInMeters,coordinatePrecision,scientificNameID,scientificName,speciesKey,species,iucnRedListCategory
2022,70.04787,24.993961,100.0,,,"Canis aureus Linnaeus, 1758",5219219,Canis aureus,LC
2022,70.047551,25.021602,100.0,,,"Canis aureus Linnaeus, 1758",5219219,Canis aureus,LC
2021,47.81361,42.76128,19315.0,,,"Canis aureus Linnaeus, 1758",5219219,Canis aureus,LC
2022,32.793472,35.122208,748.0,,,"Canis aureus syriacus Hemprich & Ehrenberg, 1833",5219219,Canis aureus,
2019,27.4113,-11.6911,,,,"Canis aureus Linnaeus, 1758",5219219,Canis aureus,LC
2022,33.134949,35.766337,4.0,,,"Canis aureus Linnaeus, 1758",5219219,Canis aureus,LC
2020,37.464586,49.924645,31.0,,,Canis aureus aureus,5219219,Canis aureus,
2021,38.544983,27.03627,,,,"Canis aureus Linnaeus, 1758",5219219,Canis aureus,LC
2022,45.752512,27.324739,4.0,,,"Canis aureus Linnaeus, 1758",5219219,Canis aureus,LC
2019,15.51,-15.73,,,,"Canis aureus Linnaeus, 1758",5219219,Canis aureus,LC
2021,15.51,-15.73,,,,"Canis aureus Linnaeus, 1758",5219219,Canis aureus,LC
2021,15.51,-15.73,,,,"Canis aureus Linnaeus, 1758",5219219,Canis aureus,LC
2019,15.51,-15.73,,,,"Canis aureus Linnaeus, 1758",5219219,Canis aureus,LC
2021,15.51,-15.73,,,,"Canis aureus Linnaeus, 1758",5219219,Canis aureus,LC
2019,15.51,-15.73,,,,"Canis aureus Linnaeus, 1758",5219219,Canis aureus,LC
2019,15.51,-15.73,,,,"Canis aureus Linnaeus, 1758",5219219,Canis aureus,LC
2019,15.51,-15.73,,,,"Canis aureus Linnaeus, 1758",5219219,Canis aureus,LC
2021,15.51,-15.73,,,,"Canis aureus Linnaeus, 1758",5219219,Canis aureus,LC
2018,15.51,-15.73,,,,"Canis aureus Linnaeus, 1758",5219219,Canis aureus,LC
2018,15.51,-15.73,,,,"Canis aureus Linnaeus, 1758",5219219,Canis aureus,LC
2018,15.51,-15.73,,,,"Canis aureus Linnaeus, 1758",5219219,Canis aureus,LC
2018,15.51,-15.73,,,,"Canis aureus Linnaeus, 1758",5219219,Canis aureus,LC
2018,15.51,-15.73,,,,"Canis aureus Linnaeus, 1758",5219219,Canis aureus,LC
2021,15.51,-15.73,,,,"Canis aureus Linnaeus, 1758",5219219,Canis aureus,LC
2021,15.51,-15.73,,,,"Canis aureus Linnaeus, 1758",5219219,Canis aureus,LC
2021,15.51,-15.73,,,,"Canis aureus Linnaeus, 1758",5219219,Canis aureus,LC
2021,15.51,-15.73,,,,"Canis aureus Linnaeus, 1758",5219219,Canis aureus,LC
2021,15.51,-15.73,,,,"Canis aureus Linnaeus, 1758",5219219,Canis aureus,LC
2021,15.51,-15.73,,,,"Canis aureus Linnaeus, 1758",5219219,Canis aureus,LC
2021,15.51,-15.73,,,,"Canis aureus Linnaeus, 1758",5219219,Canis aureus,LC
2021,15.51,-15.73,,,,"Canis aureus Linnaeus, 1758",5219219,Canis aureus,LC
2021,15.51,-15.73,,,,"Canis aureus Linnaeus, 1758",5219219,Canis aureus,LC
2021,15.51,-15.73,,,,"Canis aureus Linnaeus, 1758",5219219,Canis aureus,LC
2022,70.047551,25.021602,100.0,,,"Canis aureus Linnaeus, 1758",5219219,Canis aureus,LC
2022,70.047551,25.021602,100.0,,,"Canis aureus Linnaeus, 1758",5219219,Canis aureus,LC
