lat,lon,coordinatePrecision,scientificNameID,scientificName,speciesKey,species,iucnRedListCategory
41.7696,-8.120584,0.0791321427928073,,"Capra pyrenaica Schinz, 1838",2441054,Capra pyrenaica,LC
41.899934,-7.912132,0.0792272927778407,,"Capra pyrenaica Schinz, 1838",2441054,Capra pyrenaica,LC
41.791092,-8.003251,0.0791259449052484,,"Capra pyrenaica Schinz, 1838",2441054,Capra pyrenaica,LC
41.944415,-8.173893,0.0793380673542672,,"Capra pyrenaica Schinz, 1838",2441054,Capra pyrenaica,LC
41.857014,-8.147186,0.0792351961039779,,"Capra pyrenaica Schinz, 1838",2441054,Capra pyrenaica,LC
41.747971,-8.237845,0.0791283179990034,,"Capra pyrenaica Schinz, 1838",2441054,Capra pyrenaica,LC
42.031795,-8.200697,0.0794470751371232,,"Capra pyrenaica Schinz, 1838",2441054,Capra pyrenaica,LC
41.835345,-8.2646,0.0792344522860133,,"Capra pyrenaica Schinz, 1838",2441054,Capra pyrenaica,LC
41.878539,-8.029691,0.0792368434913783,,"Capra pyrenaica Schinz, 1838",2441054,Capra pyrenaica,LC
42.053398,-8.082905,0.0794425371496094,,"Capra pyrenaica Schinz, 1838",2441054,Capra pyrenaica,LC
41.835339,-8.264613,0.07919,,"Capra pyrenaica Schinz, 1838",2441054,Capra pyrenaica,LC
41.878534,-8.029699,0.079187,,"Capra pyrenaica Schinz, 1838",2441054,Capra pyrenaica,LC
41.769586,-8.120589,0.079134,,"Capra pyrenaica Schinz, 1838",2441054,Capra pyrenaica,LC
41.857005,-8.147192,0.079189,,"Capra pyrenaica Schinz, 1838",2441054,Capra pyrenaica,LC
42.05339,-8.082905,0.079401,,"Capra pyrenaica Schinz, 1838",2441054,Capra pyrenaica,LC
41.899926,-7.912132,0.079186,,"Capra pyrenaica Schinz, 1838",2441054,Capra pyrenaica,LC
41.944406,-8.173899,0.079295,,"Capra pyrenaica Schinz, 1838",2441054,Capra pyrenaica,LC
42.031789,-8.20071,0.079402,,"Capra pyrenaica Schinz, 1838",2441054,Capra pyrenaica,LC
41.791079,-8.00325,0.079082,,"Capra pyrenaica Schinz, 1838",2441054,Capra pyrenaica,LC
41.747956,-8.237855,0.079084,,"Capra pyrenaica Schinz, 1838",2441054,Capra pyrenaica,LC
