year,lat,lon,coordinateUncertaintyInMeters,coordinatePrecision,scientificNameID,scientificName,speciesKey,species,iucnRedListCategory
2022,37.081799,-3.53573,,,,"Capra pyrenaica hispanica Schimper, 1848",2441054,Capra pyrenaica,
2022,40.784416,-2.171178,68.0,,,"Capra pyrenaica Schinz, 1838",2441054,Capra pyrenaica,LC
2022,38.201307,-2.698387,43429.0,,,"Capra pyrenaica hispanica Schimper, 1848",2441054,Capra pyrenaica,
2016,40.299701,-5.089046,1654.0,,,"Capra pyrenaica victoriae Cabrera, 1911",2441054,Capra pyrenaica,
2021,41.311,0.844,707.0,,,"Capra pyrenaica Schinz, 1838",2441054,Capra pyrenaica,LC
2021,41.163,0.623,707.0,,,"Capra pyrenaica Schinz, 1838",2441054,Capra pyrenaica,LC
2021,42.061,3.128,707.0,,,"Capra pyrenaica Schinz, 1838",2441054,Capra pyrenaica,LC
2021,42.07,3.212,707.0,,,"Capra pyrenaica Schinz, 1838",2441054,Capra pyrenaica,LC
2021,42.061,3.115,707.0,,,"Capra pyrenaica Schinz, 1838",2441054,Capra pyrenaica,LC
2021,41.024,0.449,707.0,,,"Capra pyrenaica Schinz, 1838",2441054,Capra pyrenaica,LC
2021,42.695,1.163,707.0,,,"Capra pyrenaica Schinz, 1838",2441054,Capra pyrenaica,LC
2021,40.885,0.289,707.0,,,"Capra pyrenaica Schinz, 1838",2441054,Capra pyrenaica,LC
2021,41.163,0.611,707.0,,,"Capra pyrenaica Schinz, 1838",2441054,Capra pyrenaica,LC
2021,41.221,0.382,707.0,,,"Capra pyrenaica Schinz, 1838",2441054,Capra pyrenaica,LC
2021,41.232,0.477,707.0,,,"Capra pyrenaica Schinz, 1838",2441054,Capra pyrenaica,LC
2021,42.07,3.2,707.0,,,"Capra pyrenaica Schinz, 1838",2441054,Capra pyrenaica,LC
2021,42.742,0.759,707.0,,,"Capra pyrenaica Schinz, 1838",2441054,Capra pyrenaica,LC
2021,40.941,0.369,707.0,,,"Capra pyrenaica Schinz, 1838",2441054,Capra pyrenaica,LC
2021,40.894,0.3,707.0,,,"Capra pyrenaica Schinz, 1838",2441054,Capra pyrenaica,LC
2021,40.904,0.323,707.0,,,"Capra pyrenaica Schinz, 1838",2441054,Capra pyrenaica,LC
2021,40.885,0.3,707.0,,,"Capra pyrenaica Schinz, 1838",2441054,Capra pyrenaica,LC
2021,41.587,1.819,707.0,,,"Capra pyrenaica Schinz, 1838",2441054,Capra pyrenaica,LC
2021,41.578,1.831,707.0,,,"Capra pyrenaica Schinz, 1838",2441054,Capra pyrenaica,LC
2021,40.923,0.358,707.0,,,"Capra pyrenaica Schinz, 1838",2441054,Capra pyrenaica,LC
2021,41.596,1.855,707.0,,,"Capra pyrenaica Schinz, 1838",2441054,Capra pyrenaica,LC
2021,41.596,1.843,707.0,,,"Capra pyrenaica Schinz, 1838",2441054,Capra pyrenaica,LC
2021,41.587,1.843,707.0,,,"Capra pyrenaica Schinz, 1838",2441054,Capra pyrenaica,LC
2020,41.596,1.807,707.0,,,"Capra pyrenaica Schinz, 1838",2441054,Capra pyrenaica,LC
2020,40.778,0.317,707.0,,,"Capra pyrenaica Schinz, 1838",2441054,Capra pyrenaica,LC
2020,40.95,0.381,707.0,,,"Capra pyrenaica Schinz, 1838",2441054,Capra pyrenaica,LC
2020,41.605,1.807,707.0,,,"Capra pyrenaica Schinz, 1838",2441054,Capra pyrenaica,LC
2019,41.604,1.783,707.0,,,"Capra pyrenaica Schinz, 1838",2441054,Capra pyrenaica,LC
2019,40.778,0.34,707.0,,,"Capra pyrenaica Schinz, 1838",2441054,Capra pyrenaica,LC
2018,40.824,0.374,707.0,,,"Capra pyrenaica Schinz, 1838",2441054,Capra pyrenaica,LC
2019,42.052,3.14,707.0,,,"Capra pyrenaica Schinz, 1838",2441054,Capra pyrenaica,LC
2021,41.043,0.496,707.0,,,"Capra pyrenaica Schinz, 1838",2441054,Capra pyrenaica,LC
2021,40.895,0.312,707.0,,,"Capra pyrenaica Schinz, 1838",2441054,Capra pyrenaica,LC
2021,41.108,0.577,707.0,,,"Capra pyrenaica Schinz, 1838",2441054,Capra pyrenaica,LC
2021,40.913,0.323,707.0,,,"Capra pyrenaica Schinz, 1838",2441054,Capra pyrenaica,LC
2021,42.052,3.128,707.0,,,"Capra pyrenaica Schinz, 1838",2441054,Capra pyrenaica,LC
2021,42.714,1.236,707.0,,,"Capra pyrenaica Schinz, 1838",2441054,Capra pyrenaica,LC
2021,41.613,1.77,707.0,,,"Capra pyrenaica Schinz, 1838",2441054,Capra pyrenaica,LC
2021,41.172,0.611,707.0,,,"Capra pyrenaica Schinz, 1838",2441054,Capra pyrenaica,LC
2021,41.587,1.807,707.0,,,"Capra pyrenaica Schinz, 1838",2441054,Capra pyrenaica,LC
2021,42.779,0.831,707.0,,,"Capra pyrenaica Schinz, 1838",2441054,Capra pyrenaica,LC
2021,41.596,1.831,707.0,,,"Capra pyrenaica Schinz, 1838",2441054,Capra pyrenaica,LC
2021,42.65,1.152,707.0,,,"Capra pyrenaica Schinz, 1838",2441054,Capra pyrenaica,LC
2021,41.007,0.486,707.0,,,"Capra pyrenaica Schinz, 1838",2441054,Capra pyrenaica,LC
2021,40.705,0.284,707.0,,,"Capra pyrenaica Schinz, 1838",2441054,Capra pyrenaica,LC
2020,41.605,1.819,707.0,,,"Capra pyrenaica Schinz, 1838",2441054,Capra pyrenaica,LC
2020,41.587,1.831,707.0,,,"Capra pyrenaica Schinz, 1838",2441054,Capra pyrenaica,LC
2018,40.813,0.291,707.0,,,"Capra pyrenaica Schinz, 1838",2441054,Capra pyrenaica,LC
2018,41.578,1.843,707.0,,,"Capra pyrenaica Schinz, 1838",2441054,Capra pyrenaica,LC
2018,37.85514,-3.017571,30163.0,,,"Capra pyrenaica Schinz, 1838",2441054,Capra pyrenaica,LC
2022,37.103849,-3.39643,105.0,,,"Capra pyrenaica Schinz, 1838",2441054,Capra pyrenaica,LC
2017,42.73397,1.3049,25.0,,,"Capra pyrenaica Schinz, 1838",2441054,Capra pyrenaica,LC
2017,42.82938,0.05097,1000.0,,,"Capra pyrenaica Schinz, 1838",2441054,Capra pyrenaica,LC
2019,42.74837,1.29533,1000.0,,,"Capra pyrenaica Schinz, 1838",2441054,Capra pyrenaica,LC
2019,42.77391,1.26296,7337.0,,,"Capra pyrenaica Schinz, 1838",2441054,Capra pyrenaica,LC
2020,42.88122,-0.20624,7727.0,,,Capra pyrenaica pyrenaica,2441054,Capra pyrenaica,
2020,42.88122,-0.20624,7727.0,,,"Capra pyrenaica Schinz, 1838",2441054,Capra pyrenaica,LC
