lat,lon,coordinatePrecision,scientificNameID,scientificName,speciesKey,species,iucnRedListCategory
41.299667,-7.41082,1e-05,,"Capreolus capreolus (Linnaeus, 1758)",5220126.0,Capreolus capreolus,LC
41.34381,-7.312102,1e-05,,"Capreolus capreolus (Linnaeus, 1758)",5220126.0,Capreolus capreolus,LC
41.369846,-7.250784,1e-05,,"Capreolus capreolus (Linnaeus, 1758)",5220126.0,Capreolus capreolus,LC
41.347506,-7.286619,1e-05,,"Capreolus capreolus (Linnaeus, 1758)",5220126.0,Capreolus capreolus,LC
41.334009,-7.320444,1e-05,,"Capreolus capreolus (Linnaeus, 1758)",5220126.0,Capreolus capreolus,LC
41.347711,-7.286341,1e-05,,"Capreolus capreolus (Linnaeus, 1758)",5220126.0,Capreolus capreolus,LC
41.287786,-7.381824,1e-05,,"Capreolus capreolus (Linnaeus, 1758)",5220126.0,Capreolus capreolus,LC
41.369649,-7.25093,1e-05,,"Capreolus capreolus (Linnaeus, 1758)",5220126.0,Capreolus capreolus,LC
41.300319,-7.365371,1e-05,,"Capreolus capreolus (Linnaeus, 1758)",5220126.0,Capreolus capreolus,LC
41.287786,-7.381824,1e-05,,"Capreolus capreolus (Linnaeus, 1758)",5220126.0,Capreolus capreolus,LC
41.281214,-7.365559,1e-05,,"Capreolus capreolus (Linnaeus, 1758)",5220126.0,Capreolus capreolus,LC
41.387647,-7.226586,1e-05,,"Capreolus capreolus (Linnaeus, 1758)",5220126.0,Capreolus capreolus,LC
41.37887,-7.196285,1e-05,,"Capreolus capreolus (Linnaeus, 1758)",5220126.0,Capreolus capreolus,LC
41.34381,-7.312102,1e-05,,"Capreolus capreolus (Linnaeus, 1758)",5220126.0,Capreolus capreolus,LC
41.318611,-7.363533,1e-05,,"Capreolus capreolus (Linnaeus, 1758)",5220126.0,Capreolus capreolus,LC
41.345714,-7.275674,1e-05,,"Capreolus capreolus (Linnaeus, 1758)",5220126.0,Capreolus capreolus,LC
41.367217,-7.274735,1e-05,,"Capreolus capreolus (Linnaeus, 1758)",5220126.0,Capreolus capreolus,LC
41.265461,-7.383941,1e-05,,"Capreolus capreolus (Linnaeus, 1758)",5220126.0,Capreolus capreolus,LC
41.300319,-7.365371,1e-05,,"Capreolus capreolus (Linnaeus, 1758)",5220126.0,Capreolus capreolus,LC
41.287812,-7.37761,1e-05,,"Capreolus capreolus (Linnaeus, 1758)",5220126.0,Capreolus capreolus,LC
41.332492,-7.292057,1e-05,,"Capreolus capreolus (Linnaeus, 1758)",5220126.0,Capreolus capreolus,LC
41.2175,-7.433259,1e-05,,"Capreolus capreolus (Linnaeus, 1758)",5220126.0,Capreolus capreolus,LC
41.239573,-7.414809,1e-05,,"Capreolus capreolus (Linnaeus, 1758)",5220126.0,Capreolus capreolus,LC
41.240204,-7.426719,1e-05,,"Capreolus capreolus (Linnaeus, 1758)",5220126.0,Capreolus capreolus,LC
41.224319,-7.417588,1e-05,,"Capreolus capreolus (Linnaeus, 1758)",5220126.0,Capreolus capreolus,LC
41.327339,-7.368113,1e-05,,"Capreolus capreolus (Linnaeus, 1758)",5220126.0,Capreolus capreolus,LC
