year,lat,lon,coordinateUncertaintyInMeters,coordinatePrecision,scientificNameID,scientificName,speciesKey,species,iucnRedListCategory
2022,55.79746,9.7232,50.0,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2022,51.17638,3.15321,200.0,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2019,34.683083,135.834122,4.0,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2022,35.40405,138.87726,10.0,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2022,50.673491,-1.956433,8.0,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2015,50.57622,5.30478,49.0,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2021,55.62299,11.4283,50.0,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2021,56.24236,9.94058,5000.0,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2022,49.557669,36.357899,,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2022,49.559099,36.347646,,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2022,49.569487,36.355367,,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2022,49.61474,36.320594,,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2022,49.600359,36.325572,,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2022,49.412818,36.900985,,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2022,49.386617,37.003946,,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2022,49.388801,37.010349,,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2022,49.392138,37.014083,,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2019,50.687399,-2.066642,26325.0,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2019,50.640296,-2.128059,26325.0,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2006,38.203243,-75.156965,600.0,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2006,38.216054,-75.150243,31.0,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2012,49.9515,6.15535,,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2014,56.27686,9.85508,5000.0,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2021,54.79455,11.23878,5000.0,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2018,50.69663,-2.047167,7.1,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2014,50.688494,-2.041708,70.7,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2017,44.2206,-0.51542,9362.0,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2017,44.2206,-0.51542,9362.0,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
1974,43.10166,6.1899,18915.0,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2012,46.8565,6.34797,5000.0,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2016,47.50354,5.72377,5000.0,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2014,47.67343,6.13252,5000.0,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2004,47.32044,5.84695,5000.0,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
1996,47.94322,6.14846,5000.0,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2006,34.686818,135.839698,,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2006,34.686818,135.839698,,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2006,34.686818,135.839698,,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2022,38.440713,-75.873892,15.0,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2006,34.686539,135.839879,,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2006,34.686539,135.839879,,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2006,34.686539,135.839879,,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2006,34.686539,135.839879,,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2006,34.686539,135.839879,,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2021,40.86519,-72.915818,21509.0,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2006,34.686818,135.839698,,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2006,34.686818,135.839698,,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
1972,37.901192,-75.349586,1079.0,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2021,55.57963,-3.23411,50.0,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2022,35.40965,139.169943,31.0,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2020,34.685109,135.804802,25643.0,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2022,38.093283,-75.207064,21356.0,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2007,31.946406,130.845794,110.0,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2022,38.198949,-75.15694,154.0,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2021,50.19269,5.5906,156.0,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2021,40.831387,-72.917126,4.0,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2013,34.294263,132.324613,202.0,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2011,55.891086,37.781715,711.0,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2021,44.959705,136.539707,61.0,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2018,37.957479,-75.298502,5125.0,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2021,35.386522,138.379195,5.0,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2021,36.76304,139.408879,122.0,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2021,50.81755,-1.496353,32.0,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2021,38.418028,-76.199241,12.0,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2021,30.428537,104.123667,29356.0,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2019,52.04481,-9.527503,219.0,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2021,38.468711,-76.097211,2478.0,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2021,28.522922,119.817177,29607.0,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2020,52.208959,25.022543,31.0,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2021,36.204824,138.252924,1683585.0,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2022,38.199725,-75.158269,399.0,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2021,55.783495,12.57341,,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2015,34.688429,135.850307,280.0,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2018,37.95297,-75.31325,2557.0,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2019,34.685482,135.804802,25643.0,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2022,50.344804,14.580193,234.0,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2009,34.684862,135.842379,,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2021,35.814922,138.718338,5.0,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2011,50.956873,-0.327906,74.0,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2021,38.197593,-75.156053,,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2021,53.865025,30.265033,31.0,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2020,34.687063,135.850342,5.0,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2019,34.68434,135.831513,4.0,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2021,38.060797,-75.236238,42047.0,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2020,34.762133,135.947015,28790.0,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2021,43.703255,5.781175,6.0,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2008,34.680733,135.818792,438.0,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2020,35.632423,139.265567,31.0,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2020,34.688387,135.837555,10.0,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2019,57.457779,-4.380833,,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2021,50.683137,-2.105325,8.0,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2022,56.218103,9.923567,0.5,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2022,56.294763,9.904673,0.5,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2021,50.692095,-1.972341,70.7,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2021,50.678133,-2.079205,707.1,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2021,51.477722,8.182111,250.0,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
1912,43.1,131.9,,,,"Cervus nippon mantchuricus Swinhoe, 1864",2440954,Cervus nippon,
1911,42.77,132.33,,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2021,55.53441,8.24652,5000.0,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2021,56.2513,9.90629,5000.0,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2021,55.7925,12.5633,92.0,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2021,50.96796,5.32241,15.0,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2021,56.46358,9.72983,128.52,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2021,56.077931,-3.664642,945.0,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2021,38.215531,-75.150403,,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2020,29.932709,-100.077029,5.0,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2021,37.89577,-75.3643,,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2020,37.816922,-75.475209,28329.0,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2021,37.898155,-75.363669,349.0,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2021,38.205883,-75.15817,15.0,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2021,50.671596,-2.432197,111.0,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2021,38.428857,-76.184895,878.0,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2020,38.218579,-75.1476,228.0,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2009,37.912218,-75.338827,1638.0,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2021,57.068052,-4.171749,,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2021,34.288691,132.31879,5.0,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2021,52.048657,-9.532242,,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2021,38.20558,-75.15196,2478.0,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2015,34.29752,132.319655,5.0,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2019,38.746383,-76.101416,28210.0,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2021,38.192381,-75.157621,274.0,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2021,47.2665,15.308241,180.0,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2021,54.597557,-7.606169,365.0,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2019,21.96327,120.824622,10.0,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2021,49.95765,4.99639,8.0,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2013,36.900185,139.296502,,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2013,36.84917,139.271708,,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2013,36.826248,139.348751,,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2013,36.214766,138.787242,,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2021,38.193878,-75.158497,,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
2019,41.244011,-73.588857,187.0,,,"Cervus nippon Temminck, 1838",2440954,Cervus nippon,LC
