lat,lon,coordinatePrecision,scientificNameID,scientificName,speciesKey,species,iucnRedListCategory
52.844,6.852,0.01,,"Crocidura russula (Hermann, 1780)",2435654,Crocidura russula,LC
51.953,6.3072,1e-05,,"Crocidura russula (Hermann, 1780)",2435654,Crocidura russula,LC
52.05448,6.22005,1e-05,,"Crocidura russula (Hermann, 1780)",2435654,Crocidura russula,LC
51.64664,4.83395,1e-05,,"Crocidura russula (Hermann, 1780)",2435654,Crocidura russula,LC
50.79498,5.76689,1e-05,,"Crocidura russula (Hermann, 1780)",2435654,Crocidura russula,LC
53.02067,6.05587,1e-05,,"Crocidura russula (Hermann, 1780)",2435654,Crocidura russula,LC
50.83601,5.70254,1e-05,,"Crocidura russula (Hermann, 1780)",2435654,Crocidura russula,LC
51.20483,5.6622,1e-05,,"Crocidura russula (Hermann, 1780)",2435654,Crocidura russula,LC
51.86805,4.64252,1e-05,,"Crocidura russula (Hermann, 1780)",2435654,Crocidura russula,LC
51.82194,5.87412,1e-05,,"Crocidura russula (Hermann, 1780)",2435654,Crocidura russula,LC
51.87059,4.64805,1e-05,,"Crocidura russula (Hermann, 1780)",2435654,Crocidura russula,LC
50.83609,5.7025,1e-05,,"Crocidura russula (Hermann, 1780)",2435654,Crocidura russula,LC
52.29371,6.13544,1e-05,,"Crocidura russula (Hermann, 1780)",2435654,Crocidura russula,LC
51.08708,5.94505,1e-05,,"Crocidura russula (Hermann, 1780)",2435654,Crocidura russula,LC
52.06553,6.0007,1e-05,,"Crocidura russula (Hermann, 1780)",2435654,Crocidura russula,LC
51.94484,6.33948,1e-05,,"Crocidura russula (Hermann, 1780)",2435654,Crocidura russula,LC
52.31373,5.04904,1e-05,,"Crocidura russula (Hermann, 1780)",2435654,Crocidura russula,LC
51.22091,5.79213,1e-05,,"Crocidura russula (Hermann, 1780)",2435654,Crocidura russula,LC
50.79037,5.73703,1e-05,,"Crocidura russula (Hermann, 1780)",2435654,Crocidura russula,LC
52.63272,5.02211,1e-05,,"Crocidura russula (Hermann, 1780)",2435654,Crocidura russula,LC
51.45766,6.17713,1e-05,,"Crocidura russula (Hermann, 1780)",2435654,Crocidura russula,LC
52.14511,4.83234,1e-05,,"Crocidura russula (Hermann, 1780)",2435654,Crocidura russula,LC
51.90969,4.23673,1e-05,,"Crocidura russula (Hermann, 1780)",2435654,Crocidura russula,LC
52.2214,4.4881,0.0001,,"Crocidura russula (Hermann, 1780)",2435654,Crocidura russula,LC
51.38,5.59,0.01,,"Crocidura russula (Hermann, 1780)",2435654,Crocidura russula,LC
51.8938,4.6582,0.0001,,"Crocidura russula (Hermann, 1780)",2435654,Crocidura russula,LC
51.8938,4.6582,0.0001,,"Crocidura russula (Hermann, 1780)",2435654,Crocidura russula,LC
52.02,5.14,0.01,,"Crocidura russula (Hermann, 1780)",2435654,Crocidura russula,LC
51.853,4.5476,0.0001,,"Crocidura russula (Hermann, 1780)",2435654,Crocidura russula,LC
51.9952,4.4931,0.0001,,"Crocidura russula (Hermann, 1780)",2435654,Crocidura russula,LC
53.13,6.56,0.01,,"Crocidura russula (Hermann, 1780)",2435654,Crocidura russula,LC
51.8938,4.6582,0.0001,,"Crocidura russula (Hermann, 1780)",2435654,Crocidura russula,LC
51.85,4.55,0.01,,"Crocidura russula (Hermann, 1780)",2435654,Crocidura russula,LC
51.8552,4.5503,0.0001,,"Crocidura russula (Hermann, 1780)",2435654,Crocidura russula,LC
51.9,4.5,0.1,,"Crocidura russula (Hermann, 1780)",2435654,Crocidura russula,LC
51.91,4.4,0.01,,"Crocidura russula (Hermann, 1780)",2435654,Crocidura russula,LC
52.22163,4.48816,1e-05,,"Crocidura russula (Hermann, 1780)",2435654,Crocidura russula,LC
51.957,4.472,0.001,,"Crocidura russula (Hermann, 1780)",2435654,Crocidura russula,LC
51.877,4.519,0.001,,"Crocidura russula (Hermann, 1780)",2435654,Crocidura russula,LC
51.854,4.546,0.001,,"Crocidura russula (Hermann, 1780)",2435654,Crocidura russula,LC
51.38,5.59,0.01,,"Crocidura russula (Hermann, 1780)",2435654,Crocidura russula,LC
51.85,4.55,0.01,,"Crocidura russula (Hermann, 1780)",2435654,Crocidura russula,LC
