year,lat,lon,coordinateUncertaintyInMeters,coordinatePrecision,scientificNameID,scientificName,speciesKey,species,iucnRedListCategory
2006,48.211225,6.989875,26711.0,,,"Eliomys quercinus (Linnaeus, 1766)",2439683,Eliomys quercinus,NT
2021,42.585,1.069,707.0,,,"Eliomys quercinus (Linnaeus, 1766)",2439683,Eliomys quercinus,NT
2021,41.301,1.287,707.0,,,"Eliomys quercinus (Linnaeus, 1766)",2439683,Eliomys quercinus,NT
2021,42.422,1.585,707.0,,,"Eliomys quercinus (Linnaeus, 1766)",2439683,Eliomys quercinus,NT
2021,41.263,1.908,707.0,,,"Eliomys quercinus (Linnaeus, 1766)",2439683,Eliomys quercinus,NT
2021,42.317,1.915,707.0,,,"Eliomys quercinus (Linnaeus, 1766)",2439683,Eliomys quercinus,NT
2021,42.486,1.729,707.0,,,"Eliomys quercinus (Linnaeus, 1766)",2439683,Eliomys quercinus,NT
2021,41.622,1.758,707.0,,,"Eliomys quercinus (Linnaeus, 1766)",2439683,Eliomys quercinus,NT
2020,41.426,0.697,707.0,,,"Eliomys quercinus (Linnaeus, 1766)",2439683,Eliomys quercinus,NT
2019,41.52,0.478,707.0,,,"Eliomys quercinus (Linnaeus, 1766)",2439683,Eliomys quercinus,NT
2020,49.581,6.24776,,,,"Eliomys quercinus (Linnaeus, 1766)",2439683,Eliomys quercinus,NT
2021,49.616,6.16883,,,,"Eliomys quercinus (Linnaeus, 1766)",2439683,Eliomys quercinus,NT
2021,49.64,6.27966,,,,"Eliomys quercinus (Linnaeus, 1766)",2439683,Eliomys quercinus,NT
2015,49.8714,6.16785,,,,"Eliomys quercinus (Linnaeus, 1766)",2439683,Eliomys quercinus,NT
2021,49.6507,6.2945,,,,"Eliomys quercinus (Linnaeus, 1766)",2439683,Eliomys quercinus,NT
2015,49.8392,6.11062,,,,"Eliomys quercinus (Linnaeus, 1766)",2439683,Eliomys quercinus,NT
1956,49.4703,5.97617,,,,"Eliomys quercinus (Linnaeus, 1766)",2439683,Eliomys quercinus,NT
2015,49.8488,6.10449,,,,"Eliomys quercinus (Linnaeus, 1766)",2439683,Eliomys quercinus,NT
2016,49.6084,6.32087,,,,"Eliomys quercinus (Linnaeus, 1766)",2439683,Eliomys quercinus,NT
2017,49.5559,6.32912,,,,"Eliomys quercinus (Linnaeus, 1766)",2439683,Eliomys quercinus,NT
2017,49.7145,6.50092,,,,"Eliomys quercinus (Linnaeus, 1766)",2439683,Eliomys quercinus,NT
2017,49.8794,6.15875,,,,"Eliomys quercinus (Linnaeus, 1766)",2439683,Eliomys quercinus,NT
2017,49.4798,6.08599,,,,"Eliomys quercinus (Linnaeus, 1766)",2439683,Eliomys quercinus,NT
2015,49.9538,6.10449,,,,"Eliomys quercinus (Linnaeus, 1766)",2439683,Eliomys quercinus,NT
2016,49.8908,6.16475,,,,"Eliomys quercinus (Linnaeus, 1766)",2439683,Eliomys quercinus,NT
2016,49.5449,6.36356,,,,"Eliomys quercinus (Linnaeus, 1766)",2439683,Eliomys quercinus,NT
2016,49.877,6.16696,,,,"Eliomys quercinus (Linnaeus, 1766)",2439683,Eliomys quercinus,NT
2016,49.6787,6.44194,,,,"Eliomys quercinus (Linnaeus, 1766)",2439683,Eliomys quercinus,NT
2016,49.6111,6.3246,,,,"Eliomys quercinus (Linnaeus, 1766)",2439683,Eliomys quercinus,NT
2016,49.6787,6.44195,,,,"Eliomys quercinus (Linnaeus, 1766)",2439683,Eliomys quercinus,NT
2016,49.622,6.3542,,,,"Eliomys quercinus (Linnaeus, 1766)",2439683,Eliomys quercinus,NT
2017,49.6789,6.44175,,,,"Eliomys quercinus (Linnaeus, 1766)",2439683,Eliomys quercinus,NT
2017,49.5558,6.32912,,,,"Eliomys quercinus (Linnaeus, 1766)",2439683,Eliomys quercinus,NT
2017,49.91,6.06511,,,,"Eliomys quercinus (Linnaeus, 1766)",2439683,Eliomys quercinus,NT
2017,49.5239,6.34167,,,,"Eliomys quercinus (Linnaeus, 1766)",2439683,Eliomys quercinus,NT
2017,49.7012,6.48109,,,,"Eliomys quercinus (Linnaeus, 1766)",2439683,Eliomys quercinus,NT
2017,49.6788,6.44193,,,,"Eliomys quercinus (Linnaeus, 1766)",2439683,Eliomys quercinus,NT
2016,49.5466,6.3648,,,,"Eliomys quercinus (Linnaeus, 1766)",2439683,Eliomys quercinus,NT
2016,49.6317,6.2767,,,,"Eliomys quercinus (Linnaeus, 1766)",2439683,Eliomys quercinus,NT
2016,49.545,6.36346,,,,"Eliomys quercinus (Linnaeus, 1766)",2439683,Eliomys quercinus,NT
2017,49.545,6.36346,,,,"Eliomys quercinus (Linnaeus, 1766)",2439683,Eliomys quercinus,NT
2019,49.5013,5.98546,,,,"Eliomys quercinus (Linnaeus, 1766)",2439683,Eliomys quercinus,NT
2019,49.5369,6.22243,,,,"Eliomys quercinus (Linnaeus, 1766)",2439683,Eliomys quercinus,NT
2019,49.5089,6.27326,,,,"Eliomys quercinus (Linnaeus, 1766)",2439683,Eliomys quercinus,NT
2019,49.6179,6.35242,,,,"Eliomys quercinus (Linnaeus, 1766)",2439683,Eliomys quercinus,NT
2020,49.681,6.42292,,,,"Eliomys quercinus (Linnaeus, 1766)",2439683,Eliomys quercinus,NT
2015,49.9538,6.10449,,,,"Eliomys quercinus (Linnaeus, 1766)",2439683,Eliomys quercinus,NT
2022,50.141762,8.63946,250.0,,,"Eliomys quercinus (Linnaeus, 1766)",2439683,Eliomys quercinus,NT
2021,50.141762,8.63946,250.0,,,"Eliomys quercinus (Linnaeus, 1766)",2439683,Eliomys quercinus,NT
2022,50.007008,8.582852,250.0,,,"Eliomys quercinus (Linnaeus, 1766)",2439683,Eliomys quercinus,NT
2011,42.96917,0.60029,1000.0,,,"Eliomys quercinus (Linnaeus, 1766)",2439683,Eliomys quercinus,NT
2010,44.42484,0.74206,6354.0,,,"Eliomys quercinus (Linnaeus, 1766)",2439683,Eliomys quercinus,NT
2016,42.90503,1.99608,1000.0,,,"Eliomys quercinus (Linnaeus, 1766)",2439683,Eliomys quercinus,NT
1998,47.97425,1.33115,1000.0,,,"Eliomys quercinus (Linnaeus, 1766)",2439683,Eliomys quercinus,NT
1983,43.68407,2.14947,100.0,,,"Eliomys quercinus (Linnaeus, 1766)",2439683,Eliomys quercinus,NT
2004,44.22364,3.05958,1000.0,,,"Eliomys quercinus (Linnaeus, 1766)",2439683,Eliomys quercinus,NT
2010,43.85907,3.22067,1000.0,,,"Eliomys quercinus (Linnaeus, 1766)",2439683,Eliomys quercinus,NT
2008,43.3166,1.44225,1000.0,,,"Eliomys quercinus (Linnaeus, 1766)",2439683,Eliomys quercinus,NT
2010,43.3166,1.44225,1000.0,,,"Eliomys quercinus (Linnaeus, 1766)",2439683,Eliomys quercinus,NT
2014,49.77947,1.95937,5000.0,,,"Eliomys quercinus (Linnaeus, 1766)",2439683,Eliomys quercinus,NT
2008,44.72799,0.60515,2235.0,,,"Eliomys quercinus (Linnaeus, 1766)",2439683,Eliomys quercinus,NT
2018,45.95114,0.86909,5493.0,,,"Eliomys quercinus (Linnaeus, 1766)",2439683,Eliomys quercinus,NT
2018,46.11968,6.19643,2628.0,,,"Eliomys quercinus (Linnaeus, 1766)",2439683,Eliomys quercinus,NT
2018,46.11968,6.19643,2628.0,,,"Eliomys quercinus (Linnaeus, 1766)",2439683,Eliomys quercinus,NT
2021,47.24492,-1.93346,5632.0,,,"Eliomys quercinus (Linnaeus, 1766)",2439683,Eliomys quercinus,NT
2021,47.88628,3.09832,10.0,,,"Eliomys quercinus (Linnaeus, 1766)",2439683,Eliomys quercinus,NT
2020,43.21636,1.33259,10.0,,,"Eliomys quercinus (Linnaeus, 1766)",2439683,Eliomys quercinus,NT
2020,48.53671,6.09274,1330.0,,,"Eliomys quercinus (Linnaeus, 1766)",2439683,Eliomys quercinus,NT
2021,46.65323,4.83536,2755.0,,,"Eliomys quercinus (Linnaeus, 1766)",2439683,Eliomys quercinus,NT
2020,45.83235,4.50383,2643.0,,,"Eliomys quercinus (Linnaeus, 1766)",2439683,Eliomys quercinus,NT
2020,43.7415,6.43656,6809.0,,,"Eliomys quercinus (Linnaeus, 1766)",2439683,Eliomys quercinus,NT
2020,48.2284,-0.19292,4653.0,,,"Eliomys quercinus (Linnaeus, 1766)",2439683,Eliomys quercinus,NT
2020,48.37542,3.03666,10.0,,,"Eliomys quercinus (Linnaeus, 1766)",2439683,Eliomys quercinus,NT
2018,48.72708,0.32548,10.0,,,"Eliomys quercinus (Linnaeus, 1766)",2439683,Eliomys quercinus,NT
2007,45.29717,6.90722,10.0,,,"Eliomys quercinus (Linnaeus, 1766)",2439683,Eliomys quercinus,NT
2021,43.97737,0.42158,10.0,,,"Eliomys quercinus (Linnaeus, 1766)",2439683,Eliomys quercinus,NT
2021,50.01909,1.32414,3611.0,,,"Eliomys quercinus (Linnaeus, 1766)",2439683,Eliomys quercinus,NT
2021,46.92124,-1.14369,2680.0,,,"Eliomys quercinus (Linnaeus, 1766)",2439683,Eliomys quercinus,NT
2021,43.95441,1.31647,3010.0,,,"Eliomys quercinus (Linnaeus, 1766)",2439683,Eliomys quercinus,NT
2013,49.95515,1.25478,8526.0,,,"Eliomys quercinus (Linnaeus, 1766)",2439683,Eliomys quercinus,NT
2020,47.18886,5.08509,2074.0,,,"Eliomys quercinus (Linnaeus, 1766)",2439683,Eliomys quercinus,NT
2020,46.39037,-0.84046,5000.0,,,"Eliomys quercinus (Linnaeus, 1766)",2439683,Eliomys quercinus,NT
2019,46.8519,4.78052,3390.0,,,"Eliomys quercinus (Linnaeus, 1766)",2439683,Eliomys quercinus,NT
1994,49.70785,0.96644,3671.0,,,"Eliomys quercinus (Linnaeus, 1766)",2439683,Eliomys quercinus,NT
1997,49.52273,0.73037,6605.0,,,"Eliomys quercinus (Linnaeus, 1766)",2439683,Eliomys quercinus,NT
