lat,lon,coordinatePrecision,scientificNameID,scientificName,speciesKey,species,iucnRedListCategory
58.1,24.9,0.1,,"Erinaceus concolor Martin, 1838",5219624,Erinaceus concolor,LC
57.8,26.3,0.1,,"Erinaceus concolor Martin, 1838",5219624,Erinaceus concolor,LC
39.0,46.5,1e-05,,"Erinaceus concolor Martin, 1838",5219624,Erinaceus concolor,LC
38.21168,35.86505,1e-05,,"Erinaceus concolor Martin, 1838",5219624,Erinaceus concolor,LC
57.8,26.3,0.1,,Erinaceus concolor concolor,5219624,Erinaceus concolor,
58.3,26.7,0.1,,Erinaceus concolor concolor,5219624,Erinaceus concolor,
58.1,24.5,0.1,,Erinaceus concolor concolor,5219624,Erinaceus concolor,
59.0,24.7,0.1,,Erinaceus concolor concolor,5219624,Erinaceus concolor,
58.1,24.5,0.1,,Erinaceus concolor concolor,5219624,Erinaceus concolor,
58.0,24.4,0.1,,Erinaceus concolor concolor,5219624,Erinaceus concolor,
58.1,27.1,0.1,,Erinaceus concolor concolor,5219624,Erinaceus concolor,
57.9,26.2,0.1,,Erinaceus concolor concolor,5219624,Erinaceus concolor,
58.3,26.7,0.1,,Erinaceus concolor concolor,5219624,Erinaceus concolor,
58.4,26.6,0.1,,Erinaceus concolor concolor,5219624,Erinaceus concolor,
57.9,24.4,0.1,,Erinaceus concolor concolor,5219624,Erinaceus concolor,
58.2,26.4,0.1,,Erinaceus concolor concolor,5219624,Erinaceus concolor,
58.0,27.6,0.1,,Erinaceus concolor concolor,5219624,Erinaceus concolor,
57.9,26.6,0.1,,Erinaceus concolor concolor,5219624,Erinaceus concolor,
58.3,26.9,0.1,,Erinaceus concolor concolor,5219624,Erinaceus concolor,
57.9,26.6,0.1,,Erinaceus concolor concolor,5219624,Erinaceus concolor,
58.0,24.4,0.1,,Erinaceus concolor concolor,5219624,Erinaceus concolor,
58.1,24.5,0.1,,Erinaceus concolor concolor,5219624,Erinaceus concolor,
58.2,24.5,0.1,,Erinaceus concolor concolor,5219624,Erinaceus concolor,
57.9,24.4,0.1,,Erinaceus concolor concolor,5219624,Erinaceus concolor,
58.0,24.5,0.1,,Erinaceus concolor concolor,5219624,Erinaceus concolor,
57.8,26.2,0.1,,Erinaceus concolor concolor,5219624,Erinaceus concolor,
57.7,26.9,0.1,,Erinaceus concolor concolor,5219624,Erinaceus concolor,
57.8,26.4,0.1,,Erinaceus concolor concolor,5219624,Erinaceus concolor,
58.0,27.6,0.1,,Erinaceus concolor concolor,5219624,Erinaceus concolor,
57.6,26.7,0.1,,Erinaceus concolor concolor,5219624,Erinaceus concolor,
57.7,27.1,0.1,,Erinaceus concolor concolor,5219624,Erinaceus concolor,
57.8,26.4,0.1,,Erinaceus concolor concolor,5219624,Erinaceus concolor,
57.8,26.4,0.1,,Erinaceus concolor concolor,5219624,Erinaceus concolor,
57.8,26.4,0.1,,Erinaceus concolor concolor,5219624,Erinaceus concolor,
