year,lat,lon,coordinateUncertaintyInMeters,coordinatePrecision,scientificNameID,scientificName,speciesKey,species,iucnRedListCategory
2020,40.673983,36.578533,,,,"Erinaceus concolor Martin, 1838",5219624,Erinaceus concolor,LC
2021,38.643055,34.828889,1698.0,,,"Erinaceus concolor Martin, 1838",5219624,Erinaceus concolor,LC
2020,32.722983,35.113368,8.0,,,"Erinaceus concolor Martin, 1838",5219624,Erinaceus concolor,LC
2021,33.186954,35.744825,6.0,,,"Erinaceus concolor Martin, 1838",5219624,Erinaceus concolor,LC
2022,31.915887,34.83087,196.0,,,"Erinaceus concolor Martin, 1838",5219624,Erinaceus concolor,LC
2021,33.036613,35.248403,,,,"Erinaceus concolor Martin, 1838",5219624,Erinaceus concolor,LC
2017,38.357333,26.315138,5.0,,,"Erinaceus concolor Martin, 1838",5219624,Erinaceus concolor,LC
2010,32.414525,35.536981,2493.0,,,"Erinaceus concolor Martin, 1838",5219624,Erinaceus concolor,LC
2021,41.09478,28.809301,,,,"Erinaceus concolor Martin, 1838",5219624,Erinaceus concolor,LC
2020,32.82701,35.764159,20.0,,,"Erinaceus concolor Martin, 1838",5219624,Erinaceus concolor,LC
2021,33.186651,35.744704,5.0,,,"Erinaceus concolor Martin, 1838",5219624,Erinaceus concolor,LC
2022,41.064034,29.030227,329.0,,,"Erinaceus concolor Martin, 1838",5219624,Erinaceus concolor,LC
2018,40.979308,29.039224,56.0,,,"Erinaceus concolor Martin, 1838",5219624,Erinaceus concolor,LC
2018,40.979308,29.039224,56.0,,,"Erinaceus concolor Martin, 1838",5219624,Erinaceus concolor,LC
2021,33.037105,35.248323,,,,"Erinaceus concolor Martin, 1838",5219624,Erinaceus concolor,LC
2022,41.063995,29.029898,72.0,,,"Erinaceus concolor Martin, 1838",5219624,Erinaceus concolor,LC
2021,31.855188,35.894406,704.0,,,"Erinaceus concolor Martin, 1838",5219624,Erinaceus concolor,LC
2022,32.85138,35.749303,10.0,,,"Erinaceus concolor Martin, 1838",5219624,Erinaceus concolor,LC
2020,37.245933,27.605292,,,,"Erinaceus concolor Martin, 1838",5219624,Erinaceus concolor,LC
2018,40.979308,29.039224,56.0,,,"Erinaceus concolor Martin, 1838",5219624,Erinaceus concolor,LC
2021,37.877522,27.2754,4.0,,,"Erinaceus concolor Martin, 1838",5219624,Erinaceus concolor,LC
2020,40.791111,30.384167,,,,"Erinaceus concolor Martin, 1838",5219624,Erinaceus concolor,LC
2006,39.887984,44.004837,34618.0,,,"Erinaceus concolor Martin, 1838",5219624,Erinaceus concolor,LC
2022,41.064121,29.030002,79.0,,,"Erinaceus concolor Martin, 1838",5219624,Erinaceus concolor,LC
2021,41.211184,29.396891,,,,"Erinaceus concolor Martin, 1838",5219624,Erinaceus concolor,LC
2021,36.416788,30.483742,1183.0,,,"Erinaceus concolor Martin, 1838",5219624,Erinaceus concolor,LC
2020,32.457549,35.555673,747.0,,,"Erinaceus concolor Martin, 1838",5219624,Erinaceus concolor,LC
2021,36.862308,30.996155,4.0,,,"Erinaceus concolor Martin, 1838",5219624,Erinaceus concolor,LC
2021,36.809012,31.344731,4.0,,,"Erinaceus concolor Martin, 1838",5219624,Erinaceus concolor,LC
2021,31.900485,34.82642,39.0,,,"Erinaceus concolor Martin, 1838",5219624,Erinaceus concolor,LC
2020,32.888256,35.685966,982.0,,,"Erinaceus concolor Martin, 1838",5219624,Erinaceus concolor,LC
2022,32.965111,35.831917,,,,"Erinaceus concolor Martin, 1838",5219624,Erinaceus concolor,LC
2021,32.016318,34.781439,,,,"Erinaceus concolor Martin, 1838",5219624,Erinaceus concolor,LC
2020,37.73872,29.176936,1453.0,,,"Erinaceus concolor Martin, 1838",5219624,Erinaceus concolor,LC
2021,30.851456,34.7876,,,,"Erinaceus concolor Martin, 1838",5219624,Erinaceus concolor,LC
2021,33.15917,35.737692,8.0,,,"Erinaceus concolor Martin, 1838",5219624,Erinaceus concolor,LC
2021,31.267427,34.790037,103.0,,,"Erinaceus concolor Martin, 1838",5219624,Erinaceus concolor,LC
2017,52.732758,23.727722,250.0,,,"Erinaceus concolor Martin, 1838",5219624,Erinaceus concolor,LC
2021,31.266788,34.797794,31.0,,,"Erinaceus concolor Martin, 1838",5219624,Erinaceus concolor,LC
2019,31.6916,35.590928,29199.0,,,"Erinaceus concolor Martin, 1838",5219624,Erinaceus concolor,LC
2021,31.24346,34.783886,29.0,,,"Erinaceus concolor Martin, 1838",5219624,Erinaceus concolor,LC
2021,31.247747,34.797114,40.0,,,"Erinaceus concolor Martin, 1838",5219624,Erinaceus concolor,LC
2021,31.260425,34.764829,89.0,,,"Erinaceus concolor Martin, 1838",5219624,Erinaceus concolor,LC
2021,32.836502,35.07806,,,,"Erinaceus concolor Martin, 1838",5219624,Erinaceus concolor,LC
2021,31.822272,34.897925,10.0,,,"Erinaceus concolor Martin, 1838",5219624,Erinaceus concolor,LC
2021,33.102314,35.814744,1013498.0,,,"Erinaceus concolor Martin, 1838",5219624,Erinaceus concolor,LC
2015,31.779529,35.206108,31.0,,,"Erinaceus concolor Martin, 1838",5219624,Erinaceus concolor,LC
2021,37.736187,26.980622,5.0,,,"Erinaceus concolor Martin, 1838",5219624,Erinaceus concolor,LC
2016,32.177,34.834,,,,"Erinaceus concolor Martin, 1838",5219624,Erinaceus concolor,LC
2016,31.961,34.826,,,,"Erinaceus concolor Martin, 1838",5219624,Erinaceus concolor,LC
2016,32.585,34.957,,,,"Erinaceus concolor Martin, 1838",5219624,Erinaceus concolor,LC
2016,32.075,34.773,,,,"Erinaceus concolor Martin, 1838",5219624,Erinaceus concolor,LC
2016,32.08,34.811,,,,"Erinaceus concolor Martin, 1838",5219624,Erinaceus concolor,LC
2016,32.642,34.927,,,,"Erinaceus concolor Martin, 1838",5219624,Erinaceus concolor,LC
2016,32.716,35.127,,,,"Erinaceus concolor Martin, 1838",5219624,Erinaceus concolor,LC
2016,32.813,34.985,,,,"Erinaceus concolor Martin, 1838",5219624,Erinaceus concolor,LC
2015,32.054,34.858,,,,"Erinaceus concolor Martin, 1838",5219624,Erinaceus concolor,LC
2015,32.175,34.832,,,,"Erinaceus concolor Martin, 1838",5219624,Erinaceus concolor,LC
2015,32.388,34.929,,,,"Erinaceus concolor Martin, 1838",5219624,Erinaceus concolor,LC
2015,32.55,34.95,,,,"Erinaceus concolor Martin, 1838",5219624,Erinaceus concolor,LC
2015,32.112,34.796,,,,"Erinaceus concolor Martin, 1838",5219624,Erinaceus concolor,LC
2016,31.149,34.884,,,,"Erinaceus concolor Martin, 1838",5219624,Erinaceus concolor,LC
2015,32.188,34.871,,,,"Erinaceus concolor Martin, 1838",5219624,Erinaceus concolor,LC
2016,32.177,34.907,,,,"Erinaceus concolor Martin, 1838",5219624,Erinaceus concolor,LC
2016,32.022,34.91,,,,"Erinaceus concolor Martin, 1838",5219624,Erinaceus concolor,LC
2016,32.096,34.952,,,,"Erinaceus concolor Martin, 1838",5219624,Erinaceus concolor,LC
2016,32.164,34.843,,,,"Erinaceus concolor Martin, 1838",5219624,Erinaceus concolor,LC
2016,31.832,34.957,,,,"Erinaceus concolor Martin, 1838",5219624,Erinaceus concolor,LC
2014,32.467,34.97,,,,"Erinaceus concolor Martin, 1838",5219624,Erinaceus concolor,LC
2014,32.18,34.87,,,,"Erinaceus concolor Martin, 1838",5219624,Erinaceus concolor,LC
2014,32.09,34.88,,,,"Erinaceus concolor Martin, 1838",5219624,Erinaceus concolor,LC
2014,32.06,34.85,,,,"Erinaceus concolor Martin, 1838",5219624,Erinaceus concolor,LC
2014,32.18,34.87,,,,"Erinaceus concolor Martin, 1838",5219624,Erinaceus concolor,LC
2016,32.11,34.805,,,,"Erinaceus concolor Martin, 1838",5219624,Erinaceus concolor,LC
2014,32.054,34.858,,,,"Erinaceus concolor Martin, 1838",5219624,Erinaceus concolor,LC
2014,32.04,34.77,,,,"Erinaceus concolor Martin, 1838",5219624,Erinaceus concolor,LC
2016,32.161,34.918,,,,"Erinaceus concolor Martin, 1838",5219624,Erinaceus concolor,LC
2014,32.556,34.907,,,,"Erinaceus concolor Martin, 1838",5219624,Erinaceus concolor,LC
2015,32.038,34.829,,,,"Erinaceus concolor Martin, 1838",5219624,Erinaceus concolor,LC
2015,32.558,34.921,,,,"Erinaceus concolor Martin, 1838",5219624,Erinaceus concolor,LC
2017,32.557,34.952,,,,"Erinaceus concolor Martin, 1838",5219624,Erinaceus concolor,LC
2017,32.322,34.928,,,,"Erinaceus concolor Martin, 1838",5219624,Erinaceus concolor,LC
2016,31.878,34.739,,,,"Erinaceus concolor Martin, 1838",5219624,Erinaceus concolor,LC
2017,32.084,34.887,,,,"Erinaceus concolor Martin, 1838",5219624,Erinaceus concolor,LC
2014,31.972,34.792,,,,"Erinaceus concolor Martin, 1838",5219624,Erinaceus concolor,LC
2017,32.808,34.982,,,,"Erinaceus concolor Martin, 1838",5219624,Erinaceus concolor,LC
2014,32.107,34.795,,,,"Erinaceus concolor Martin, 1838",5219624,Erinaceus concolor,LC
2014,31.972,34.792,,,,"Erinaceus concolor Martin, 1838",5219624,Erinaceus concolor,LC
2014,32.137,34.84,,,,"Erinaceus concolor Martin, 1838",5219624,Erinaceus concolor,LC
2017,32.55,34.95,,,,"Erinaceus concolor Martin, 1838",5219624,Erinaceus concolor,LC
2016,32.071,34.808,,,,"Erinaceus concolor Martin, 1838",5219624,Erinaceus concolor,LC
2014,32.457,35.555,,,,"Erinaceus concolor Martin, 1838",5219624,Erinaceus concolor,LC
2017,31.985,34.796,,,,"Erinaceus concolor Martin, 1838",5219624,Erinaceus concolor,LC
2014,32.381,34.863,,,,"Erinaceus concolor Martin, 1838",5219624,Erinaceus concolor,LC
2014,32.505,35.003,,,,"Erinaceus concolor Martin, 1838",5219624,Erinaceus concolor,LC
2013,32.113,34.836,,,,"Erinaceus concolor Martin, 1838",5219624,Erinaceus concolor,LC
2018,32.553,34.946,,,,"Erinaceus concolor Martin, 1838",5219624,Erinaceus concolor,LC
2018,31.822,34.9,,,,"Erinaceus concolor Martin, 1838",5219624,Erinaceus concolor,LC
2018,31.972,34.792,,,,"Erinaceus concolor Martin, 1838",5219624,Erinaceus concolor,LC
2018,32.432,34.919,,,,"Erinaceus concolor Martin, 1838",5219624,Erinaceus concolor,LC
2017,32.119,34.803,,,,"Erinaceus concolor Martin, 1838",5219624,Erinaceus concolor,LC
2015,32.107,34.795,,,,"Erinaceus concolor Martin, 1838",5219624,Erinaceus concolor,LC
2015,32.07,34.78,,,,"Erinaceus concolor Martin, 1838",5219624,Erinaceus concolor,LC
2015,31.972,34.792,,,,"Erinaceus concolor Martin, 1838",5219624,Erinaceus concolor,LC
2017,32.183,34.871,,,,"Erinaceus concolor Martin, 1838",5219624,Erinaceus concolor,LC
2018,31.797,34.643,,,,"Erinaceus concolor Martin, 1838",5219624,Erinaceus concolor,LC
2013,32.07,34.78,,,,"Erinaceus concolor Martin, 1838",5219624,Erinaceus concolor,LC
