year,lat,lon,coordinateUncertaintyInMeters,coordinatePrecision,scientificNameID,scientificName,speciesKey,species,iucnRedListCategory
2022,51.865,10.097765,26132.0,,,"Felis silvestris Schreber, 1777",7964291,Felis silvestris,LC
2022,45.244469,26.045261,5.0,,,Felis silvestris silvestris,7964291,Felis silvestris,
2022,45.241349,26.043781,5.0,,,Felis silvestris silvestris,7964291,Felis silvestris,
2021,-26.316735,20.733136,35130.0,,,"Felis lybica Forster, 1780",7964291,Felis silvestris,NE
2021,15.51,-15.73,,,,"Felis silvestris Schreber, 1777",7964291,Felis silvestris,LC
2018,15.51,-15.73,,,,"Felis silvestris Schreber, 1777",7964291,Felis silvestris,LC
2018,15.51,-15.73,,,,"Felis silvestris Schreber, 1777",7964291,Felis silvestris,LC
2018,15.51,-15.73,,,,"Felis silvestris Schreber, 1777",7964291,Felis silvestris,LC
2021,15.51,-15.73,,,,"Felis silvestris Schreber, 1777",7964291,Felis silvestris,LC
2019,15.51,-15.73,,,,"Felis silvestris Schreber, 1777",7964291,Felis silvestris,LC
2018,15.51,-15.73,,,,"Felis silvestris Schreber, 1777",7964291,Felis silvestris,LC
2018,15.51,-15.73,,,,"Felis silvestris Schreber, 1777",7964291,Felis silvestris,LC
2017,15.51,-15.73,,,,"Felis silvestris Schreber, 1777",7964291,Felis silvestris,LC
2017,15.51,-15.73,,,,"Felis silvestris Schreber, 1777",7964291,Felis silvestris,LC
2018,15.51,-15.73,,,,"Felis silvestris Schreber, 1777",7964291,Felis silvestris,LC
2017,15.51,-15.73,,,,"Felis silvestris Schreber, 1777",7964291,Felis silvestris,LC
2021,15.51,-15.73,,,,"Felis silvestris Schreber, 1777",7964291,Felis silvestris,LC
2021,15.51,-15.73,,,,"Felis silvestris Schreber, 1777",7964291,Felis silvestris,LC
2018,15.51,-15.73,,,,"Felis silvestris Schreber, 1777",7964291,Felis silvestris,LC
2017,15.51,-15.73,,,,"Felis silvestris Schreber, 1777",7964291,Felis silvestris,LC
2019,15.51,-15.73,,,,"Felis silvestris Schreber, 1777",7964291,Felis silvestris,LC
2018,15.51,-15.73,,,,"Felis silvestris Schreber, 1777",7964291,Felis silvestris,LC
2018,15.51,-15.73,,,,"Felis silvestris Schreber, 1777",7964291,Felis silvestris,LC
2017,15.51,-15.73,,,,"Felis silvestris Schreber, 1777",7964291,Felis silvestris,LC
2018,15.51,-15.73,,,,"Felis silvestris Schreber, 1777",7964291,Felis silvestris,LC
2017,15.51,-15.73,,,,"Felis silvestris Schreber, 1777",7964291,Felis silvestris,LC
2018,15.51,-15.73,,,,"Felis silvestris Schreber, 1777",7964291,Felis silvestris,LC
2018,15.51,-15.73,,,,"Felis silvestris Schreber, 1777",7964291,Felis silvestris,LC
2018,15.51,-15.73,,,,"Felis silvestris Schreber, 1777",7964291,Felis silvestris,LC
2018,15.51,-15.73,,,,"Felis silvestris Schreber, 1777",7964291,Felis silvestris,LC
2018,15.51,-15.73,,,,"Felis silvestris Schreber, 1777",7964291,Felis silvestris,LC
2018,15.51,-15.73,,,,"Felis silvestris Schreber, 1777",7964291,Felis silvestris,LC
2017,15.51,-15.73,,,,"Felis silvestris Schreber, 1777",7964291,Felis silvestris,LC
2018,15.51,-15.73,,,,"Felis silvestris Schreber, 1777",7964291,Felis silvestris,LC
2017,15.51,-15.73,,,,"Felis silvestris Schreber, 1777",7964291,Felis silvestris,LC
2018,15.51,-15.73,,,,"Felis silvestris Schreber, 1777",7964291,Felis silvestris,LC
2017,15.51,-15.73,,,,"Felis silvestris Schreber, 1777",7964291,Felis silvestris,LC
2018,15.51,-15.73,,,,"Felis silvestris Schreber, 1777",7964291,Felis silvestris,LC
2018,15.51,-15.73,,,,"Felis silvestris Schreber, 1777",7964291,Felis silvestris,LC
2018,15.51,-15.73,,,,"Felis silvestris Schreber, 1777",7964291,Felis silvestris,LC
2018,15.51,-15.73,,,,"Felis silvestris Schreber, 1777",7964291,Felis silvestris,LC
2018,15.51,-15.73,,,,"Felis silvestris Schreber, 1777",7964291,Felis silvestris,LC
2018,15.51,-15.73,,,,"Felis silvestris Schreber, 1777",7964291,Felis silvestris,LC
2018,15.51,-15.73,,,,"Felis silvestris Schreber, 1777",7964291,Felis silvestris,LC
2018,15.51,-15.73,,,,"Felis silvestris Schreber, 1777",7964291,Felis silvestris,LC
2018,15.51,-15.73,,,,"Felis silvestris Schreber, 1777",7964291,Felis silvestris,LC
2018,15.51,-15.73,,,,"Felis silvestris Schreber, 1777",7964291,Felis silvestris,LC
2018,15.51,-15.73,,,,"Felis silvestris Schreber, 1777",7964291,Felis silvestris,LC
2018,15.51,-15.73,,,,"Felis silvestris Schreber, 1777",7964291,Felis silvestris,LC
2018,15.51,-15.73,,,,"Felis silvestris Schreber, 1777",7964291,Felis silvestris,LC
2018,15.51,-15.73,,,,"Felis silvestris Schreber, 1777",7964291,Felis silvestris,LC
2018,15.51,-15.73,,,,"Felis silvestris Schreber, 1777",7964291,Felis silvestris,LC
2018,15.51,-15.73,,,,"Felis silvestris Schreber, 1777",7964291,Felis silvestris,LC
2018,15.51,-15.73,,,,"Felis silvestris Schreber, 1777",7964291,Felis silvestris,LC
2018,15.51,-15.73,,,,"Felis silvestris Schreber, 1777",7964291,Felis silvestris,LC
2018,15.51,-15.73,,,,"Felis silvestris Schreber, 1777",7964291,Felis silvestris,LC
2018,15.51,-15.73,,,,"Felis silvestris Schreber, 1777",7964291,Felis silvestris,LC
2018,15.51,-15.73,,,,"Felis silvestris Schreber, 1777",7964291,Felis silvestris,LC
2018,15.51,-15.73,,,,"Felis silvestris Schreber, 1777",7964291,Felis silvestris,LC
2021,15.51,-15.73,,,,"Felis silvestris Schreber, 1777",7964291,Felis silvestris,LC
1985,38.373258,-8.514436,1958.0,,,"Felis silvestris Schreber, 1777",7964291,Felis silvestris,LC
1980,38.415773,-8.543275,5193.0,,,"Felis silvestris Schreber, 1777",7964291,Felis silvestris,LC
1987,38.571365,-7.909613,3657.0,,,"Felis silvestris Schreber, 1777",7964291,Felis silvestris,LC
1995,39.462031,-8.711797,2869.0,,,"Felis silvestris Schreber, 1777",7964291,Felis silvestris,LC
1987,38.571365,-7.909613,3657.0,,,"Felis silvestris Schreber, 1777",7964291,Felis silvestris,LC
1987,38.571365,-7.909613,3657.0,,,"Felis silvestris Schreber, 1777",7964291,Felis silvestris,LC
1987,38.540787,-8.166013,3036.0,,,"Felis silvestris Schreber, 1777",7964291,Felis silvestris,LC
1986,38.654005,-7.982611,3036.0,,,"Felis silvestris Schreber, 1777",7964291,Felis silvestris,LC
1987,38.540787,-8.166013,3036.0,,,"Felis silvestris Schreber, 1777",7964291,Felis silvestris,LC
1986,38.540787,-8.166013,3036.0,,,"Felis silvestris Schreber, 1777",7964291,Felis silvestris,LC
1986,38.540787,-8.166013,3036.0,,,"Felis silvestris Schreber, 1777",7964291,Felis silvestris,LC
1986,38.302781,-7.222412,18301.0,,,"Felis silvestris Schreber, 1777",7964291,Felis silvestris,LC
1995,41.64926,-8.0523,1807.0,,,"Felis silvestris Schreber, 1777",7964291,Felis silvestris,LC
1995,41.64926,-8.0523,1807.0,,,"Felis silvestris Schreber, 1777",7964291,Felis silvestris,LC
1997,41.823569,-7.789714,2410.0,,,"Felis silvestris Schreber, 1777",7964291,Felis silvestris,LC
1997,39.610802,-7.611798,2680.0,,,"Felis silvestris Schreber, 1777",7964291,Felis silvestris,LC
1998,40.351267,-7.091036,3036.0,,,"Felis silvestris Schreber, 1777",7964291,Felis silvestris,LC
2019,50.1032,6.1313,,,,"Felis silvestris Schreber, 1777",7964291,Felis silvestris,LC
2019,50.1032,6.1313,,,,"Felis silvestris Schreber, 1777",7964291,Felis silvestris,LC
2019,50.1032,6.1313,,,,"Felis silvestris Schreber, 1777",7964291,Felis silvestris,LC
2019,50.1032,6.1313,,,,"Felis silvestris Schreber, 1777",7964291,Felis silvestris,LC
2019,50.1032,6.1313,,,,"Felis silvestris Schreber, 1777",7964291,Felis silvestris,LC
2019,50.1032,6.1313,,,,"Felis silvestris Schreber, 1777",7964291,Felis silvestris,LC
2019,50.1032,6.1313,,,,"Felis silvestris Schreber, 1777",7964291,Felis silvestris,LC
2019,50.1032,6.1313,,,,"Felis silvestris Schreber, 1777",7964291,Felis silvestris,LC
2019,50.1032,6.1313,,,,"Felis silvestris Schreber, 1777",7964291,Felis silvestris,LC
2019,50.1032,6.1313,,,,"Felis silvestris Schreber, 1777",7964291,Felis silvestris,LC
2019,50.1032,6.1313,,,,"Felis silvestris Schreber, 1777",7964291,Felis silvestris,LC
2018,50.1032,6.1313,,,,"Felis silvestris Schreber, 1777",7964291,Felis silvestris,LC
2018,50.1032,6.1313,,,,"Felis silvestris Schreber, 1777",7964291,Felis silvestris,LC
2018,50.1032,6.1313,,,,"Felis silvestris Schreber, 1777",7964291,Felis silvestris,LC
2018,50.1032,6.1313,,,,"Felis silvestris Schreber, 1777",7964291,Felis silvestris,LC
2019,50.1032,6.1313,,,,"Felis silvestris Schreber, 1777",7964291,Felis silvestris,LC
