year,lat,lon,coordinateUncertaintyInMeters,coordinatePrecision,scientificNameID,scientificName,speciesKey,species,iucnRedListCategory
2022,39.695336,-8.594461,6.0,,,Genetta genetta genetta,5219362,Genetta genetta,
2020,30.717844,-6.533765,244.0,,,Genetta genetta genetta,5219362,Genetta genetta,
2019,15.51,-15.73,,,,"Genetta genetta (Linnaeus, 1758)",5219362,Genetta genetta,LC
2019,15.51,-15.73,,,,"Genetta genetta (Linnaeus, 1758)",5219362,Genetta genetta,LC
2021,15.51,-15.73,,,,"Genetta genetta (Linnaeus, 1758)",5219362,Genetta genetta,LC
1992,38.901929,-9.118848,1976.0,,,"Genetta genetta (Linnaeus, 1758)",5219362,Genetta genetta,LC
1978,41.686831,-8.420234,2946.0,,,"Genetta genetta (Linnaeus, 1758)",5219362,Genetta genetta,LC
1984,38.363085,-8.480962,1688.0,,,"Genetta genetta (Linnaeus, 1758)",5219362,Genetta genetta,LC
1983,38.720458,-9.240764,1074.0,,,"Genetta genetta (Linnaeus, 1758)",5219362,Genetta genetta,LC
1983,38.373258,-8.514436,1958.0,,,"Genetta genetta (Linnaeus, 1758)",5219362,Genetta genetta,LC
1983,38.955249,-8.98966,3036.0,,,"Genetta genetta (Linnaeus, 1758)",5219362,Genetta genetta,LC
1984,39.633384,-7.932729,1308.0,,,"Genetta genetta (Linnaeus, 1758)",5219362,Genetta genetta,LC
1982,38.415773,-8.543275,5193.0,,,"Genetta genetta (Linnaeus, 1758)",5219362,Genetta genetta,LC
1982,38.998945,-8.340698,16588.0,,,"Genetta genetta (Linnaeus, 1758)",5219362,Genetta genetta,LC
1980,38.922218,-7.141843,5022.0,,,"Genetta genetta (Linnaeus, 1758)",5219362,Genetta genetta,LC
1984,38.41877,-8.498965,1258.0,,,"Genetta genetta (Linnaeus, 1758)",5219362,Genetta genetta,LC
1984,38.408514,-8.749741,1254.0,,,"Genetta genetta (Linnaeus, 1758)",5219362,Genetta genetta,LC
1984,40.450231,-8.06304,2492.0,,,"Genetta genetta (Linnaeus, 1758)",5219362,Genetta genetta,LC
1985,38.877176,-9.20639,1389.0,,,"Genetta genetta (Linnaeus, 1758)",5219362,Genetta genetta,LC
1984,40.140247,-7.501348,3036.0,,,"Genetta genetta (Linnaeus, 1758)",5219362,Genetta genetta,LC
1984,38.378506,-8.481477,1386.0,,,"Genetta genetta (Linnaeus, 1758)",5219362,Genetta genetta,LC
1986,38.540787,-8.166013,3036.0,,,"Genetta genetta (Linnaeus, 1758)",5219362,Genetta genetta,LC
1986,38.501488,-8.026505,7121.0,,,"Genetta genetta (Linnaeus, 1758)",5219362,Genetta genetta,LC
1984,38.41877,-8.498965,1258.0,,,"Genetta genetta (Linnaeus, 1758)",5219362,Genetta genetta,LC
1984,38.215267,-8.327293,1584.0,,,"Genetta genetta (Linnaeus, 1758)",5219362,Genetta genetta,LC
1984,38.40838,-8.747938,1489.0,,,"Genetta genetta (Linnaeus, 1758)",5219362,Genetta genetta,LC
1986,38.501488,-8.026505,7121.0,,,"Genetta genetta (Linnaeus, 1758)",5219362,Genetta genetta,LC
1986,38.688332,-7.930961,5669.0,,,"Genetta genetta (Linnaeus, 1758)",5219362,Genetta genetta,LC
1985,38.571365,-7.909441,82538.0,,,"Genetta genetta (Linnaeus, 1758)",5219362,Genetta genetta,LC
1986,38.688332,-7.930961,5669.0,,,"Genetta genetta (Linnaeus, 1758)",5219362,Genetta genetta,LC
1985,38.571365,-7.909441,82538.0,,,"Genetta genetta (Linnaeus, 1758)",5219362,Genetta genetta,LC
1986,38.540787,-8.166013,3036.0,,,"Genetta genetta (Linnaeus, 1758)",5219362,Genetta genetta,LC
1985,38.571365,-7.909441,82538.0,,,"Genetta genetta (Linnaeus, 1758)",5219362,Genetta genetta,LC
1986,38.501488,-8.026505,7121.0,,,"Genetta genetta (Linnaeus, 1758)",5219362,Genetta genetta,LC
