year,lat,lon,coordinateUncertaintyInMeters,coordinatePrecision,scientificNameID,scientificName,speciesKey,species,iucnRedListCategory
2002,48.704297,9.003182,,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
1993,49.4748,6.33367,,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2021,42.311,2.218,707.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2021,42.485,0.999,707.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2021,42.767,0.66,707.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2021,42.23,2.28,707.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2021,42.276,2.412,707.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2021,42.267,2.437,707.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2021,42.612,1.08,707.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2021,35.166061,25.646051,8.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2021,46.007821,11.115039,,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2022,49.62374,6.178116,113.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2020,49.9405,6.09244,,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2020,49.8736,6.23084,,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2014,49.8732,6.23212,,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2015,49.8735,6.23103,,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
1956,49.4705,5.97617,,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2003,49.6627,6.25368,,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2017,49.9171,6.14759,,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2016,49.4978,5.98278,,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2016,49.8476,6.04176,,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2016,49.611,6.0508,,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2016,49.6491,6.24601,,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2016,49.5365,5.88766,,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2017,49.6278,6.10189,,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2017,49.4798,6.086,,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2017,49.5862,6.17173,,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2016,49.8663,6.18174,,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2017,49.6393,6.14063,,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2019,49.6173,6.14094,,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2021,50.916673,-2.505162,7.1,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2019,42.97022,1.66159,25.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2013,42.96049,1.81282,25.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2016,43.00291,1.3056,25.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2016,42.95467,1.75934,25.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2014,43.0223,1.4804,25.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2015,43.09122,1.35147,25.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2019,43.02233,1.48482,25.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2006,43.08096,1.34062,1000.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2016,42.90503,1.99608,1000.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2010,42.89058,1.20477,1000.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2013,44.02096,3.16996,1000.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2005,43.01462,0.73422,1000.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2006,43.98317,1.9113,1000.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2009,42.97239,-0.13977,1000.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2011,43.02359,1.32985,1000.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2018,43.23382,0.66372,1000.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2000,44.22364,3.05958,1000.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2015,43.65196,2.7087,1000.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2019,43.00795,0.87139,1000.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2019,42.97643,-0.11584,1000.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
1998,43.47407,2.10297,100.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2005,42.99678,1.50827,1000.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2017,43.05375,1.48733,1000.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2006,43.62871,2.38448,1000.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2010,43.2126,1.17134,1000.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2011,44.05138,2.89441,1000.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2005,42.94878,-0.03588,1000.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2000,44.02071,1.76488,1000.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2012,42.95389,0.37955,1000.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2014,42.79112,1.4531,25.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2011,43.09116,1.12564,1000.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2009,44.21711,3.17981,1000.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2015,43.87059,2.836,10.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2011,43.02599,1.32667,1000.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2016,42.98082,0.89753,1000.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2017,45.88274,1.2208,4431.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2017,46.0172,0.95298,3513.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2018,47.87472,5.35271,1.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2019,43.38173,2.08307,10.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2015,44.82915,3.10323,10.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2013,42.95974,1.81206,25.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2016,45.34658,1.23662,3820.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2016,45.34658,1.23662,3820.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2016,45.14211,0.78193,5894.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2017,44.94033,1.02266,6402.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2017,45.34658,1.23662,3820.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
1997,45.44995,0.64415,2160.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2016,45.33069,1.16372,3895.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2015,44.80381,1.24446,3775.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2016,45.18407,1.24846,3329.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
1997,45.36424,0.64577,8601.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2011,45.34658,1.23662,3820.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2015,44.89769,0.97779,2939.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2018,45.33069,1.16372,3895.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2018,44.80381,1.24446,3775.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2016,45.39569,1.07348,3089.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
1998,45.36424,0.64577,8601.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2018,45.39569,1.07348,3089.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2011,42.7847,0.0658,1000.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2016,42.9503,-0.19342,1000.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2019,43.01593,-0.24152,1000.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2019,44.14286,6.58687,5.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2019,46.18381,-1.068,2869.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2019,43.12986,-0.42371,1849.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
1999,45.54458,0.96539,3446.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2020,43.35379,-0.551,2651.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2020,48.9387,3.02745,2848.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2020,42.3043,9.32733,2531.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2019,46.08795,6.6719,10.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2019,45.57958,0.35266,10.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2021,45.50975,6.2938,10.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2020,47.24425,5.86593,1421.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2020,44.08824,6.87518,7962.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2019,43.83928,2.25849,2734.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2021,46.1829,-1.37724,2648.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2018,46.01115,-0.8645,5148.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2013,43.37374,6.37546,7881.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2016,45.54472,-1.05917,6982.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2017,45.73791,5.88454,3313.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2017,46.08449,0.141,2075.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2016,44.35654,0.59166,3305.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2019,44.67262,5.70318,3.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2018,43.96998,-0.36941,1937.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2018,43.96998,-0.36941,1937.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2018,43.96998,-0.36941,1937.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2014,47.6865,5.59975,5000.0,,,"Myoxus glis (Linnaeus, 1766)",5706486,Glis glis,LC
2002,44.99016,1.92869,1000.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2002,44.97462,2.03954,1000.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
1996,44.98041,1.91461,1000.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2002,44.93539,1.92296,1000.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2018,43.64997,2.40112,1000.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2002,44.985,1.91773,1000.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2002,45.00405,1.97624,1000.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2019,43.64841,2.59889,1000.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2002,44.92722,2.07321,1000.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2002,44.97462,2.03954,1000.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2020,44.4467,5.92052,1.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2020,43.17801,0.39748,1.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2019,42.86294,0.69234,4.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2019,43.17805,0.39725,1.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2019,43.17792,0.39748,1.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2020,43.9772,5.74579,1.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2018,44.58021,6.06486,9374.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2018,43.83819,5.94212,9142.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2018,44.89824,1.20684,6304.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2018,43.99393,7.53719,10424.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2009,45.44857,0.50719,10259.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2019,43.12794,-0.43299,,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2018,44.80381,1.24446,3775.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2018,45.33069,1.16372,3895.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2018,45.34761,1.0863,3483.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2007,46.77028,6.21149,5000.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2016,47.04377,6.09596,5000.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2018,47.22716,5.97426,5000.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2003,47.67343,6.13252,5000.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2016,47.30233,6.50824,5000.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2017,47.31002,6.24378,5000.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2018,47.05053,5.83271,5000.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
1990,46.8565,6.34797,5000.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2017,47.68027,5.86617,5000.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2002,47.22716,5.97426,5000.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2000,47.66978,6.26567,5000.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2000,47.67692,5.99935,5000.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2013,47.04377,6.09596,5000.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
1994,47.13719,5.96929,5000.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2011,47.4104,5.85173,5000.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2015,47.04377,6.09596,5000.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
1995,47.4104,5.85173,5000.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2004,47.31365,6.11152,5000.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2018,47.68027,5.86617,5000.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2014,47.13373,6.10113,5000.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2012,46.50737,5.93497,5000.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2015,47.11418,6.76003,5000.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2012,46.68733,5.9447,5000.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2012,47.4781,6.65269,5000.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
1902,46.60062,5.80928,5000.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2015,47.1405,5.83744,5000.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2016,47.30233,6.50824,5000.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
1999,47.58698,5.9943,5000.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2001,47.22369,6.10632,5000.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2011,47.31002,6.24378,5000.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2015,47.04377,6.09596,5000.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2001,47.50354,5.72377,5000.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
1996,47.75591,6.40455,5000.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2001,46.85261,6.4791,5000.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2016,47.93177,6.54988,5000.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2000,47.67692,5.99935,5000.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2015,47.66978,6.26567,5000.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
2016,46.51376,5.67429,5000.0,,,"Glis glis (Linnaeus, 1766)",5706486,Glis glis,LC
