year,lat,lon,coordinateUncertaintyInMeters,coordinatePrecision,scientificNameID,scientificName,speciesKey,species,iucnRedListCategory
2022,17.762978,-64.830917,35.0,,,"Urva auropunctata (Hodgson, 1836)",2434271,Herpestes javanicus,LC
2022,18.36559,-65.696787,,,,"Urva auropunctata (Hodgson, 1836)",2434271,Herpestes javanicus,LC
2022,21.401537,-157.755288,,,,"Urva auropunctata (Hodgson, 1836)",2434271,Herpestes javanicus,LC
2013,17.273409,-62.673138,31.0,,,"Urva auropunctata (Hodgson, 1836)",2434271,Herpestes javanicus,LC
2018,19.925722,-155.887925,5.0,,,"Urva auropunctata (Hodgson, 1836)",2434271,Herpestes javanicus,LC
2022,16.053214,-61.676011,1132.0,,,"Urva auropunctata (Hodgson, 1836)",2434271,Herpestes javanicus,LC
2022,19.481108,-155.933363,13.0,,,"Urva auropunctata (Hodgson, 1836)",2434271,Herpestes javanicus,LC
2022,19.625117,-155.983289,,,,"Urva auropunctata (Hodgson, 1836)",2434271,Herpestes javanicus,LC
2022,17.761737,-64.833528,3.0,,,"Urva auropunctata (Hodgson, 1836)",2434271,Herpestes javanicus,LC
2022,17.76293,-64.831116,40.0,,,"Urva auropunctata (Hodgson, 1836)",2434271,Herpestes javanicus,LC
2022,19.913887,-155.886887,8.0,,,"Urva auropunctata (Hodgson, 1836)",2434271,Herpestes javanicus,LC
2022,19.727767,-155.067811,4.0,,,"Urva auropunctata (Hodgson, 1836)",2434271,Herpestes javanicus,LC
2019,21.339816,-158.111954,2374.0,,,"Urva auropunctata (Hodgson, 1836)",2434271,Herpestes javanicus,LC
2022,19.946737,-155.855854,4.0,,,"Urva auropunctata (Hodgson, 1836)",2434271,Herpestes javanicus,LC
2019,16.43112,-61.537,10.0,,,"Urva auropunctata (Hodgson, 1836)",2434271,Herpestes javanicus,LC
2007,14.83004,-61.22189,1.0,,,"Herpestes auropunctatus (Hodgson, 1836)",2434271,Herpestes javanicus,LC
2011,14.71828,-61.09604,1.0,,,"Herpestes auropunctatus (Hodgson, 1836)",2434271,Herpestes javanicus,LC
2014,14.52975,-60.99193,1.0,,,"Herpestes auropunctatus (Hodgson, 1836)",2434271,Herpestes javanicus,LC
2000,18.07187,-63.03639,1.0,,,"Herpestes auropunctatus (Hodgson, 1836)",2434271,Herpestes javanicus,LC
2007,14.87299,-61.16637,1.0,,,"Herpestes auropunctatus (Hodgson, 1836)",2434271,Herpestes javanicus,LC
2005,14.83004,-61.22189,1.0,,,"Herpestes auropunctatus (Hodgson, 1836)",2434271,Herpestes javanicus,LC
2000,18.06702,-63.0846,1.0,,,"Herpestes auropunctatus (Hodgson, 1836)",2434271,Herpestes javanicus,LC
2006,14.71828,-61.09604,1.0,,,"Herpestes auropunctatus (Hodgson, 1836)",2434271,Herpestes javanicus,LC
2011,14.83004,-61.22189,1.0,,,"Herpestes auropunctatus (Hodgson, 1836)",2434271,Herpestes javanicus,LC
2011,14.52975,-60.99193,1.0,,,"Herpestes auropunctatus (Hodgson, 1836)",2434271,Herpestes javanicus,LC
2007,14.84049,-61.16468,1.0,,,"Herpestes auropunctatus (Hodgson, 1836)",2434271,Herpestes javanicus,LC
2006,14.52975,-60.99193,1.0,,,"Herpestes auropunctatus (Hodgson, 1836)",2434271,Herpestes javanicus,LC
2007,14.71828,-61.09604,1.0,,,"Herpestes auropunctatus (Hodgson, 1836)",2434271,Herpestes javanicus,LC
2013,14.52975,-60.99193,1.0,,,"Herpestes auropunctatus (Hodgson, 1836)",2434271,Herpestes javanicus,LC
2014,14.83004,-61.22189,1.0,,,"Herpestes auropunctatus (Hodgson, 1836)",2434271,Herpestes javanicus,LC
2008,14.83004,-61.22189,1.0,,,"Herpestes auropunctatus (Hodgson, 1836)",2434271,Herpestes javanicus,LC
2010,14.70697,-61.09108,1.0,,,"Herpestes auropunctatus (Hodgson, 1836)",2434271,Herpestes javanicus,LC
2008,14.84049,-61.16468,1.0,,,"Herpestes auropunctatus (Hodgson, 1836)",2434271,Herpestes javanicus,LC
2006,14.83004,-61.22189,1.0,,,"Herpestes auropunctatus (Hodgson, 1836)",2434271,Herpestes javanicus,LC
2000,18.10214,-63.03,1.0,,,"Herpestes auropunctatus (Hodgson, 1836)",2434271,Herpestes javanicus,LC
2015,14.52975,-60.99193,1.0,,,"Herpestes auropunctatus (Hodgson, 1836)",2434271,Herpestes javanicus,LC
2010,14.52975,-60.99193,1.0,,,"Herpestes auropunctatus (Hodgson, 1836)",2434271,Herpestes javanicus,LC
2010,14.83004,-61.22189,1.0,,,"Herpestes auropunctatus (Hodgson, 1836)",2434271,Herpestes javanicus,LC
2007,14.71828,-61.09604,1.0,,,"Herpestes auropunctatus (Hodgson, 1836)",2434271,Herpestes javanicus,LC
2005,14.52975,-60.99193,5.0,,,"Herpestes auropunctatus (Hodgson, 1836)",2434271,Herpestes javanicus,LC
2006,14.81787,-61.22074,1.0,,,"Herpestes auropunctatus (Hodgson, 1836)",2434271,Herpestes javanicus,LC
2012,14.52975,-60.99193,1.0,,,"Herpestes auropunctatus (Hodgson, 1836)",2434271,Herpestes javanicus,LC
2015,14.83004,-61.22189,1.0,,,"Herpestes auropunctatus (Hodgson, 1836)",2434271,Herpestes javanicus,LC
2009,14.70697,-61.09108,1.0,,,"Herpestes auropunctatus (Hodgson, 1836)",2434271,Herpestes javanicus,LC
2000,18.06637,-63.14065,1.0,,,"Herpestes auropunctatus (Hodgson, 1836)",2434271,Herpestes javanicus,LC
2008,14.52975,-60.99193,1.0,,,"Herpestes auropunctatus (Hodgson, 1836)",2434271,Herpestes javanicus,LC
2013,14.83004,-61.22189,1.0,,,"Herpestes auropunctatus (Hodgson, 1836)",2434271,Herpestes javanicus,LC
2021,32.023331,48.514788,61.0,,,"Urva auropunctata (Hodgson, 1836)",2434271,Herpestes javanicus,LC
2022,21.331166,-158.122464,,,,"Urva auropunctata (Hodgson, 1836)",2434271,Herpestes javanicus,LC
2022,19.62541,-155.983758,,,,"Urva auropunctata (Hodgson, 1836)",2434271,Herpestes javanicus,LC
2022,19.640158,-155.998677,,,,"Urva auropunctata (Hodgson, 1836)",2434271,Herpestes javanicus,LC
2022,21.476047,-158.151757,31.0,,,"Urva auropunctata (Hodgson, 1836)",2434271,Herpestes javanicus,LC
2022,19.955417,-155.859931,4.0,,,"Urva auropunctata (Hodgson, 1836)",2434271,Herpestes javanicus,LC
2022,19.579492,-155.964211,,,,"Urva auropunctata (Hodgson, 1836)",2434271,Herpestes javanicus,LC
2019,27.178144,78.021,31.0,,,"Urva auropunctata (Hodgson, 1836)",2434271,Herpestes javanicus,LC
2018,14.431733,-60.877422,,,,"Urva auropunctata (Hodgson, 1836)",2434271,Herpestes javanicus,LC
2019,27.178144,78.021,31.0,,,"Urva auropunctata (Hodgson, 1836)",2434271,Herpestes javanicus,LC
2022,18.395817,-77.033942,42.0,,,"Urva auropunctata (Hodgson, 1836)",2434271,Herpestes javanicus,LC
2019,18.936105,-155.646951,206.0,,,"Urva auropunctata (Hodgson, 1836)",2434271,Herpestes javanicus,LC
2021,17.955778,-76.723745,63.0,,,"Urva auropunctata (Hodgson, 1836)",2434271,Herpestes javanicus,LC
2022,19.726441,-155.06964,32.0,,,"Urva auropunctata (Hodgson, 1836)",2434271,Herpestes javanicus,LC
2011,19.595955,-155.799314,15625.0,,,"Urva auropunctata (Hodgson, 1836)",2434271,Herpestes javanicus,LC
2017,16.065791,-61.590821,2324.0,,,"Urva auropunctata (Hodgson, 1836)",2434271,Herpestes javanicus,LC
2021,21.381514,-157.800742,,,,"Urva auropunctata (Hodgson, 1836)",2434271,Herpestes javanicus,LC
2021,20.93303,-156.531463,655.0,,,"Urva auropunctata (Hodgson, 1836)",2434271,Herpestes javanicus,LC
2021,20.788811,-156.004456,,,,"Urva auropunctata (Hodgson, 1836)",2434271,Herpestes javanicus,LC
2010,20.595909,-156.414461,25.0,,,"Urva auropunctata (Hodgson, 1836)",2434271,Herpestes javanicus,LC
2022,20.786797,-156.002608,3.0,,,"Urva auropunctata (Hodgson, 1836)",2434271,Herpestes javanicus,LC
2008,18.109086,-63.032497,31.0,,,"Urva auropunctata (Hodgson, 1836)",2434271,Herpestes javanicus,LC
2022,19.733358,-155.028526,44.0,,,"Urva auropunctata (Hodgson, 1836)",2434271,Herpestes javanicus,LC
2021,19.720495,-155.07707,100.0,,,"Urva auropunctata (Hodgson, 1836)",2434271,Herpestes javanicus,LC
2017,21.264433,-157.78094,,,,"Urva auropunctata (Hodgson, 1836)",2434271,Herpestes javanicus,LC
2007,19.683006,-156.033159,25.0,,,"Urva auropunctata (Hodgson, 1836)",2434271,Herpestes javanicus,LC
2021,21.438912,-158.000056,47398.0,,,"Urva auropunctata (Hodgson, 1836)",2434271,Herpestes javanicus,LC
2022,20.870152,-156.168529,362.0,,,"Urva auropunctata (Hodgson, 1836)",2434271,Herpestes javanicus,LC
2022,19.645645,-156.011381,79.0,,,"Urva auropunctata (Hodgson, 1836)",2434271,Herpestes javanicus,LC
2022,20.788647,-156.003586,4.0,,,"Urva auropunctata (Hodgson, 1836)",2434271,Herpestes javanicus,LC
2021,18.103616,-71.077214,7.0,,,"Urva auropunctata (Hodgson, 1836)",2434271,Herpestes javanicus,LC
2021,21.316383,-157.664267,,,,"Urva auropunctata (Hodgson, 1836)",2434271,Herpestes javanicus,LC
2020,26.788434,77.119208,7813.0,,,"Urva auropunctata (Hodgson, 1836)",2434271,Herpestes javanicus,LC
2022,19.781018,-156.041531,93.0,,,"Urva auropunctata (Hodgson, 1836)",2434271,Herpestes javanicus,LC
2021,21.29187,-157.679095,8.0,,,"Urva auropunctata (Hodgson, 1836)",2434271,Herpestes javanicus,LC
2022,19.480778,-155.933856,,,,"Urva auropunctata (Hodgson, 1836)",2434271,Herpestes javanicus,LC
2021,22.523718,88.296067,53.0,,,"Urva auropunctata (Hodgson, 1836)",2434271,Herpestes javanicus,LC
2010,13.909444,-60.978893,26797.0,,,"Urva auropunctata (Hodgson, 1836)",2434271,Herpestes javanicus,LC
2021,18.319967,-65.769806,5000.0,,,"Urva auropunctata (Hodgson, 1836)",2434271,Herpestes javanicus,LC
2021,19.423073,-155.910677,,,,"Urva auropunctata (Hodgson, 1836)",2434271,Herpestes javanicus,LC
2016,13.191574,-59.63966,109.0,,,"Urva auropunctata (Hodgson, 1836)",2434271,Herpestes javanicus,LC
2022,42.253946,18.900529,,,,"Urva auropunctata (Hodgson, 1836)",2434271,Herpestes javanicus,LC
2021,21.263325,-157.805953,10.0,,,"Urva auropunctata (Hodgson, 1836)",2434271,Herpestes javanicus,LC
2021,19.853113,-155.151825,5.0,,,"Urva auropunctata (Hodgson, 1836)",2434271,Herpestes javanicus,LC
2017,21.262082,-157.807055,977.0,,,"Urva auropunctata (Hodgson, 1836)",2434271,Herpestes javanicus,LC
2007,26.78923,78.569165,18185.0,,,"Urva auropunctata (Hodgson, 1836)",2434271,Herpestes javanicus,LC
2021,19.989853,-155.900462,30527.0,,,"Urva auropunctata (Hodgson, 1836)",2434271,Herpestes javanicus,LC
2021,21.263328,-157.805742,16.0,,,"Urva auropunctata (Hodgson, 1836)",2434271,Herpestes javanicus,LC
2021,19.844509,-155.74687,28.0,,,"Urva auropunctata (Hodgson, 1836)",2434271,Herpestes javanicus,LC
2021,26.457112,127.939291,591.0,,,"Urva auropunctata (Hodgson, 1836)",2434271,Herpestes javanicus,LC
2021,19.915047,-155.887293,2043.0,,,"Urva auropunctata (Hodgson, 1836)",2434271,Herpestes javanicus,LC
2021,13.193887,-59.543198,20894.0,,,"Urva auropunctata (Hodgson, 1836)",2434271,Herpestes javanicus,LC
2021,19.921814,-155.870308,7.0,,,"Urva auropunctata (Hodgson, 1836)",2434271,Herpestes javanicus,LC
2021,20.073762,-155.914021,30508.0,,,"Urva auropunctata (Hodgson, 1836)",2434271,Herpestes javanicus,LC
2017,20.78651,-156.00268,203.0,,,"Urva auropunctata (Hodgson, 1836)",2434271,Herpestes javanicus,LC
2021,19.407397,-155.883905,30562.0,,,"Urva auropunctata (Hodgson, 1836)",2434271,Herpestes javanicus,LC
2020,-11.65609,43.264702,210.0,,,"Urva auropunctata (Hodgson, 1836)",2434271,Herpestes javanicus,LC
2021,21.265446,-157.797816,8.0,,,"Urva auropunctata (Hodgson, 1836)",2434271,Herpestes javanicus,LC
2021,21.313985,-157.822243,,,,"Urva auropunctata (Hodgson, 1836)",2434271,Herpestes javanicus,LC
2021,19.645372,-156.010025,4.0,,,"Urva auropunctata (Hodgson, 1836)",2434271,Herpestes javanicus,LC
2021,21.297499,-157.813936,253.0,,,"Urva auropunctata (Hodgson, 1836)",2434271,Herpestes javanicus,LC
2011,21.886529,-159.496872,1953.0,,,"Urva auropunctata (Hodgson, 1836)",2434271,Herpestes javanicus,LC
