year,lat,lon,coordinateUncertaintyInMeters,coordinatePrecision,scientificNameID,scientificName,speciesKey,species,iucnRedListCategory
2022,39.143059,-7.986785,,,,"Herpestes ichneumon (Linnaeus, 1758)",2434255,Herpestes ichneumon,LC
2008,37.179814,-8.457827,224.0,,,"Herpestes ichneumon (Linnaeus, 1758)",2434255,Herpestes ichneumon,LC
1984,38.986227,-8.28629,7025.0,,,"Herpestes ichneumon (Linnaeus, 1758)",2434255,Herpestes ichneumon,LC
1985,38.899898,-8.796776,9646.0,,,"Herpestes ichneumon (Linnaeus, 1758)",2434255,Herpestes ichneumon,LC
1985,38.373258,-8.514436,1958.0,,,"Herpestes ichneumon (Linnaeus, 1758)",2434255,Herpestes ichneumon,LC
1986,38.392735,-8.154989,3036.0,,,"Herpestes ichneumon (Linnaeus, 1758)",2434255,Herpestes ichneumon,LC
1984,38.358391,-8.348568,1397.0,,,"Herpestes ichneumon (Linnaeus, 1758)",2434255,Herpestes ichneumon,LC
1985,38.571365,-7.909441,82538.0,,,"Herpestes ichneumon (Linnaeus, 1758)",2434255,Herpestes ichneumon,LC
1986,38.571365,-7.909441,82538.0,,,"Herpestes ichneumon (Linnaeus, 1758)",2434255,Herpestes ichneumon,LC
1988,38.723626,-7.984777,1413.0,,,"Herpestes ichneumon (Linnaeus, 1758)",2434255,Herpestes ichneumon,LC
1992,39.105233,-8.714597,3106.0,,,"Herpestes ichneumon (Linnaeus, 1758)",2434255,Herpestes ichneumon,LC
1988,38.571365,-7.909613,3657.0,,,"Herpestes ichneumon (Linnaeus, 1758)",2434255,Herpestes ichneumon,LC
1988,38.571365,-7.909613,3657.0,,,"Herpestes ichneumon (Linnaeus, 1758)",2434255,Herpestes ichneumon,LC
1991,38.648117,-8.214549,4965.0,,,"Herpestes ichneumon (Linnaeus, 1758)",2434255,Herpestes ichneumon,LC
1992,39.105233,-8.714597,3106.0,,,"Herpestes ichneumon (Linnaeus, 1758)",2434255,Herpestes ichneumon,LC
1987,38.89503,-8.017863,3036.0,,,"Herpestes ichneumon (Linnaeus, 1758)",2434255,Herpestes ichneumon,LC
1986,38.571365,-7.909613,3657.0,,,"Herpestes ichneumon (Linnaeus, 1758)",2434255,Herpestes ichneumon,LC
1986,38.571365,-7.909613,3657.0,,,"Herpestes ichneumon (Linnaeus, 1758)",2434255,Herpestes ichneumon,LC
