year,lat,lon,coordinateUncertaintyInMeters,coordinatePrecision,scientificNameID,scientificName,speciesKey,species,iucnRedListCategory
2021,44.725897,9.057339,32.0,,,"Hystrix cristata Linnaeus, 1758",5219888,Hystrix cristata,LC
2020,45.038245,8.29858,27222.0,,,"Hystrix cristata Linnaeus, 1758",5219888,Hystrix cristata,LC
2021,41.845445,13.094692,2.0,,,"Hystrix cristata Linnaeus, 1758",5219888,Hystrix cristata,LC
2020,44.068772,12.432344,,,,"Hystrix cristata Linnaeus, 1758",5219888,Hystrix cristata,LC
2021,42.033669,13.745833,41.0,,,"Hystrix cristata Linnaeus, 1758",5219888,Hystrix cristata,LC
2020,42.723788,11.517612,4.0,,,"Hystrix cristata Linnaeus, 1758",5219888,Hystrix cristata,LC
2021,42.941706,11.460712,3000.0,,,"Hystrix cristata Linnaeus, 1758",5219888,Hystrix cristata,LC
2021,40.16412,16.490972,32.0,,,"Hystrix cristata Linnaeus, 1758",5219888,Hystrix cristata,LC
2020,44.724683,10.305839,,,,"Hystrix cristata Linnaeus, 1758",5219888,Hystrix cristata,LC
2021,44.011372,11.016459,144.0,,,"Hystrix cristata Linnaeus, 1758",5219888,Hystrix cristata,LC
2020,45.054085,8.246635,27222.0,,,"Hystrix cristata Linnaeus, 1758",5219888,Hystrix cristata,LC
2021,42.705278,11.578741,2.0,,,"Hystrix cristata Linnaeus, 1758",5219888,Hystrix cristata,LC
2021,42.707897,11.134842,612.0,,,"Hystrix cristata Linnaeus, 1758",5219888,Hystrix cristata,LC
2022,41.848534,12.512272,2.0,,,"Hystrix cristata Linnaeus, 1758",5219888,Hystrix cristata,LC
2021,42.727935,11.525798,2.0,,,"Hystrix cristata Linnaeus, 1758",5219888,Hystrix cristata,LC
2021,40.319592,16.795699,71.0,,,"Hystrix cristata Linnaeus, 1758",5219888,Hystrix cristata,LC
2022,44.368014,12.313122,,,,"Hystrix cristata Linnaeus, 1758",5219888,Hystrix cristata,LC
2022,44.939045,9.045428,8.0,,,"Hystrix cristata Linnaeus, 1758",5219888,Hystrix cristata,LC
2022,10.844533,19.794028,4.0,,,"Hystrix cristata Linnaeus, 1758",5219888,Hystrix cristata,LC
2022,43.260388,13.57928,2.0,,,"Hystrix cristata Linnaeus, 1758",5219888,Hystrix cristata,LC
2022,43.75069,13.079919,15.0,,,"Hystrix cristata Linnaeus, 1758",5219888,Hystrix cristata,LC
2021,44.241772,11.413702,,,,"Hystrix cristata Linnaeus, 1758",5219888,Hystrix cristata,LC
2021,44.746288,9.19304,27285.0,,,"Hystrix cristata Linnaeus, 1758",5219888,Hystrix cristata,LC
2022,44.837617,8.209197,1.0,,,"Hystrix cristata Linnaeus, 1758",5219888,Hystrix cristata,LC
2022,43.558526,11.467303,,,,"Hystrix cristata Linnaeus, 1758",5219888,Hystrix cristata,LC
2022,41.300917,13.668006,,,,"Hystrix cristata Linnaeus, 1758",5219888,Hystrix cristata,LC
2022,43.475949,11.858173,2.0,,,"Hystrix cristata Linnaeus, 1758",5219888,Hystrix cristata,LC
2019,-3.407049,36.885472,141.0,,,"Hystrix cristata Linnaeus, 1758",5219888,Hystrix cristata,LC
2022,40.8073,15.535454,33.0,,,"Hystrix cristata Linnaeus, 1758",5219888,Hystrix cristata,LC
2021,36.330842,6.760784,28563.0,,,"Hystrix cristata Linnaeus, 1758",5219888,Hystrix cristata,LC
2021,43.199078,13.052231,10.0,,,"Hystrix cristata Linnaeus, 1758",5219888,Hystrix cristata,LC
2021,42.687639,11.050867,4.0,,,"Hystrix cristata Linnaeus, 1758",5219888,Hystrix cristata,LC
2017,44.462577,11.344828,8.0,,,"Hystrix cristata Linnaeus, 1758",5219888,Hystrix cristata,LC
2016,11.105389,1.750911,,,,"Hystrix cristata Linnaeus, 1758",5219888,Hystrix cristata,LC
2021,41.73195,14.687987,625.0,,,"Hystrix cristata Linnaeus, 1758",5219888,Hystrix cristata,LC
2021,16.903719,21.719233,1953.0,,,"Hystrix cristata Linnaeus, 1758",5219888,Hystrix cristata,LC
