year,lat,lon,coordinateUncertaintyInMeters,coordinatePrecision,scientificNameID,scientificName,speciesKey,species,iucnRedListCategory
2011,41.613954,12.428029,27754.0,,,"Lepus corsicanus de Winton, 1898",2436789,Lepus corsicanus,VU
2021,42.113127,12.960464,27692.0,,,"Lepus corsicanus de Winton, 1898",2436789,Lepus corsicanus,VU
2021,42.059884,12.898122,27692.0,,,"Lepus corsicanus de Winton, 1898",2436789,Lepus corsicanus,VU
2020,37.958298,14.466402,28329.0,,,"Lepus corsicanus de Winton, 1898",2436789,Lepus corsicanus,VU
2013,42.03331,9.444034,27692.0,,,"Lepus corsicanus de Winton, 1898",2436789,Lepus corsicanus,VU
2002,42.02861,9.45434,5000.0,,,"Lepus corsicanus de Winton, 1898",2436789,Lepus corsicanus,VU
2002,42.67727,9.15965,5000.0,,,"Lepus corsicanus de Winton, 1898",2436789,Lepus corsicanus,VU
2002,42.58057,9.27145,5000.0,,,"Lepus corsicanus de Winton, 1898",2436789,Lepus corsicanus,VU
2002,42.21501,9.35359,5000.0,,,"Lepus corsicanus de Winton, 1898",2436789,Lepus corsicanus,VU
2002,42.50493,9.0196,5000.0,,,"Lepus corsicanus de Winton, 1898",2436789,Lepus corsicanus,VU
2002,42.23606,8.99197,5000.0,,,"Lepus corsicanus de Winton, 1898",2436789,Lepus corsicanus,VU
2002,42.67019,9.28112,5000.0,,,"Lepus corsicanus de Winton, 1898",2436789,Lepus corsicanus,VU
2002,42.33243,8.88037,5000.0,,,"Lepus corsicanus de Winton, 1898",2436789,Lepus corsicanus,VU
2002,42.31175,9.24263,5000.0,,,"Lepus corsicanus de Winton, 1898",2436789,Lepus corsicanus,VU
2002,42.59456,9.02886,5000.0,,,"Lepus corsicanus de Winton, 1898",2436789,Lepus corsicanus,VU
2002,42.6842,9.03816,5000.0,,,"Lepus corsicanus de Winton, 1898",2436789,Lepus corsicanus,VU
2002,42.07017,8.73319,5000.0,,,"Lepus corsicanus de Winton, 1898",2436789,Lepus corsicanus,VU
2002,42.03588,9.33422,5000.0,,,"Lepus corsicanus de Winton, 1898",2436789,Lepus corsicanus,VU
2002,41.97398,8.84453,5000.0,,,"Lepus corsicanus de Winton, 1898",2436789,Lepus corsicanus,VU
