year,lat,lon,coordinateUncertaintyInMeters,coordinatePrecision,scientificNameID,scientificName,speciesKey,species,iucnRedListCategory
2021,40.661,0.309,707.0,,,"Lepus granatensis Rosenhauer, 1856",2436790,Lepus granatensis,LC
2021,41.057,0.305,707.0,,,"Lepus granatensis Rosenhauer, 1856",2436790,Lepus granatensis,LC
2019,40.652,0.759,707.0,,,"Lepus granatensis Rosenhauer, 1856",2436790,Lepus granatensis,LC
2018,40.652,0.771,707.0,,,"Lepus granatensis Rosenhauer, 1856",2436790,Lepus granatensis,LC
2021,40.811,0.612,707.0,,,"Lepus granatensis Rosenhauer, 1856",2436790,Lepus granatensis,LC
2021,40.727,0.449,707.0,,,"Lepus granatensis Rosenhauer, 1856",2436790,Lepus granatensis,LC
2021,40.868,0.313,707.0,,,"Lepus granatensis Rosenhauer, 1856",2436790,Lepus granatensis,LC
2018,40.71,0.497,707.0,,,"Lepus granatensis Rosenhauer, 1856",2436790,Lepus granatensis,LC
2012,42.77133,2.92064,1000.0,,,"Lepus granatensis Rosenhauer, 1856",2436790,Lepus granatensis,LC
2018,43.55049,4.95061,8550.0,,,"Lepus granatensis Rosenhauer, 1856",2436790,Lepus granatensis,LC
2021,37.682188,-7.853851,117.0,,,"Lepus granatensis Rosenhauer, 1856",2436790,Lepus granatensis,LC
2022,40.325659,-3.798133,8.0,,,"Lepus granatensis Rosenhauer, 1856",2436790,Lepus granatensis,LC
2020,39.207198,-4.797399,122.0,,,"Lepus granatensis Rosenhauer, 1856",2436790,Lepus granatensis,LC
2021,40.616885,-3.688904,15.0,,,"Lepus granatensis Rosenhauer, 1856",2436790,Lepus granatensis,LC
2021,40.32567,-3.793991,15.0,,,"Lepus granatensis Rosenhauer, 1856",2436790,Lepus granatensis,LC
2022,40.495407,-3.631633,40.0,,,"Lepus granatensis Rosenhauer, 1856",2436790,Lepus granatensis,LC
2021,40.640621,-3.665191,269.0,,,"Lepus granatensis Rosenhauer, 1856",2436790,Lepus granatensis,LC
2021,40.823326,-3.95644,,,,"Lepus granatensis Rosenhauer, 1856",2436790,Lepus granatensis,LC
2021,37.085468,-7.701535,,,,"Lepus granatensis Rosenhauer, 1856",2436790,Lepus granatensis,LC
2011,38.1755,-7.039474,453.0,,,"Lepus granatensis Rosenhauer, 1856",2436790,Lepus granatensis,LC
2021,37.16733,-2.516175,5.0,,,"Lepus granatensis Rosenhauer, 1856",2436790,Lepus granatensis,LC
2020,37.675804,-8.063107,250.0,,,"Lepus granatensis Rosenhauer, 1856",2436790,Lepus granatensis,LC
