lat,lon,coordinatePrecision,scientificNameID,scientificName,speciesKey,species,iucnRedListCategory
41.265461,-7.383941,1e-05,,"Lutra lutra (Linnaeus, 1758)",2433753,Lutra lutra,NT
41.324537,-7.358316,1e-05,,"Lutra lutra (Linnaeus, 1758)",2433753,Lutra lutra,NT
41.240213,-7.426707,1e-05,,"Lutra lutra (Linnaeus, 1758)",2433753,Lutra lutra,NT
41.330969,-7.349448,1e-05,,"Lutra lutra (Linnaeus, 1758)",2433753,Lutra lutra,NT
41.365391,-7.245191,1e-05,,"Lutra lutra (Linnaeus, 1758)",2433753,Lutra lutra,NT
41.349458,-7.331747,1e-05,,"Lutra lutra (Linnaeus, 1758)",2433753,Lutra lutra,NT
41.226559,-7.41866,1e-05,,"Lutra lutra (Linnaeus, 1758)",2433753,Lutra lutra,NT
41.349458,-7.331747,1e-05,,"Lutra lutra (Linnaeus, 1758)",2433753,Lutra lutra,NT
41.349368,-7.331712,1e-05,,"Lutra lutra (Linnaeus, 1758)",2433753,Lutra lutra,NT
41.265461,-7.383941,1e-05,,"Lutra lutra (Linnaeus, 1758)",2433753,Lutra lutra,NT
41.332605,-7.338594,1e-05,,"Lutra lutra (Linnaeus, 1758)",2433753,Lutra lutra,NT
41.325681,-7.381581,1e-05,,"Lutra lutra (Linnaeus, 1758)",2433753,Lutra lutra,NT
41.265461,-7.383941,1e-05,,"Lutra lutra (Linnaeus, 1758)",2433753,Lutra lutra,NT
41.333187,-7.297316,1e-05,,"Lutra lutra (Linnaeus, 1758)",2433753,Lutra lutra,NT
41.334357,-7.407726,1e-05,,"Lutra lutra (Linnaeus, 1758)",2433753,Lutra lutra,NT
41.252894,-7.412743,1e-05,,"Lutra lutra (Linnaeus, 1758)",2433753,Lutra lutra,NT
41.2175,-7.433259,1e-05,,"Lutra lutra (Linnaeus, 1758)",2433753,Lutra lutra,NT
41.333187,-7.297316,1e-05,,"Lutra lutra (Linnaeus, 1758)",2433753,Lutra lutra,NT
41.34381,-7.312102,1e-05,,"Lutra lutra (Linnaeus, 1758)",2433753,Lutra lutra,NT
41.307643,-7.381119,1e-05,,"Lutra lutra (Linnaeus, 1758)",2433753,Lutra lutra,NT
41.369846,-7.250784,1e-05,,"Lutra lutra (Linnaeus, 1758)",2433753,Lutra lutra,NT
41.265461,-7.383941,1e-05,,"Lutra lutra (Linnaeus, 1758)",2433753,Lutra lutra,NT
41.341688,-7.286359,1e-05,,"Lutra lutra (Linnaeus, 1758)",2433753,Lutra lutra,NT
41.36305,-7.261727,1e-05,,"Lutra lutra (Linnaeus, 1758)",2433753,Lutra lutra,NT
41.266586,-7.37974,1e-05,,"Lutra lutra (Linnaeus, 1758)",2433753,Lutra lutra,NT
41.277647,-7.385986,1e-05,,"Lutra lutra (Linnaeus, 1758)",2433753,Lutra lutra,NT
41.34381,-7.312102,1e-05,,"Lutra lutra (Linnaeus, 1758)",2433753,Lutra lutra,NT
41.329627,-7.418804,1e-05,,"Lutra lutra (Linnaeus, 1758)",2433753,Lutra lutra,NT
41.232992,-7.422371,1e-05,,"Lutra lutra (Linnaeus, 1758)",2433753,Lutra lutra,NT
41.300319,-7.365371,1e-05,,"Lutra lutra (Linnaeus, 1758)",2433753,Lutra lutra,NT
41.292843,-7.370449,1e-05,,"Lutra lutra (Linnaeus, 1758)",2433753,Lutra lutra,NT
41.254416,-7.404183,1e-05,,"Lutra lutra (Linnaeus, 1758)",2433753,Lutra lutra,NT
41.262696,-7.361945,1e-05,,"Lutra lutra (Linnaeus, 1758)",2433753,Lutra lutra,NT
41.378893,-7.196918,1e-05,,"Lutra lutra (Linnaeus, 1758)",2433753,Lutra lutra,NT
41.235318,-7.406876,1e-05,,"Lutra lutra (Linnaeus, 1758)",2433753,Lutra lutra,NT
41.266586,-7.37974,1e-05,,"Lutra lutra (Linnaeus, 1758)",2433753,Lutra lutra,NT
41.330777,-7.383004,1e-05,,"Lutra lutra (Linnaeus, 1758)",2433753,Lutra lutra,NT
41.240204,-7.426719,1e-05,,"Lutra lutra (Linnaeus, 1758)",2433753,Lutra lutra,NT
41.32569,-7.381569,1e-05,,"Lutra lutra (Linnaeus, 1758)",2433753,Lutra lutra,NT
41.325681,-7.381581,1e-05,,"Lutra lutra (Linnaeus, 1758)",2433753,Lutra lutra,NT
41.254425,-7.404171,1e-05,,"Lutra lutra (Linnaeus, 1758)",2433753,Lutra lutra,NT
41.337693,-7.320625,1e-05,,"Lutra lutra (Linnaeus, 1758)",2433753,Lutra lutra,NT
41.365372,-7.245048,1e-05,,"Lutra lutra (Linnaeus, 1758)",2433753,Lutra lutra,NT
41.314159,-7.366893,1e-05,,"Lutra lutra (Linnaeus, 1758)",2433753,Lutra lutra,NT
41.341356,-7.314045,1e-05,,"Lutra lutra (Linnaeus, 1758)",2433753,Lutra lutra,NT
41.365372,-7.245048,1e-05,,"Lutra lutra (Linnaeus, 1758)",2433753,Lutra lutra,NT
41.300319,-7.365371,1e-05,,"Lutra lutra (Linnaeus, 1758)",2433753,Lutra lutra,NT
41.387647,-7.226586,1e-05,,"Lutra lutra (Linnaeus, 1758)",2433753,Lutra lutra,NT
41.3193,-7.384819,1e-05,,"Lutra lutra (Linnaeus, 1758)",2433753,Lutra lutra,NT
41.365391,-7.245191,1e-05,,"Lutra lutra (Linnaeus, 1758)",2433753,Lutra lutra,NT
41.349458,-7.331747,1e-05,,"Lutra lutra (Linnaeus, 1758)",2433753,Lutra lutra,NT
41.241895,-7.401853,1e-05,,"Lutra lutra (Linnaeus, 1758)",2433753,Lutra lutra,NT
41.347506,-7.286619,1e-05,,"Lutra lutra (Linnaeus, 1758)",2433753,Lutra lutra,NT
41.347506,-7.286619,1e-05,,"Lutra lutra (Linnaeus, 1758)",2433753,Lutra lutra,NT
41.222475,-7.42803,1e-05,,"Lutra lutra (Linnaeus, 1758)",2433753,Lutra lutra,NT
41.335122,-7.349841,1e-05,,"Lutra lutra (Linnaeus, 1758)",2433753,Lutra lutra,NT
41.34381,-7.312102,1e-05,,"Lutra lutra (Linnaeus, 1758)",2433753,Lutra lutra,NT
41.380749,-7.222928,1e-05,,"Lutra lutra (Linnaeus, 1758)",2433753,Lutra lutra,NT
41.367217,-7.274735,1e-05,,"Lutra lutra (Linnaeus, 1758)",2433753,Lutra lutra,NT
41.287812,-7.37761,1e-05,,"Lutra lutra (Linnaeus, 1758)",2433753,Lutra lutra,NT
41.378893,-7.196918,1e-05,,"Lutra lutra (Linnaeus, 1758)",2433753,Lutra lutra,NT
41.266586,-7.37974,1e-05,,"Lutra lutra (Linnaeus, 1758)",2433753,Lutra lutra,NT
41.24324,-7.427008,1e-05,,"Lutra lutra (Linnaeus, 1758)",2433753,Lutra lutra,NT
41.363309,-7.341317,1e-05,,"Lutra lutra (Linnaeus, 1758)",2433753,Lutra lutra,NT
41.27669,-7.409629,1e-05,,"Lutra lutra (Linnaeus, 1758)",2433753,Lutra lutra,NT
41.36525,-7.21112,1e-05,,"Lutra lutra (Linnaeus, 1758)",2433753,Lutra lutra,NT
41.24177,-7.399099,1e-05,,"Lutra lutra (Linnaeus, 1758)",2433753,Lutra lutra,NT
41.367217,-7.274735,1e-05,,"Lutra lutra (Linnaeus, 1758)",2433753,Lutra lutra,NT
41.239573,-7.414809,1e-05,,"Lutra lutra (Linnaeus, 1758)",2433753,Lutra lutra,NT
41.334018,-7.320432,1e-05,,"Lutra lutra (Linnaeus, 1758)",2433753,Lutra lutra,NT
41.387647,-7.226586,1e-05,,"Lutra lutra (Linnaeus, 1758)",2433753,Lutra lutra,NT
41.314159,-7.366893,1e-05,,"Lutra lutra (Linnaeus, 1758)",2433753,Lutra lutra,NT
41.299486,-7.351305,1e-05,,"Lutra lutra (Linnaeus, 1758)",2433753,Lutra lutra,NT
41.334357,-7.407726,1e-05,,"Lutra lutra (Linnaeus, 1758)",2433753,Lutra lutra,NT
41.349368,-7.331712,1e-05,,"Lutra lutra (Linnaeus, 1758)",2433753,Lutra lutra,NT
41.371462,-7.292429,1e-05,,"Lutra lutra (Linnaeus, 1758)",2433753,Lutra lutra,NT
41.34153,-7.314413,1e-05,,"Lutra lutra (Linnaeus, 1758)",2433753,Lutra lutra,NT
41.240204,-7.426719,1e-05,,"Lutra lutra (Linnaeus, 1758)",2433753,Lutra lutra,NT
41.257766,-7.368065,1e-05,,"Lutra lutra (Linnaeus, 1758)",2433753,Lutra lutra,NT
41.371573,-7.337321,1e-05,,"Lutra lutra (Linnaeus, 1758)",2433753,Lutra lutra,NT
41.28506,-7.387728,1e-05,,"Lutra lutra (Linnaeus, 1758)",2433753,Lutra lutra,NT
41.287786,-7.381812,1e-05,,"Lutra lutra (Linnaeus, 1758)",2433753,Lutra lutra,NT
41.380749,-7.222928,1e-05,,"Lutra lutra (Linnaeus, 1758)",2433753,Lutra lutra,NT
41.365372,-7.245048,1e-05,,"Lutra lutra (Linnaeus, 1758)",2433753,Lutra lutra,NT
