lat,lon,coordinatePrecision,scientificNameID,scientificName,speciesKey,species,iucnRedListCategory
66.386203,14.038185,1.0,,"Lynx lynx (Linnaeus, 1758)",2435240,Lynx lynx,LC
63.18252,11.16138,1.0,,"Lynx lynx (Linnaeus, 1758)",2435240,Lynx lynx,LC
66.842187,15.334897,1.0,,"Lynx lynx (Linnaeus, 1758)",2435240,Lynx lynx,LC
62.951017,8.181243,0.0,,"Lynx lynx (Linnaeus, 1758)",2435240,Lynx lynx,LC
61.54871,11.012735,0.0,,"Lynx lynx (Linnaeus, 1758)",2435240,Lynx lynx,LC
62.950975,8.181409,1.0,,"Lynx lynx (Linnaeus, 1758)",2435240,Lynx lynx,LC
63.440341,11.041002,1.0,,"Lynx lynx (Linnaeus, 1758)",2435240,Lynx lynx,LC
62.572577,7.507471,1.0,,"Lynx lynx (Linnaeus, 1758)",2435240,Lynx lynx,LC
59.467452,9.05414,1.0,,"Lynx lynx (Linnaeus, 1758)",2435240,Lynx lynx,LC
58.690868,7.806795,1.0,,"Lynx lynx (Linnaeus, 1758)",2435240,Lynx lynx,LC
63.198654,11.162782,0.0,,"Lynx lynx (Linnaeus, 1758)",2435240,Lynx lynx,LC
65.385696,12.480527,0.0,,"Lynx lynx (Linnaeus, 1758)",2435240,Lynx lynx,LC
63.454365,11.402006,1.0,,"Lynx lynx (Linnaeus, 1758)",2435240,Lynx lynx,LC
64.94562,13.119121,1.0,,"Lynx lynx (Linnaeus, 1758)",2435240,Lynx lynx,LC
62.572458,7.509069,0.0,,"Lynx lynx (Linnaeus, 1758)",2435240,Lynx lynx,LC
62.824522,8.23009,1.0,,"Lynx lynx (Linnaeus, 1758)",2435240,Lynx lynx,LC
69.6966,21.275411,1.0,,"Lynx lynx (Linnaeus, 1758)",2435240,Lynx lynx,LC
66.155905,13.763924,0.0,,"Lynx lynx (Linnaeus, 1758)",2435240,Lynx lynx,LC
62.573768,7.539486,1.0,,"Lynx lynx (Linnaeus, 1758)",2435240,Lynx lynx,LC
61.432279,11.054487,1.0,,"Lynx lynx (Linnaeus, 1758)",2435240,Lynx lynx,LC
62.575843,7.52763,1.0,,"Lynx lynx (Linnaeus, 1758)",2435240,Lynx lynx,LC
65.42596,12.419293,1.0,,"Lynx lynx (Linnaeus, 1758)",2435240,Lynx lynx,LC
62.84931,11.30373,1.0,,"Lynx lynx (Linnaeus, 1758)",2435240,Lynx lynx,LC
64.546297,11.652287,0.0,,"Lynx lynx (Linnaeus, 1758)",2435240,Lynx lynx,LC
66.161794,13.874187,1.0,,"Lynx lynx (Linnaeus, 1758)",2435240,Lynx lynx,LC
63.504733,10.895466,1.0,,"Lynx lynx (Linnaeus, 1758)",2435240,Lynx lynx,LC
62.572703,7.508962,1.0,,"Lynx lynx (Linnaeus, 1758)",2435240,Lynx lynx,LC
62.565504,7.504971,1.0,,"Lynx lynx (Linnaeus, 1758)",2435240,Lynx lynx,LC
62.588595,7.547446,0.0,,"Lynx lynx (Linnaeus, 1758)",2435240,Lynx lynx,LC
62.570847,7.593398,1.0,,"Lynx lynx (Linnaeus, 1758)",2435240,Lynx lynx,LC
63.008776,8.191273,1.0,,"Lynx lynx (Linnaeus, 1758)",2435240,Lynx lynx,LC
62.668961,7.538065,1.0,,"Lynx lynx (Linnaeus, 1758)",2435240,Lynx lynx,LC
65.514421,12.254198,1.0,,"Lynx lynx (Linnaeus, 1758)",2435240,Lynx lynx,LC
