year,lat,lon,coordinateUncertaintyInMeters,coordinatePrecision,scientificNameID,scientificName,speciesKey,species,iucnRedListCategory
1968,40.2839,-7.119441,5560.0,,,"Lynx pardinus (Temminck, 1827)",2435261,Lynx pardinus,EN
1944,40.256503,-7.03098,12080.0,,,"Lynx pardinus (Temminck, 1827)",2435261,Lynx pardinus,EN
1950,38.380587,-8.786079,6091.0,,,"Lynx pardinus (Temminck, 1827)",2435261,Lynx pardinus,EN
1970,38.134462,-6.976042,3036.0,,,"Lynx pardinus (Temminck, 1827)",2435261,Lynx pardinus,EN
1974,38.105924,-7.06691,9126.0,,,"Lynx pardinus (Temminck, 1827)",2435261,Lynx pardinus,EN
1988,40.168946,-7.169867,3036.0,,,"Lynx pardinus (Temminck, 1827)",2435261,Lynx pardinus,EN
1987,39.492934,-8.66172,1144.0,,,"Lynx pardinus (Temminck, 1827)",2435261,Lynx pardinus,EN
2022,38.279377,-4.153831,28270.0,,,"Lynx pardinus (Temminck, 1827)",2435261,Lynx pardinus,EN
2022,38.334014,-3.845191,28270.0,,,"Lynx pardinus (Temminck, 1827)",2435261,Lynx pardinus,EN
2022,38.119151,-3.828095,28300.0,,,"Lynx pardinus (Temminck, 1827)",2435261,Lynx pardinus,EN
2022,37.365809,-6.693494,28417.0,,,"Lynx pardinus (Temminck, 1827)",2435261,Lynx pardinus,EN
2010,38.195189,-4.153832,28300.0,,,"Lynx pardinus (Temminck, 1827)",2435261,Lynx pardinus,EN
2021,38.120982,-4.039195,28300.0,,,"Lynx pardinus (Temminck, 1827)",2435261,Lynx pardinus,EN
2021,38.056936,-3.985842,28300.0,,,"Lynx pardinus (Temminck, 1827)",2435261,Lynx pardinus,EN
2019,37.167583,-6.580825,32924.0,,,"Lynx pardinus (Temminck, 1827)",2435261,Lynx pardinus,EN
2018,37.891123,-7.622258,7071.0,0.0750132148062151,,"Lynx pardinus (Temminck, 1827)",2435261,Lynx pardinus,EN
2018,37.606127,-7.663326,7070.0,0.0747571156614474,,"Lynx pardinus (Temminck, 1827)",2435261,Lynx pardinus,EN
2018,37.870274,-7.733051,7070.0,0.0750133986663339,,"Lynx pardinus (Temminck, 1827)",2435261,Lynx pardinus,EN
2018,37.694194,-7.68648,7071.0,0.0748435829862876,,"Lynx pardinus (Temminck, 1827)",2435261,Lynx pardinus,EN
2018,37.80306,-7.599059,7071.0,0.0749334656808927,,"Lynx pardinus (Temminck, 1827)",2435261,Lynx pardinus,EN
2018,37.782246,-7.709721,7071.0,0.0749305751312492,,"Lynx pardinus (Temminck, 1827)",2435261,Lynx pardinus,EN
2018,37.652236,-7.907384,7070.0,0.0748356769084251,,"Lynx pardinus (Temminck, 1827)",2435261,Lynx pardinus,EN
2018,37.564238,-7.883964,7070.0,0.074750542127468,,"Lynx pardinus (Temminck, 1827)",2435261,Lynx pardinus,EN
2018,37.585246,-7.773674,7071.0,0.0747583779100659,,"Lynx pardinus (Temminck, 1827)",2435261,Lynx pardinus,EN
2018,37.979165,-7.645536,7070.0,0.0750979249576311,,"Lynx pardinus (Temminck, 1827)",2435261,Lynx pardinus,EN
2018,37.714982,-7.575945,7070.0,0.0748450897673594,,"Lynx pardinus (Temminck, 1827)",2435261,Lynx pardinus,EN
2018,37.673276,-7.796963,7071.0,0.0748434585835081,,"Lynx pardinus (Temminck, 1827)",2435261,Lynx pardinus,EN
2021,37.27192,-6.222472,28417.0,,,"Lynx pardinus (Temminck, 1827)",2435261,Lynx pardinus,EN
2021,38.277674,-3.987109,28270.0,,,"Lynx pardinus (Temminck, 1827)",2435261,Lynx pardinus,EN
2016,38.202051,-4.114383,28270.0,,,"Lynx pardinus (Temminck, 1827)",2435261,Lynx pardinus,EN
2013,37.213534,-5.839155,35680.0,,,"Lynx pardinus (Temminck, 1827)",2435261,Lynx pardinus,EN
