lat,lon,coordinatePrecision,scientificNameID,scientificName,speciesKey,species,iucnRedListCategory
51.894,4.537,0.001,,"Martes foina (Erxleben, 1777)",5218887,Martes foina,LC
51.8717,4.5288,0.0001,,"Martes foina (Erxleben, 1777)",5218887,Martes foina,LC
51.84416,4.51521,1e-05,,"Martes foina (Erxleben, 1777)",5218887,Martes foina,LC
51.873,4.457,0.001,,"Martes foina (Erxleben, 1777)",5218887,Martes foina,LC
51.89,4.54,0.01,,"Martes foina (Erxleben, 1777)",5218887,Martes foina,LC
52.96,5.92,0.01,,"Martes foina (Erxleben, 1777)",5218887,Martes foina,LC
52.1214,6.5376,0.0001,,"Martes foina (Erxleben, 1777)",5218887,Martes foina,LC
51.50832,5.49126,1e-05,,"Martes foina (Erxleben, 1777)",5218887,Martes foina,LC
50.85428,5.67947,1e-05,,"Martes foina (Erxleben, 1777)",5218887,Martes foina,LC
51.82302,5.86577,1e-05,,"Martes foina (Erxleben, 1777)",5218887,Martes foina,LC
52.19037,5.60154,1e-05,,"Martes foina (Erxleben, 1777)",5218887,Martes foina,LC
52.11598,6.10644,1e-05,,"Martes foina (Erxleben, 1777)",5218887,Martes foina,LC
52.11612,6.10665,1e-05,,"Martes foina (Erxleben, 1777)",5218887,Martes foina,LC
52.11564,6.1122,1e-05,,"Martes foina (Erxleben, 1777)",5218887,Martes foina,LC
53.32607,6.02111,1e-05,,"Martes foina (Erxleben, 1777)",5218887,Martes foina,LC
50.80944,5.93734,1e-05,,"Martes foina (Erxleben, 1777)",5218887,Martes foina,LC
51.24101,5.75766,1e-05,,"Martes foina (Erxleben, 1777)",5218887,Martes foina,LC
52.00953,6.04032,1e-05,,"Martes foina (Erxleben, 1777)",5218887,Martes foina,LC
52.85893,6.55342,1e-05,,"Martes foina (Erxleben, 1777)",5218887,Martes foina,LC
50.85768,5.83158,1e-05,,"Martes foina (Erxleben, 1777)",5218887,Martes foina,LC
52.10315,6.15332,1e-05,,"Martes foina (Erxleben, 1777)",5218887,Martes foina,LC
50.85229,5.86017,1e-05,,"Martes foina (Erxleben, 1777)",5218887,Martes foina,LC
51.94482,6.22138,1e-05,,"Martes foina (Erxleben, 1777)",5218887,Martes foina,LC
52.65824,6.19858,1e-05,,"Martes foina (Erxleben, 1777)",5218887,Martes foina,LC
50.86153,5.8321,1e-05,,"Martes foina (Erxleben, 1777)",5218887,Martes foina,LC
50.80916,5.67142,1e-05,,"Martes foina (Erxleben, 1777)",5218887,Martes foina,LC
52.67663,6.31866,1e-05,,"Martes foina (Erxleben, 1777)",5218887,Martes foina,LC
50.86027,5.83287,1e-05,,"Martes foina (Erxleben, 1777)",5218887,Martes foina,LC
53.09852,6.10807,1e-05,,"Martes foina (Erxleben, 1777)",5218887,Martes foina,LC
50.85754,5.83145,1e-05,,"Martes foina (Erxleben, 1777)",5218887,Martes foina,LC
52.25359,6.80274,1e-05,,"Martes foina (Erxleben, 1777)",5218887,Martes foina,LC
50.96899,5.98194,1e-05,,"Martes foina (Erxleben, 1777)",5218887,Martes foina,LC
50.8569,5.83122,1e-05,,"Martes foina (Erxleben, 1777)",5218887,Martes foina,LC
51.85142,6.11312,1e-05,,"Martes foina (Erxleben, 1777)",5218887,Martes foina,LC
