year,lat,lon,coordinateUncertaintyInMeters,coordinatePrecision,scientificNameID,scientificName,speciesKey,species,iucnRedListCategory
2020,55.712746,9.460783,1000.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
2014,49.5233,6.08909,,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
2015,49.5229,6.09984,,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
2015,49.5207,6.09648,,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
2002,49.5206,6.0856,,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
2001,53.423862,8.016239,25.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
2022,51.986771,9.874218,25.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
2022,50.443512,10.155659,250.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
2022,50.720699,6.611238,250.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
2022,50.248905,10.303545,250.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
2011,42.96917,0.60029,1000.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
2010,44.25385,0.63712,4566.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
2006,44.61332,1.24289,1000.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
2019,43.74944,1.6539,10.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
2015,44.98185,1.08035,2529.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
2007,44.02604,1.77541,1000.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
2015,43.36773,0.93486,10.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
2018,50.1698,2.25144,2270.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
2018,50.1698,2.25144,2270.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
2018,50.1698,2.25144,2270.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
2018,50.29819,1.82603,2658.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
2018,50.20606,2.2738,2536.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
1998,43.47407,2.10297,100.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
2003,44.42826,2.82233,1000.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
1998,43.57993,0.3759,100.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
2009,44.07498,1.12907,1000.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
2011,43.02599,1.32667,1000.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
2009,45.34651,0.53969,4089.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
2018,46.58591,0.29731,1931.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
2012,43.2024,-0.05888,1000.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
2016,44.86698,-1.14067,7881.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
1996,45.39534,1.01735,3322.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
1998,44.89769,0.97779,2939.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
2018,44.80381,1.24446,3775.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
1996,44.78559,0.64673,2606.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
1996,45.34658,1.23662,3820.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
1996,45.00218,0.59532,3580.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
1996,44.79505,0.48108,3015.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
1996,45.36752,0.71585,3214.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
1996,45.34651,0.53969,4089.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
1996,44.80172,1.13114,4145.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
1998,44.88313,1.02534,3609.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
2013,45.3189,0.58092,4295.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
1996,45.36752,0.71585,3214.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
1996,44.80493,0.72259,2292.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
2012,44.65141,-0.63139,7283.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
2011,44.65141,-0.63139,7283.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
1998,45.61073,0.52996,3749.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
1998,44.88111,0.2623,3436.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
2003,44.65141,-0.63139,7283.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
2019,45.80712,0.07948,3121.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
2015,45.48824,0.35132,3071.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
2018,43.61042,-1.04088,2094.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
2020,44.95387,-0.58042,3565.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
2010,48.35468,2.81973,4351.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
2020,49.65235,-1.81402,9376.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
2011,47.13095,-2.21221,2813.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
2000,45.83521,-1.07453,5464.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
2014,47.71596,-3.39164,1846.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
2016,44.86698,-1.14067,7881.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
2004,49.60371,3.34568,5000.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
1965,49.77947,1.95937,5000.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
1981,50.13746,1.81229,5000.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
2020,49.65235,-1.81402,9376.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
2000,45.83521,-1.07453,5464.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
2020,49.65235,-1.81402,9376.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
1900,48.22578,5.21097,1750.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
2014,44.44818,0.62219,3468.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
2013,44.56934,0.47242,3623.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
2013,44.52509,0.47585,2798.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
2013,44.46845,0.40453,3388.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
2013,44.51354,0.31533,3901.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
2011,47.34102,-0.92803,12413.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
2011,47.34102,-0.92803,12413.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
2017,45.16148,0.88526,7639.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
2012,45.07487,0.90708,3535.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
2013,44.97392,-0.48185,3824.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
2010,44.91135,-0.68139,2815.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
2011,44.92306,-0.61289,4885.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
2012,45.07487,0.90708,3535.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
2013,43.44168,-1.44776,3127.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
2010,44.03374,-0.78717,6304.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
2015,45.07487,0.90708,3535.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
2010,44.89186,-0.27665,3214.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
2012,43.65827,-0.87805,2243.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
2015,45.46604,0.38296,3489.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
2012,45.07487,0.90708,3535.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
2010,44.89186,-0.27665,3214.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
2002,45.00405,1.97624,1000.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
1995,44.99016,1.92869,1000.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
1995,44.97462,2.03954,1000.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
2018,46.94699,-0.74717,11095.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
2018,47.39855,-0.10747,8086.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
2018,44.80381,1.24446,3775.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
2018,45.50133,-1.08666,6882.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
2018,45.49333,-1.03379,6034.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
2001,47.84964,6.27673,5000.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
2000,46.87057,5.82329,5000.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
2017,47.31365,6.11152,5000.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
2001,46.60956,5.41755,5000.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
2000,46.59735,5.93983,5000.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
2002,47.67343,6.13252,5000.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
2018,46.77387,6.08054,5000.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
2001,47.76336,6.13782,5000.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
2004,47.32361,5.71464,5000.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
2015,46.8565,6.34797,5000.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
2004,47.14953,5.44179,5000.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
2018,47.50657,5.591,5000.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
2012,46.9637,5.69656,5000.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
2002,47.68346,5.73297,5000.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
2018,47.59653,5.59537,5000.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
2001,47.93956,6.28228,5000.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
2019,46.77387,6.08054,5000.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
2017,47.47387,6.78531,5000.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
2005,47.58349,6.12725,5000.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
2014,47.05053,5.83271,5000.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
2003,47.04377,6.09596,5000.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
2018,46.60375,5.67872,5000.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
2002,47.59032,5.86134,5000.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
2019,46.77387,6.08054,5000.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
2012,47.31712,5.97925,5000.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
2015,46.96055,5.82799,5000.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
2001,46.51674,5.54393,5000.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
2000,46.9637,5.69656,5000.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
2004,47.32361,5.71464,5000.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
1999,46.60673,5.54814,5000.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
2017,46.94646,6.35354,5000.0,,,"Microtus arvalis (Pallas, 1779)",2438606,Microtus arvalis,LC
