lat,lon,coordinatePrecision,scientificNameID,scientificName,speciesKey,species,iucnRedListCategory
50.77,5.94,0.01,,"Muscardinus avellanarius (Linnaeus, 1758)",2439658,Muscardinus avellanarius,LC
50.77,5.94,0.01,,"Muscardinus avellanarius (Linnaeus, 1758)",2439658,Muscardinus avellanarius,LC
50.77,5.94,0.01,,"Muscardinus avellanarius (Linnaeus, 1758)",2439658,Muscardinus avellanarius,LC
50.77,5.95,0.01,,"Muscardinus avellanarius (Linnaeus, 1758)",2439658,Muscardinus avellanarius,LC
50.77,5.93,0.01,,"Muscardinus avellanarius (Linnaeus, 1758)",2439658,Muscardinus avellanarius,LC
50.77,5.94,0.01,,"Muscardinus avellanarius (Linnaeus, 1758)",2439658,Muscardinus avellanarius,LC
50.77,5.94,0.01,,"Muscardinus avellanarius (Linnaeus, 1758)",2439658,Muscardinus avellanarius,LC
58.1,26.4,0.1,,"Muscardinus avellanarius (Linnaeus, 1758)",2439658,Muscardinus avellanarius,LC
58.1,26.1,0.1,,"Muscardinus avellanarius (Linnaeus, 1758)",2439658,Muscardinus avellanarius,LC
58.0,26.7,0.1,,"Muscardinus avellanarius (Linnaeus, 1758)",2439658,Muscardinus avellanarius,LC
58.6,26.7,0.1,,"Muscardinus avellanarius (Linnaeus, 1758)",2439658,Muscardinus avellanarius,LC
58.5,26.4,0.1,,"Muscardinus avellanarius (Linnaeus, 1758)",2439658,Muscardinus avellanarius,LC
58.8,24.3,0.1,,"Muscardinus avellanarius (Linnaeus, 1758)",2439658,Muscardinus avellanarius,LC
59.1,26.6,0.1,,"Muscardinus avellanarius (Linnaeus, 1758)",2439658,Muscardinus avellanarius,LC
58.9,24.1,0.1,,"Muscardinus avellanarius (Linnaeus, 1758)",2439658,Muscardinus avellanarius,LC
58.8,24.3,0.1,,"Muscardinus avellanarius (Linnaeus, 1758)",2439658,Muscardinus avellanarius,LC
59.2,24.8,0.1,,"Muscardinus avellanarius (Linnaeus, 1758)",2439658,Muscardinus avellanarius,LC
57.31083,14.36194,0.01,,"Muscardinus avellanarius (Linnaeus, 1758)",2439658,Muscardinus avellanarius,LC
57.31083,14.36194,0.01,,"Muscardinus avellanarius (Linnaeus, 1758)",2439658,Muscardinus avellanarius,LC
57.11639,14.195,0.001,,"Muscardinus avellanarius (Linnaeus, 1758)",2439658,Muscardinus avellanarius,LC
57.43472,14.08917,0.01,,"Muscardinus avellanarius (Linnaeus, 1758)",2439658,Muscardinus avellanarius,LC
57.31167,15.29333,0.01,,"Muscardinus avellanarius (Linnaeus, 1758)",2439658,Muscardinus avellanarius,LC
57.71472,14.65139,0.01,,"Muscardinus avellanarius (Linnaeus, 1758)",2439658,Muscardinus avellanarius,LC
