lat,lon,coordinatePrecision,scientificNameID,scientificName,speciesKey,species,iucnRedListCategory
51.8306,4.2815,0.0001,,"Mustela erminea Linnaeus, 1758",5219019,Mustela erminea,LC
53.23249,6.00317,1e-05,,"Mustela erminea Linnaeus, 1758",5219019,Mustela erminea,LC
51.92899,4.76795,1e-05,,"Mustela erminea Linnaeus, 1758",5219019,Mustela erminea,LC
52.48483,5.059,1e-05,,"Mustela erminea Linnaeus, 1758",5219019,Mustela erminea,LC
52.60565,5.84534,1e-05,,"Mustela erminea Linnaeus, 1758",5219019,Mustela erminea,LC
50.80347,5.83432,1e-05,,"Mustela erminea Linnaeus, 1758",5219019,Mustela erminea,LC
50.84563,5.85332,1e-05,,"Mustela erminea Linnaeus, 1758",5219019,Mustela erminea,LC
50.80586,5.78678,1e-05,,"Mustela erminea Linnaeus, 1758",5219019,Mustela erminea,LC
52.15157,4.91524,1e-05,,"Mustela erminea Linnaeus, 1758",5219019,Mustela erminea,LC
51.25637,5.78296,1e-05,,"Mustela erminea Linnaeus, 1758",5219019,Mustela erminea,LC
52.47478,4.99909,1e-05,,"Mustela erminea Linnaeus, 1758",5219019,Mustela erminea,LC
51.24018,5.74181,1e-05,,"Mustela erminea Linnaeus, 1758",5219019,Mustela erminea,LC
52.2235,5.28122,1e-05,,"Mustela erminea Linnaeus, 1758",5219019,Mustela erminea,LC
52.57862,5.02957,1e-05,,"Mustela erminea Linnaeus, 1758",5219019,Mustela erminea,LC
52.59137,5.01651,1e-05,,"Mustela erminea Linnaeus, 1758",5219019,Mustela erminea,LC
50.88143,5.81636,1e-05,,"Mustela erminea Linnaeus, 1758",5219019,Mustela erminea,LC
52.55954,5.87648,1e-05,,"Mustela erminea Linnaeus, 1758",5219019,Mustela erminea,LC
50.92936,5.88464,1e-05,,"Mustela erminea Linnaeus, 1758",5219019,Mustela erminea,LC
51.60612,4.27347,1e-05,,"Mustela erminea Linnaeus, 1758",5219019,Mustela erminea,LC
50.80823,5.80425,1e-05,,"Mustela erminea Linnaeus, 1758",5219019,Mustela erminea,LC
50.94691,5.7887,1e-05,,"Mustela erminea Linnaeus, 1758",5219019,Mustela erminea,LC
52.17901,4.83051,1e-05,,"Mustela erminea Linnaeus, 1758",5219019,Mustela erminea,LC
50.83708,5.82103,1e-05,,"Mustela erminea Linnaeus, 1758",5219019,Mustela erminea,LC
52.76588,4.6789,1e-05,,"Mustela erminea Linnaeus, 1758",5219019,Mustela erminea,LC
57.4,-4.3,0.1,,"Mustela erminea Linnaeus, 1758",5219019,Mustela erminea,LC
51.54,4.46,0.01,,"Mustela erminea Linnaeus, 1758",5219019,Mustela erminea,LC
52.15,4.47,0.01,,"Mustela erminea Linnaeus, 1758",5219019,Mustela erminea,LC
65.892327,14.143356,0.0,,"Mustela erminea Linnaeus, 1758",5219019,Mustela erminea,LC
66.046227,13.826681,0.0,,"Mustela erminea Linnaeus, 1758",5219019,Mustela erminea,LC
65.533632,13.420299,0.0,,"Mustela erminea Linnaeus, 1758",5219019,Mustela erminea,LC
52.508,4.847,0.001,,"Mustela erminea Linnaeus, 1758",5219019,Mustela erminea,LC
51.64,3.76,0.01,,"Mustela erminea Linnaeus, 1758",5219019,Mustela erminea,LC
52.43,6.17,0.01,,"Mustela erminea Linnaeus, 1758",5219019,Mustela erminea,LC
52.005,4.588,0.001,,"Mustela erminea hibernica (Thomas & Barrett-Hamilton, 1895)",5219019,Mustela erminea,
51.989,4.456,0.001,,"Mustela erminea Linnaeus, 1758",5219019,Mustela erminea,LC
51.87,4.78,0.01,,"Mustela erminea Linnaeus, 1758",5219019,Mustela erminea,LC
52.1,4.7,0.1,,"Mustela erminea Linnaeus, 1758",5219019,Mustela erminea,LC
53.23,5.54,0.01,,"Mustela erminea Linnaeus, 1758",5219019,Mustela erminea,LC
53.149,4.866,0.001,,"Mustela erminea Linnaeus, 1758",5219019,Mustela erminea,LC
51.42,4.32,0.01,,"Mustela erminea Linnaeus, 1758",5219019,Mustela erminea,LC
51.9,4.0,0.1,,"Mustela erminea Linnaeus, 1758",5219019,Mustela erminea,LC
51.912,4.468,0.001,,"Mustela erminea Linnaeus, 1758",5219019,Mustela erminea,LC
51.942,4.508,0.001,,"Mustela erminea Linnaeus, 1758",5219019,Mustela erminea,LC
51.35,5.61,0.01,,"Mustela erminea Linnaeus, 1758",5219019,Mustela erminea,LC
51.9,4.0,0.1,,"Mustela erminea Linnaeus, 1758",5219019,Mustela erminea,LC
52.94,7.13,0.01,,"Mustela erminea Linnaeus, 1758",5219019,Mustela erminea,LC
