year,lat,lon,coordinateUncertaintyInMeters,coordinatePrecision,scientificNameID,scientificName,speciesKey,species,iucnRedListCategory
2021,42.23,3.07,7071.0,,,"Mustela lutreola (Linnaeus, 1761)",5219007,Mustela lutreola,CR
2019,44.88882,-0.60023,2267.0,,,"Mustela lutreola (Linnaeus, 1761)",5219007,Mustela lutreola,CR
1997,44.98342,-1.10764,9565.0,,,"Mustela lutreola (Linnaeus, 1761)",5219007,Mustela lutreola,CR
2009,45.12767,-0.66971,3174.0,,,"Mustela lutreola (Linnaeus, 1761)",5219007,Mustela lutreola,CR
2014,44.71436,-0.94404,9284.0,,,"Mustela lutreola (Linnaeus, 1761)",5219007,Mustela lutreola,CR
2013,45.94492,-0.68016,5000.0,,,"Mustela lutreola (Linnaeus, 1761)",5219007,Mustela lutreola,CR
2013,45.8463,-0.93158,5000.0,,,"Mustela lutreola (Linnaeus, 1761)",5219007,Mustela lutreola,CR
2014,45.85071,-0.80287,5000.0,,,"Mustela lutreola (Linnaeus, 1761)",5219007,Mustela lutreola,CR
2013,46.12896,-0.56285,5000.0,,,"Mustela lutreola (Linnaeus, 1761)",5219007,Mustela lutreola,CR
2015,45.85497,-0.67415,5000.0,,,"Mustela lutreola (Linnaeus, 1761)",5219007,Mustela lutreola,CR
2001,43.42654,-1.51736,3908.0,,,"Mustela lutreola (Linnaeus, 1761)",5219007,Mustela lutreola,CR
2018,46.03977,-1.03464,3525.0,,,"Mustela lutreola (Linnaeus, 1761)",5219007,Mustela lutreola,CR
2018,45.9882,-1.02738,3807.0,,,"Mustela lutreola (Linnaeus, 1761)",5219007,Mustela lutreola,CR
2018,45.9882,-1.02738,3807.0,,,"Mustela lutreola (Linnaeus, 1761)",5219007,Mustela lutreola,CR
2018,45.9882,-1.02738,3807.0,,,"Mustela lutreola (Linnaeus, 1761)",5219007,Mustela lutreola,CR
2018,45.9882,-1.02738,3807.0,,,"Mustela lutreola (Linnaeus, 1761)",5219007,Mustela lutreola,CR
2018,45.9882,-1.02738,3807.0,,,"Mustela lutreola (Linnaeus, 1761)",5219007,Mustela lutreola,CR
2018,45.9882,-1.02738,3807.0,,,"Mustela lutreola (Linnaeus, 1761)",5219007,Mustela lutreola,CR
2018,45.9882,-1.02738,3807.0,,,"Mustela lutreola (Linnaeus, 1761)",5219007,Mustela lutreola,CR
2018,45.9882,-1.02738,3807.0,,,"Mustela lutreola (Linnaeus, 1761)",5219007,Mustela lutreola,CR
2015,44.57803,-1.02418,8158.0,,,"Mustela lutreola (Linnaeus, 1761)",5219007,Mustela lutreola,CR
2014,43.60492,-1.37095,2125.0,,,"Mustela lutreola (Linnaeus, 1761)",5219007,Mustela lutreola,CR
2007,45.91977,-0.90453,3891.0,,,"Mustela lutreola (Linnaeus, 1761)",5219007,Mustela lutreola,CR
1998,45.83521,-1.07453,5464.0,,,"Mustela lutreola (Linnaeus, 1761)",5219007,Mustela lutreola,CR
2019,46.01115,-0.8645,5148.0,,,"Mustela lutreola (Linnaeus, 1761)",5219007,Mustela lutreola,CR
2011,45.91433,-0.7786,3597.0,,,"Mustela lutreola (Linnaeus, 1761)",5219007,Mustela lutreola,CR
2015,45.89521,-0.78447,3367.0,,,"Mustela lutreola (Linnaeus, 1761)",5219007,Mustela lutreola,CR
2005,45.9882,-1.02738,3807.0,,,"Mustela lutreola (Linnaeus, 1761)",5219007,Mustela lutreola,CR
2019,46.01115,-0.8645,5148.0,,,"Mustela lutreola (Linnaeus, 1761)",5219007,Mustela lutreola,CR
2011,45.91433,-0.7786,3597.0,,,"Mustela lutreola (Linnaeus, 1761)",5219007,Mustela lutreola,CR
1981,44.79538,-1.07848,6253.0,,,"Mustela lutreola (Linnaeus, 1761)",5219007,Mustela lutreola,CR
2017,43.25642,-0.76095,73739.0,,,"Mustela lutreola (Linnaeus, 1761)",5219007,Mustela lutreola,CR
2014,45.7182,0.20179,55099.0,,,"Mustela lutreola (Linnaeus, 1761)",5219007,Mustela lutreola,CR
2017,44.83795,-0.58126,79912.0,,,"Mustela lutreola (Linnaeus, 1761)",5219007,Mustela lutreola,CR
2017,43.96532,-0.78396,68228.0,,,"Mustela lutreola (Linnaeus, 1761)",5219007,Mustela lutreola,CR
2017,44.83795,-0.58126,79912.0,,,"Mustela lutreola (Linnaeus, 1761)",5219007,Mustela lutreola,CR
2017,44.83795,-0.58126,79912.0,,,"Mustela lutreola (Linnaeus, 1761)",5219007,Mustela lutreola,CR
2000,43.05314,0.16381,52728.0,,,"Mustela lutreola (Linnaeus, 1761)",5219007,Mustela lutreola,CR
2000,43.05314,0.16381,52728.0,,,"Mustela lutreola (Linnaeus, 1761)",5219007,Mustela lutreola,CR
2000,43.05314,0.16381,52728.0,,,"Mustela lutreola (Linnaeus, 1761)",5219007,Mustela lutreola,CR
2000,42.8127,0.00701,5000.0,,,"Mustela lutreola (Linnaeus, 1761)",5219007,Mustela lutreola,CR
2000,43.05314,0.16381,52728.0,,,"Mustela lutreola (Linnaeus, 1761)",5219007,Mustela lutreola,CR
2000,43.08414,-0.15758,4656.0,,,"Mustela lutreola (Linnaeus, 1761)",5219007,Mustela lutreola,CR
2000,43.05314,0.16381,52728.0,,,"Mustela lutreola (Linnaeus, 1761)",5219007,Mustela lutreola,CR
2000,43.05314,0.16381,52728.0,,,"Mustela lutreola (Linnaeus, 1761)",5219007,Mustela lutreola,CR
2000,43.00499,0.48753,5000.0,,,"Mustela lutreola (Linnaeus, 1761)",5219007,Mustela lutreola,CR
2000,43.00778,0.61001,5000.0,,,"Mustela lutreola (Linnaeus, 1761)",5219007,Mustela lutreola,CR
2018,45.84242,6.06082,10.0,,,"Mustela lutreola (Linnaeus, 1761)",5219007,Mustela lutreola,CR
2009,44.74656,-0.52945,2689.0,,,"Mustela lutreola (Linnaeus, 1761)",5219007,Mustela lutreola,CR
2013,43.48315,-1.28294,4136.0,,,"Mustela lutreola (Linnaeus, 1761)",5219007,Mustela lutreola,CR
2007,45.26745,-0.21569,,,,"Mustela lutreola (Linnaeus, 1761)",5219007,Mustela lutreola,CR
