year,lat,lon,coordinateUncertaintyInMeters,coordinatePrecision,scientificNameID,scientificName,speciesKey,species,iucnRedListCategory
2022,60.412329,22.444139,1.0,,,"Mustela nivalis Linnaeus, 1766",5218987,Mustela nivalis,LC
2022,62.271981,24.688476,1.0,,,"Mustela nivalis Linnaeus, 1766",5218987,Mustela nivalis,LC
2022,63.314799,10.427392,200.0,,,"Mustela nivalis Linnaeus, 1766",5218987,Mustela nivalis,LC
2022,63.655119,11.560069,300.0,,,"Mustela nivalis Linnaeus, 1766",5218987,Mustela nivalis,LC
2022,59.961,10.770737,5.0,,,"Mustela nivalis Linnaeus, 1766",5218987,Mustela nivalis,LC
2022,60.391713,26.335267,1.0,,,"Mustela nivalis Linnaeus, 1766",5218987,Mustela nivalis,LC
2022,60.214758,24.990802,1.0,,,"Mustela nivalis Linnaeus, 1766",5218987,Mustela nivalis,LC
2022,64.913914,25.108459,5000.0,,,"Mustela nivalis Linnaeus, 1766",5218987,Mustela nivalis,LC
2022,42.212788,3.090203,1.0,,,"Mustela nivalis Linnaeus, 1766",5218987,Mustela nivalis,LC
2022,-45.892053,170.659987,5393.0,,,"Mustela nivalis Linnaeus, 1766",5218987,Mustela nivalis,LC
2022,37.79504,-84.19003,3.0,,,"Mustela nivalis Linnaeus, 1766",5218987,Mustela nivalis,LC
2022,45.220847,39.911365,8.0,,,"Mustela nivalis Linnaeus, 1766",5218987,Mustela nivalis,LC
1981,63.046158,8.062892,250.0,,,"Mustela nivalis Linnaeus, 1766",5218987,Mustela nivalis,LC
2022,59.909628,10.642808,50.0,,,"Mustela nivalis Linnaeus, 1766",5218987,Mustela nivalis,LC
2022,59.01871,10.009909,10.0,,,"Mustela nivalis Linnaeus, 1766",5218987,Mustela nivalis,LC
2022,61.49427,21.773269,1000.0,,,"Mustela nivalis Linnaeus, 1766",5218987,Mustela nivalis,LC
2022,64.926629,25.46175,1.0,,,"Mustela nivalis Linnaeus, 1766",5218987,Mustela nivalis,LC
2022,60.639414,25.009894,1.0,,,"Mustela nivalis Linnaeus, 1766",5218987,Mustela nivalis,LC
1983,41.739974,-6.820272,3036.0,,,"Mustela nivalis Linnaeus, 1766",5218987,Mustela nivalis,LC
1982,41.739974,-6.820272,3036.0,,,"Mustela nivalis Linnaeus, 1766",5218987,Mustela nivalis,LC
1978,39.265841,-9.038385,25438.0,,,"Mustela nivalis Linnaeus, 1766",5218987,Mustela nivalis,LC
1983,41.712948,-6.87468,2419.0,,,"Mustela nivalis Linnaeus, 1766",5218987,Mustela nivalis,LC
1983,41.434333,-8.778553,3036.0,,,"Mustela nivalis Linnaeus, 1766",5218987,Mustela nivalis,LC
