year,lat,lon,coordinateUncertaintyInMeters,coordinatePrecision,scientificNameID,scientificName,speciesKey,species,iucnRedListCategory
2020,55.811142,12.211075,,,,"Mustela putorius Linnaeus, 1758",5218911,Mustela putorius,LC
2022,55.096475,10.564324,0.5,,,"Mustela putorius Linnaeus, 1758",5218911,Mustela putorius,LC
2022,59.638673,11.027179,10.0,,,"Mustela putorius Linnaeus, 1758",5218911,Mustela putorius,LC
2022,44.598723,17.85988,2031.0,,,"Mustela putorius Linnaeus, 1758",5218911,Mustela putorius,LC
2022,-43.607784,171.116762,8.0,,,"Mustela furo Linnaeus, 1758",5218911,Mustela putorius,NE
2011,50.809021,34.941169,26293.0,,,"Mustela putorius Linnaeus, 1758",5218911,Mustela putorius,LC
1982,41.830809,-7.009728,1205.0,,,"Mustela putorius Linnaeus, 1758",5218911,Mustela putorius,LC
1983,38.991555,-8.391945,675.0,,,"Mustela putorius Linnaeus, 1758",5218911,Mustela putorius,LC
1982,38.461018,-8.720538,3036.0,,,"Mustela putorius Linnaeus, 1758",5218911,Mustela putorius,LC
1983,37.180046,-8.293794,2123.0,,,"Mustela putorius Linnaeus, 1758",5218911,Mustela putorius,LC
1983,38.927691,-8.545915,4793.0,,,"Mustela putorius Linnaeus, 1758",5218911,Mustela putorius,LC
1985,41.805817,-6.757189,4768.0,,,"Mustela furo Linnaeus, 1758",5218911,Mustela putorius,NE
1985,41.805817,-6.757189,4768.0,,,"Mustela furo Linnaeus, 1758",5218911,Mustela putorius,NE
1989,39.602891,-9.068355,3036.0,,,"Mustela putorius Linnaeus, 1758",5218911,Mustela putorius,LC
1991,39.256547,-9.320158,1910.0,,,"Mustela putorius Linnaeus, 1758",5218911,Mustela putorius,LC
1987,38.654005,-7.982611,3036.0,,,"Mustela putorius Linnaeus, 1758",5218911,Mustela putorius,LC
1985,38.891517,-9.050514,1052.0,,,"Mustela putorius Linnaeus, 1758",5218911,Mustela putorius,LC
1986,38.723626,-7.984777,1413.0,,,"Mustela putorius Linnaeus, 1758",5218911,Mustela putorius,LC
1987,38.099372,-8.627998,15687.0,,,"Mustela putorius Linnaeus, 1758",5218911,Mustela putorius,LC
1986,38.898981,-9.038644,1973.0,,,"Mustela putorius Linnaeus, 1758",5218911,Mustela putorius,LC
1985,38.571365,-7.909613,3657.0,,,"Mustela putorius Linnaeus, 1758",5218911,Mustela putorius,LC
1985,38.643487,-7.948495,9943.0,,,"Mustela putorius Linnaeus, 1758",5218911,Mustela putorius,LC
1984,39.337325,-8.939063,1935.0,,,"Mustela putorius Linnaeus, 1758",5218911,Mustela putorius,LC
1985,38.723626,-7.984777,1413.0,,,"Mustela putorius Linnaeus, 1758",5218911,Mustela putorius,LC
1984,38.56502,-8.727998,3036.0,,,"Mustela putorius Linnaeus, 1758",5218911,Mustela putorius,LC
1985,38.783676,-9.369665,3036.0,,,"Mustela putorius Linnaeus, 1758",5218911,Mustela putorius,LC
1984,39.337325,-8.939063,1935.0,,,"Mustela putorius Linnaeus, 1758",5218911,Mustela putorius,LC
