lat,lon,coordinatePrecision,scientificNameID,scientificName,speciesKey,species,iucnRedListCategory
52.17,4.42,0.01,,"Mustela vison Schreber, 1777",5218823,Mustela vison,LC
51.82,3.97,0.01,,"Mustela vison Schreber, 1777",5218823,Mustela vison,LC
68.558494,14.745165,0.0,,"Neovison vison (Schreber, 1777)",5218823,Mustela vison,LC
63.077039,7.597416,0.0,,"Neovison vison (Schreber, 1777)",5218823,Mustela vison,LC
41.36659,-7.298479,1e-05,,"Neovison vison (Schreber, 1777)",5218823,Mustela vison,LC
41.351685,-7.342605,1e-05,,"Neovison vison (Schreber, 1777)",5218823,Mustela vison,LC
41.310044,-7.331058,1e-05,,"Neovison vison (Schreber, 1777)",5218823,Mustela vison,LC
41.337693,-7.320625,1e-05,,"Neovison vison (Schreber, 1777)",5218823,Mustela vison,LC
41.333187,-7.297316,1e-05,,"Neovison vison (Schreber, 1777)",5218823,Mustela vison,LC
41.337693,-7.320625,1e-05,,"Neovison vison (Schreber, 1777)",5218823,Mustela vison,LC
41.274742,-7.363212,1e-05,,"Neovison vison (Schreber, 1777)",5218823,Mustela vison,LC
41.337693,-7.320625,1e-05,,"Neovison vison (Schreber, 1777)",5218823,Mustela vison,LC
41.299486,-7.351305,1e-05,,"Neovison vison (Schreber, 1777)",5218823,Mustela vison,LC
41.333187,-7.297316,1e-05,,"Neovison vison (Schreber, 1777)",5218823,Mustela vison,LC
41.333187,-7.297316,1e-05,,"Neovison vison (Schreber, 1777)",5218823,Mustela vison,LC
41.333187,-7.297316,1e-05,,"Neovison vison (Schreber, 1777)",5218823,Mustela vison,LC
41.337684,-7.320637,1e-05,,"Neovison vison (Schreber, 1777)",5218823,Mustela vison,LC
41.310044,-7.331058,1e-05,,"Neovison vison (Schreber, 1777)",5218823,Mustela vison,LC
41.310044,-7.331058,1e-05,,"Neovison vison (Schreber, 1777)",5218823,Mustela vison,LC
41.332492,-7.292057,1e-05,,"Neovison vison (Schreber, 1777)",5218823,Mustela vison,LC
41.281214,-7.365559,1e-05,,"Neovison vison (Schreber, 1777)",5218823,Mustela vison,LC
41.260021,-7.44889,1e-05,,"Neovison vison (Schreber, 1777)",5218823,Mustela vison,LC
41.289873,-7.337297,1e-05,,"Neovison vison (Schreber, 1777)",5218823,Mustela vison,LC
41.337693,-7.320625,1e-05,,"Neovison vison (Schreber, 1777)",5218823,Mustela vison,LC
41.317466,-7.340676,1e-05,,"Neovison vison (Schreber, 1777)",5218823,Mustela vison,LC
41.281214,-7.365559,1e-05,,"Neovison vison (Schreber, 1777)",5218823,Mustela vison,LC
41.333187,-7.297316,1e-05,,"Neovison vison (Schreber, 1777)",5218823,Mustela vison,LC
41.333187,-7.297316,1e-05,,"Neovison vison (Schreber, 1777)",5218823,Mustela vison,LC
41.332492,-7.292057,1e-05,,"Neovison vison (Schreber, 1777)",5218823,Mustela vison,LC
41.26313,-7.432916,1e-05,,"Neovison vison (Schreber, 1777)",5218823,Mustela vison,LC
41.26313,-7.432916,1e-05,,"Neovison vison (Schreber, 1777)",5218823,Mustela vison,LC
41.333187,-7.297316,1e-05,,"Neovison vison (Schreber, 1777)",5218823,Mustela vison,LC
41.310044,-7.331058,1e-05,,"Neovison vison (Schreber, 1777)",5218823,Mustela vison,LC
41.310044,-7.331058,1e-05,,"Neovison vison (Schreber, 1777)",5218823,Mustela vison,LC
41.289873,-7.337297,1e-05,,"Neovison vison (Schreber, 1777)",5218823,Mustela vison,LC
41.289873,-7.337297,1e-05,,"Neovison vison (Schreber, 1777)",5218823,Mustela vison,LC
41.337693,-7.320625,1e-05,,"Neovison vison (Schreber, 1777)",5218823,Mustela vison,LC
41.333187,-7.297316,1e-05,,"Neovison vison (Schreber, 1777)",5218823,Mustela vison,LC
41.242567,-7.469852,1e-05,,"Neovison vison (Schreber, 1777)",5218823,Mustela vison,LC
41.332492,-7.292057,1e-05,,"Neovison vison (Schreber, 1777)",5218823,Mustela vison,LC
41.299486,-7.351305,1e-05,,"Neovison vison (Schreber, 1777)",5218823,Mustela vison,LC
41.260021,-7.44889,1e-05,,"Neovison vison (Schreber, 1777)",5218823,Mustela vison,LC
41.289873,-7.337297,1e-05,,"Neovison vison (Schreber, 1777)",5218823,Mustela vison,LC
41.289873,-7.337297,1e-05,,"Neovison vison (Schreber, 1777)",5218823,Mustela vison,LC
41.333187,-7.297316,1e-05,,"Neovison vison (Schreber, 1777)",5218823,Mustela vison,LC
41.299486,-7.351305,1e-05,,"Neovison vison (Schreber, 1777)",5218823,Mustela vison,LC
41.337693,-7.320625,1e-05,,"Neovison vison (Schreber, 1777)",5218823,Mustela vison,LC
41.257766,-7.368065,1e-05,,"Neovison vison (Schreber, 1777)",5218823,Mustela vison,LC
41.262696,-7.361945,1e-05,,"Neovison vison (Schreber, 1777)",5218823,Mustela vison,LC
41.289873,-7.337297,1e-05,,"Neovison vison (Schreber, 1777)",5218823,Mustela vison,LC
41.262696,-7.361945,1e-05,,"Neovison vison (Schreber, 1777)",5218823,Mustela vison,LC
41.310044,-7.331058,1e-05,,"Neovison vison (Schreber, 1777)",5218823,Mustela vison,LC
41.262696,-7.361945,1e-05,,"Neovison vison (Schreber, 1777)",5218823,Mustela vison,LC
41.337684,-7.320637,1e-05,,"Neovison vison (Schreber, 1777)",5218823,Mustela vison,LC
41.332492,-7.292057,1e-05,,"Neovison vison (Schreber, 1777)",5218823,Mustela vison,LC
41.257766,-7.368065,1e-05,,"Neovison vison (Schreber, 1777)",5218823,Mustela vison,LC
41.289873,-7.337297,1e-05,,"Neovison vison (Schreber, 1777)",5218823,Mustela vison,LC
41.310044,-7.331058,1e-05,,"Neovison vison (Schreber, 1777)",5218823,Mustela vison,LC
41.332492,-7.292057,1e-05,,"Neovison vison (Schreber, 1777)",5218823,Mustela vison,LC
41.260021,-7.44889,1e-05,,"Neovison vison (Schreber, 1777)",5218823,Mustela vison,LC
41.333187,-7.297316,1e-05,,"Neovison vison (Schreber, 1777)",5218823,Mustela vison,LC
41.260021,-7.44889,1e-05,,"Neovison vison (Schreber, 1777)",5218823,Mustela vison,LC
41.299667,-7.41082,1e-05,,"Neovison vison (Schreber, 1777)",5218823,Mustela vison,LC
41.289838,-7.408493,1e-05,,"Neovison vison (Schreber, 1777)",5218823,Mustela vison,LC
41.337693,-7.320625,1e-05,,"Neovison vison (Schreber, 1777)",5218823,Mustela vison,LC
41.262696,-7.361945,1e-05,,"Neovison vison (Schreber, 1777)",5218823,Mustela vison,LC
41.27669,-7.409629,1e-05,,"Neovison vison (Schreber, 1777)",5218823,Mustela vison,LC
41.349368,-7.331712,1e-05,,"Neovison vison (Schreber, 1777)",5218823,Mustela vison,LC
41.289873,-7.337297,1e-05,,"Neovison vison (Schreber, 1777)",5218823,Mustela vison,LC
41.289838,-7.408493,1e-05,,"Neovison vison (Schreber, 1777)",5218823,Mustela vison,LC
41.281214,-7.365559,1e-05,,"Neovison vison (Schreber, 1777)",5218823,Mustela vison,LC
41.332492,-7.292057,1e-05,,"Neovison vison (Schreber, 1777)",5218823,Mustela vison,LC
41.299486,-7.351305,1e-05,,"Neovison vison (Schreber, 1777)",5218823,Mustela vison,LC
41.334357,-7.407726,1e-05,,"Neovison vison (Schreber, 1777)",5218823,Mustela vison,LC
41.281214,-7.365559,1e-05,,"Neovison vison (Schreber, 1777)",5218823,Mustela vison,LC
41.332492,-7.292057,1e-05,,"Neovison vison (Schreber, 1777)",5218823,Mustela vison,LC
41.332492,-7.292057,1e-05,,"Neovison vison (Schreber, 1777)",5218823,Mustela vison,LC
41.332492,-7.292057,1e-05,,"Neovison vison (Schreber, 1777)",5218823,Mustela vison,LC
41.346693,-7.393766,1e-05,,"Neovison vison (Schreber, 1777)",5218823,Mustela vison,LC
41.332492,-7.292057,1e-05,,"Neovison vison (Schreber, 1777)",5218823,Mustela vison,LC
41.26313,-7.432916,1e-05,,"Neovison vison (Schreber, 1777)",5218823,Mustela vison,LC
41.346693,-7.393766,1e-05,,"Neovison vison (Schreber, 1777)",5218823,Mustela vison,LC
41.27669,-7.409629,1e-05,,"Neovison vison (Schreber, 1777)",5218823,Mustela vison,LC
41.332492,-7.292057,1e-05,,"Neovison vison (Schreber, 1777)",5218823,Mustela vison,LC
41.239547,-7.372917,1e-05,,"Neovison vison (Schreber, 1777)",5218823,Mustela vison,LC
41.27669,-7.409629,1e-05,,"Neovison vison (Schreber, 1777)",5218823,Mustela vison,LC
41.329627,-7.418804,1e-05,,"Neovison vison (Schreber, 1777)",5218823,Mustela vison,LC
