year,lat,lon,coordinateUncertaintyInMeters,coordinatePrecision,scientificNameID,scientificName,speciesKey,species,iucnRedListCategory
2021,55.970845,12.185936,87.6,,,"Neovison vison (Schreber, 1777)",5218823,Mustela vison,LC
2021,55.279286,12.446439,100.0,,,"Neovison vison (Schreber, 1777)",5218823,Mustela vison,LC
2022,58.544184,5.680784,1.0,,,"Neovison vison (Schreber, 1777)",5218823,Mustela vison,LC
2005,63.398951,10.523782,50.0,,,"Neovison vison (Schreber, 1777)",5218823,Mustela vison,LC
2021,63.053698,7.723382,25.0,,,"Neovison vison (Schreber, 1777)",5218823,Mustela vison,LC
2022,59.951316,11.010291,25.0,,,"Neovison vison (Schreber, 1777)",5218823,Mustela vison,LC
2021,63.106936,7.80132,200.0,,,"Neovison vison (Schreber, 1777)",5218823,Mustela vison,LC
2021,63.106936,7.80132,200.0,,,"Neovison vison (Schreber, 1777)",5218823,Mustela vison,LC
2022,63.106936,7.80132,200.0,,,"Neovison vison (Schreber, 1777)",5218823,Mustela vison,LC
2021,63.053698,7.723382,25.0,,,"Neovison vison (Schreber, 1777)",5218823,Mustela vison,LC
2022,59.962398,9.990613,10.0,,,"Neovison vison (Schreber, 1777)",5218823,Mustela vison,LC
2019,63.106936,7.80132,200.0,,,"Neovison vison (Schreber, 1777)",5218823,Mustela vison,LC
2022,63.106936,7.80132,200.0,,,"Neovison vison (Schreber, 1777)",5218823,Mustela vison,LC
2019,63.106936,7.80132,200.0,,,"Neovison vison (Schreber, 1777)",5218823,Mustela vison,LC
2022,59.961,10.770737,5.0,,,"Neovison vison (Schreber, 1777)",5218823,Mustela vison,LC
2019,63.106936,7.80132,200.0,,,"Neovison vison (Schreber, 1777)",5218823,Mustela vison,LC
2022,56.4563,9.98329,5000.0,,,"Mustela vison Schreber, 1777",5218823,Mustela vison,LC
2020,52.57717,-9.615982,1000.0,,,"Mustela vison Schreber, 1777",5218823,Mustela vison,LC
2022,50.96841,5.16559,999.0,,,"Neovison vison (Schreber, 1777)",5218823,Mustela vison,LC
2022,51.0967,3.56289,5.0,,,"Neovison vison (Schreber, 1777)",5218823,Mustela vison,LC
