lat,lon,coordinatePrecision,scientificNameID,scientificName,speciesKey,species,iucnRedListCategory
51.42,5.55,0.01,,"Ondatra zibethicus (Linnaeus, 1766)",5219858,Ondatra zibethicus,LC
51.74,4.32,0.01,,"Ondatra zibethicus (Linnaeus, 1766)",5219858,Ondatra zibethicus,LC
51.48,5.64,0.01,,"Ondatra zibethicus (Linnaeus, 1766)",5219858,Ondatra zibethicus,LC
53.1832,49.4288,0.0001,,"Ondatra zibethicus (Linnaeus, 1766)",5219858,Ondatra zibethicus,LC
53.1853,49.4076,0.0001,,"Ondatra zibethicus (Linnaeus, 1766)",5219858,Ondatra zibethicus,LC
53.1853,49.4076,0.0001,,"Ondatra zibethicus (Linnaeus, 1766)",5219858,Ondatra zibethicus,LC
53.1813,49.4094,0.0001,,"Ondatra zibethicus (Linnaeus, 1766)",5219858,Ondatra zibethicus,LC
53.1825,49.4135,0.0001,,"Ondatra zibethicus (Linnaeus, 1766)",5219858,Ondatra zibethicus,LC
53.1807,49.4341,0.0001,,"Ondatra zibethicus (Linnaeus, 1766)",5219858,Ondatra zibethicus,LC
53.1761,49.4369,0.0001,,"Ondatra zibethicus (Linnaeus, 1766)",5219858,Ondatra zibethicus,LC
53.1763,49.4163,0.0001,,"Ondatra zibethicus (Linnaeus, 1766)",5219858,Ondatra zibethicus,LC
53.1787,49.4093,0.0001,,"Ondatra zibethicus (Linnaeus, 1766)",5219858,Ondatra zibethicus,LC
53.1774,49.4272,0.0001,,"Ondatra zibethicus (Linnaeus, 1766)",5219858,Ondatra zibethicus,LC
53.177,49.4346,0.0001,,"Ondatra zibethicus (Linnaeus, 1766)",5219858,Ondatra zibethicus,LC
53.1796,49.4314,0.0001,,"Ondatra zibethicus (Linnaeus, 1766)",5219858,Ondatra zibethicus,LC
53.1748,49.4391,0.0001,,"Ondatra zibethicus (Linnaeus, 1766)",5219858,Ondatra zibethicus,LC
53.1758,49.4378,0.0001,,"Ondatra zibethicus (Linnaeus, 1766)",5219858,Ondatra zibethicus,LC
53.1763,49.4349,0.0001,,"Ondatra zibethicus (Linnaeus, 1766)",5219858,Ondatra zibethicus,LC
53.1761,49.4369,0.0001,,"Ondatra zibethicus (Linnaeus, 1766)",5219858,Ondatra zibethicus,LC
53.1798,49.4265,0.0001,,"Ondatra zibethicus (Linnaeus, 1766)",5219858,Ondatra zibethicus,LC
53.1789,49.4302,0.0001,,"Ondatra zibethicus (Linnaeus, 1766)",5219858,Ondatra zibethicus,LC
53.1775,49.4245,0.0001,,"Ondatra zibethicus (Linnaeus, 1766)",5219858,Ondatra zibethicus,LC
53.1856,49.4071,0.0001,,"Ondatra zibethicus (Linnaeus, 1766)",5219858,Ondatra zibethicus,LC
53.1762,49.4348,0.0001,,"Ondatra zibethicus (Linnaeus, 1766)",5219858,Ondatra zibethicus,LC
53.1733,49.4394,0.0001,,"Ondatra zibethicus (Linnaeus, 1766)",5219858,Ondatra zibethicus,LC
53.1787,49.4364,0.0001,,"Ondatra zibethicus (Linnaeus, 1766)",5219858,Ondatra zibethicus,LC
53.1853,49.4076,0.0001,,"Ondatra zibethicus (Linnaeus, 1766)",5219858,Ondatra zibethicus,LC
53.178,49.4366,0.0001,,"Ondatra zibethicus (Linnaeus, 1766)",5219858,Ondatra zibethicus,LC
53.1813,49.4094,0.0001,,"Ondatra zibethicus (Linnaeus, 1766)",5219858,Ondatra zibethicus,LC
53.1825,49.4135,0.0001,,"Ondatra zibethicus (Linnaeus, 1766)",5219858,Ondatra zibethicus,LC
53.1807,49.4341,0.0001,,"Ondatra zibethicus (Linnaeus, 1766)",5219858,Ondatra zibethicus,LC
53.1761,49.4369,0.0001,,"Ondatra zibethicus (Linnaeus, 1766)",5219858,Ondatra zibethicus,LC
53.1763,49.4163,0.0001,,"Ondatra zibethicus (Linnaeus, 1766)",5219858,Ondatra zibethicus,LC
53.1787,49.4093,0.0001,,"Ondatra zibethicus (Linnaeus, 1766)",5219858,Ondatra zibethicus,LC
53.1774,49.4272,0.0001,,"Ondatra zibethicus (Linnaeus, 1766)",5219858,Ondatra zibethicus,LC
53.177,49.4346,0.0001,,"Ondatra zibethicus (Linnaeus, 1766)",5219858,Ondatra zibethicus,LC
53.1796,49.4314,0.0001,,"Ondatra zibethicus (Linnaeus, 1766)",5219858,Ondatra zibethicus,LC
53.1788,49.4308,0.0001,,"Ondatra zibethicus (Linnaeus, 1766)",5219858,Ondatra zibethicus,LC
53.1761,49.4369,0.0001,,"Ondatra zibethicus (Linnaeus, 1766)",5219858,Ondatra zibethicus,LC
53.1763,49.4351,0.0001,,"Ondatra zibethicus (Linnaeus, 1766)",5219858,Ondatra zibethicus,LC
53.1763,49.4163,0.0001,,"Ondatra zibethicus (Linnaeus, 1766)",5219858,Ondatra zibethicus,LC
53.176,49.4362,0.0001,,"Ondatra zibethicus (Linnaeus, 1766)",5219858,Ondatra zibethicus,LC
53.1748,49.439,0.0001,,"Ondatra zibethicus (Linnaeus, 1766)",5219858,Ondatra zibethicus,LC
53.1779,49.436,0.0001,,"Ondatra zibethicus (Linnaeus, 1766)",5219858,Ondatra zibethicus,LC
53.1767,49.4351,0.0001,,"Ondatra zibethicus (Linnaeus, 1766)",5219858,Ondatra zibethicus,LC
53.1845,49.4239,0.0001,,"Ondatra zibethicus (Linnaeus, 1766)",5219858,Ondatra zibethicus,LC
53.1622,49.4643,0.0001,,"Ondatra zibethicus (Linnaeus, 1766)",5219858,Ondatra zibethicus,LC
53.177,49.4351,0.0001,,"Ondatra zibethicus (Linnaeus, 1766)",5219858,Ondatra zibethicus,LC
53.176,49.4368,0.0001,,"Ondatra zibethicus (Linnaeus, 1766)",5219858,Ondatra zibethicus,LC
53.1834,49.4282,0.0001,,"Ondatra zibethicus (Linnaeus, 1766)",5219858,Ondatra zibethicus,LC
53.177,49.4301,0.0001,,"Ondatra zibethicus (Linnaeus, 1766)",5219858,Ondatra zibethicus,LC
53.1775,49.4245,0.0001,,"Ondatra zibethicus (Linnaeus, 1766)",5219858,Ondatra zibethicus,LC
53.1815,49.4329,0.0001,,"Ondatra zibethicus (Linnaeus, 1766)",5219858,Ondatra zibethicus,LC
53.1776,49.4251,0.0001,,"Ondatra zibethicus (Linnaeus, 1766)",5219858,Ondatra zibethicus,LC
53.1784,49.4366,0.0001,,"Ondatra zibethicus (Linnaeus, 1766)",5219858,Ondatra zibethicus,LC
53.1775,49.4245,0.0001,,"Ondatra zibethicus (Linnaeus, 1766)",5219858,Ondatra zibethicus,LC
53.1712,49.4447,0.0001,,"Ondatra zibethicus (Linnaeus, 1766)",5219858,Ondatra zibethicus,LC
53.1738,49.4391,0.0001,,"Ondatra zibethicus (Linnaeus, 1766)",5219858,Ondatra zibethicus,LC
53.1761,49.4355,0.0001,,"Ondatra zibethicus (Linnaeus, 1766)",5219858,Ondatra zibethicus,LC
53.2401,49.1876,0.0001,,"Ondatra zibethicus (Linnaeus, 1766)",5219858,Ondatra zibethicus,LC
53.2309,49.8014,0.0001,,"Ondatra zibethicus (Linnaeus, 1766)",5219858,Ondatra zibethicus,LC
53.2303,49.7998,0.0001,,"Ondatra zibethicus (Linnaeus, 1766)",5219858,Ondatra zibethicus,LC
53.239,49.1925,0.0001,,"Ondatra zibethicus (Linnaeus, 1766)",5219858,Ondatra zibethicus,LC
53.2309,49.8014,0.0001,,"Ondatra zibethicus (Linnaeus, 1766)",5219858,Ondatra zibethicus,LC
