lat,lon,coordinatePrecision,scientificNameID,scientificName,speciesKey,species,iucnRedListCategory
78.556,16.259,0.001,,"Rangifer tarandus (Linnaeus, 1758)",5220114,Rangifer tarandus,VU
51.96,3.96,0.01,,"Rangifer tarandus (Linnaeus, 1758)",5220114,Rangifer tarandus,VU
55.1,5.0,0.1,,"Rangifer tarandus (Linnaeus, 1758)",5220114,Rangifer tarandus,VU
51.96,3.96,0.01,,"Rangifer tarandus (Linnaeus, 1758)",5220114,Rangifer tarandus,VU
52.0173,3.8968,0.0001,,"Rangifer tarandus (Linnaeus, 1758)",5220114,Rangifer tarandus,VU
55.78,7.2,0.01,,"Rangifer tarandus (Linnaeus, 1758)",5220114,Rangifer tarandus,VU
56.16,7.08,0.01,,"Rangifer tarandus (Linnaeus, 1758)",5220114,Rangifer tarandus,VU
52.6,6.39,0.01,,"Rangifer tarandus (Linnaeus, 1758)",5220114,Rangifer tarandus,VU
52.01,3.9,0.01,,"Rangifer tarandus (Linnaeus, 1758)",5220114,Rangifer tarandus,VU
52.17,4.61,0.01,,"Rangifer tarandus (Linnaeus, 1758)",5220114,Rangifer tarandus,VU
52.0146,3.9202,0.0001,,"Rangifer tarandus (Linnaeus, 1758)",5220114,Rangifer tarandus,VU
52.01,3.9,0.01,,"Rangifer tarandus (Linnaeus, 1758)",5220114,Rangifer tarandus,VU
52.22,6.24,0.01,,"Rangifer tarandus (Linnaeus, 1758)",5220114,Rangifer tarandus,VU
51.687,3.717,0.001,,"Rangifer tarandus (Linnaeus, 1758)",5220114,Rangifer tarandus,VU
52.004,3.877,0.001,,"Rangifer tarandus (Linnaeus, 1758)",5220114,Rangifer tarandus,VU
52.23,6.55,0.01,,"Rangifer tarandus (Linnaeus, 1758)",5220114,Rangifer tarandus,VU
52.01,3.9,0.01,,"Rangifer tarandus (Linnaeus, 1758)",5220114,Rangifer tarandus,VU
52.0144,3.9198,0.0001,,"Rangifer tarandus (Linnaeus, 1758)",5220114,Rangifer tarandus,VU
52.01,3.9,0.01,,"Rangifer tarandus (Linnaeus, 1758)",5220114,Rangifer tarandus,VU
52.0185,3.8979,0.0001,,"Rangifer tarandus (Linnaeus, 1758)",5220114,Rangifer tarandus,VU
52.0138,3.9231,0.0001,,"Rangifer tarandus (Linnaeus, 1758)",5220114,Rangifer tarandus,VU
52.01,3.9,0.01,,"Rangifer tarandus (Linnaeus, 1758)",5220114,Rangifer tarandus,VU
52.0144,3.9085,0.0001,,"Rangifer tarandus (Linnaeus, 1758)",5220114,Rangifer tarandus,VU
52.0213,3.8707,0.0001,,"Rangifer tarandus (Linnaeus, 1758)",5220114,Rangifer tarandus,VU
52.007,3.849,0.001,,"Rangifer tarandus (Linnaeus, 1758)",5220114,Rangifer tarandus,VU
52.008,3.899,0.001,,"Rangifer tarandus (Linnaeus, 1758)",5220114,Rangifer tarandus,VU
52.0181,3.8825,0.0001,,"Rangifer tarandus (Linnaeus, 1758)",5220114,Rangifer tarandus,VU
52.0118,3.8684,0.0001,,"Rangifer tarandus (Linnaeus, 1758)",5220114,Rangifer tarandus,VU
51.96,3.96,0.01,,"Rangifer tarandus (Linnaeus, 1758)",5220114,Rangifer tarandus,VU
52.05,4.19,0.01,,"Rangifer tarandus (Linnaeus, 1758)",5220114,Rangifer tarandus,VU
52.02,4.15,0.01,,"Rangifer tarandus (Linnaeus, 1758)",5220114,Rangifer tarandus,VU
52.05,4.19,0.01,,"Rangifer tarandus (Linnaeus, 1758)",5220114,Rangifer tarandus,VU
52.22,6.15,0.01,,"Rangifer tarandus (Linnaeus, 1758)",5220114,Rangifer tarandus,VU
51.389,3.815,0.001,,"Rangifer tarandus (Linnaeus, 1758)",5220114,Rangifer tarandus,VU
52.22,6.15,0.01,,"Rangifer tarandus (Linnaeus, 1758)",5220114,Rangifer tarandus,VU
51.389,3.815,0.001,,"Rangifer tarandus (Linnaeus, 1758)",5220114,Rangifer tarandus,VU
51.389,3.815,0.001,,"Rangifer tarandus (Linnaeus, 1758)",5220114,Rangifer tarandus,VU
51.389,3.815,0.001,,"Rangifer tarandus (Linnaeus, 1758)",5220114,Rangifer tarandus,VU
52.22,6.15,0.01,,"Rangifer tarandus (Linnaeus, 1758)",5220114,Rangifer tarandus,VU
52.22,6.15,0.01,,"Rangifer tarandus (Linnaeus, 1758)",5220114,Rangifer tarandus,VU
51.389,3.815,0.001,,"Rangifer tarandus (Linnaeus, 1758)",5220114,Rangifer tarandus,VU
51.389,3.815,0.001,,"Rangifer tarandus (Linnaeus, 1758)",5220114,Rangifer tarandus,VU
51.389,3.815,0.001,,"Rangifer tarandus (Linnaeus, 1758)",5220114,Rangifer tarandus,VU
51.389,3.815,0.001,,"Rangifer tarandus (Linnaeus, 1758)",5220114,Rangifer tarandus,VU
51.389,3.815,0.001,,"Rangifer tarandus (Linnaeus, 1758)",5220114,Rangifer tarandus,VU
52.22,6.15,0.01,,"Rangifer tarandus (Linnaeus, 1758)",5220114,Rangifer tarandus,VU
51.389,3.815,0.001,,"Rangifer tarandus (Linnaeus, 1758)",5220114,Rangifer tarandus,VU
51.389,3.815,0.001,,"Rangifer tarandus (Linnaeus, 1758)",5220114,Rangifer tarandus,VU
51.389,3.815,0.001,,"Rangifer tarandus (Linnaeus, 1758)",5220114,Rangifer tarandus,VU
51.389,3.815,0.001,,"Rangifer tarandus (Linnaeus, 1758)",5220114,Rangifer tarandus,VU
55.59361,14.15028,0.01,,"Rangifer tarandus (Linnaeus, 1758)",5220114,Rangifer tarandus,VU
55.51833,13.10361,0.001,,"Rangifer tarandus (Linnaeus, 1758)",5220114,Rangifer tarandus,VU
55.41917,13.00306,0.001,,"Rangifer tarandus (Linnaeus, 1758)",5220114,Rangifer tarandus,VU
