year,lat,lon,coordinateUncertaintyInMeters,coordinatePrecision,scientificNameID,scientificName,speciesKey,species,iucnRedListCategory
2014,42.76723,-0.426608,244.0,,,"Rupicapra pyrenaica Bonaparte, 1845",5220171,Rupicapra pyrenaica,LC
2014,42.766222,-0.432065,244.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2019,42.760888,-0.66846,,,,"Rupicapra pyrenaica Bonaparte, 1845",5220171,Rupicapra pyrenaica,LC
2021,42.3,1.976,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2021,42.401,2.278,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2021,42.374,2.229,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2021,42.365,2.254,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2021,42.326,1.914,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2021,42.365,2.23,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2021,42.736,0.93,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2021,42.647,1.006,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2021,42.65,1.189,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2021,42.668,0.7,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2021,42.616,1.288,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2021,42.751,0.795,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2021,42.659,1.189,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2021,42.78,0.904,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2021,42.748,1.113,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2021,42.735,0.893,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2021,42.78,0.88,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2021,42.391,2.12,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2021,42.683,1.017,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2021,42.77,0.819,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2021,42.327,1.999,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2021,42.215,1.613,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2021,42.355,2.108,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2021,42.695,1.163,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2021,42.668,1.201,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2021,42.374,2.217,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2021,42.571,0.789,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2021,42.355,2.12,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2021,42.653,0.823,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2021,42.364,2.096,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2021,42.383,2.205,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2021,42.562,0.79,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2021,42.373,2.084,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2021,42.382,2.181,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2021,42.219,2.074,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2021,42.753,0.893,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2021,42.536,0.815,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2021,42.536,0.864,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2021,42.553,0.802,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2021,42.197,1.65,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2021,42.473,0.866,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2021,42.335,1.902,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2021,42.528,0.876,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2021,42.573,1.447,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2021,42.753,0.868,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2021,42.517,1.339,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2021,42.77,0.843,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2021,42.483,0.878,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2021,42.692,1.005,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2021,42.563,0.814,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2021,42.706,1.31,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2021,42.742,0.759,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2021,42.504,1.729,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2021,42.565,0.924,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2021,42.418,2.168,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2021,42.706,1.285,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2021,42.144,1.76,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2021,42.356,2.278,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2021,42.754,0.954,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2021,42.383,2.254,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2021,42.123,0.914,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2021,42.316,1.83,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2020,42.384,2.375,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2021,42.3,2.024,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2021,42.329,2.254,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2021,42.205,1.589,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2021,42.628,0.934,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2021,42.487,1.766,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2021,42.242,1.625,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2021,42.428,2.241,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2021,42.309,2.036,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2021,42.664,0.969,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2021,42.682,0.932,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2021,42.337,2.121,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2021,42.524,1.205,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2021,42.677,0.7,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2021,42.392,2.326,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2021,42.824,0.817,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2021,42.486,1.705,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2021,42.187,1.517,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2021,42.374,2.302,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2021,42.577,1.118,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2021,42.503,0.999,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2021,42.788,0.83,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2020,42.186,1.493,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2021,42.205,1.517,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2020,42.186,1.481,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2021,42.536,0.851,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2021,42.555,0.912,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2020,42.356,2.23,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2020,42.418,2.18,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2020,42.762,0.892,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2020,42.391,2.156,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2020,42.373,2.157,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2021,42.553,1.314,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2020,42.428,2.253,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2020,42.199,1.166,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2020,42.437,2.265,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2020,42.284,2.255,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2020,42.293,2.315,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2020,42.243,1.71,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2020,42.419,2.229,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2020,42.337,2.133,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2020,42.695,0.675,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2020,42.337,2.193,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2019,42.383,2.217,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2019,42.609,0.898,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2019,42.573,0.875,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2019,42.347,2.23,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2019,42.309,2.0,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2018,42.293,2.291,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2018,42.419,2.253,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2018,42.693,1.078,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2018,42.317,1.915,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2018,42.364,2.157,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2021,42.289,1.782,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2019,42.29,1.915,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2018,42.299,1.915,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2021,42.371,1.914,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2021,42.124,1.543,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2021,42.34,1.55,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2021,42.533,1.192,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2021,42.527,1.351,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2021,42.478,1.778,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2021,42.2,1.965,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2021,42.291,2.012,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2021,42.473,0.854,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2021,42.308,1.915,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2021,42.521,0.998,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2021,42.678,0.724,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2019,42.736,0.918,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2021,42.681,0.895,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2021,42.738,1.077,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2021,42.754,0.917,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2021,42.477,1.741,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2021,42.382,2.193,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2021,42.373,2.108,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2021,42.363,2.06,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2021,42.382,2.12,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2021,42.178,1.53,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2021,42.582,0.874,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2021,42.214,1.529,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2021,42.638,1.006,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
2021,42.428,2.277,707.0,,,Rupicapra pyrenaica pyrenaica,5220171,Rupicapra pyrenaica,
