lat,lon,coordinatePrecision,scientificNameID,scientificName,speciesKey,species,iucnRedListCategory
41.332492,-7.292057,1e-05,,"Sciurus vulgaris Linnaeus, 1758",8211070,Sciurus vulgaris,LC
41.36305,-7.261727,1e-05,,"Sciurus vulgaris Linnaeus, 1758",8211070,Sciurus vulgaris,LC
41.36525,-7.21112,1e-05,,"Sciurus vulgaris Linnaeus, 1758",8211070,Sciurus vulgaris,LC
41.330777,-7.383004,1e-05,,"Sciurus vulgaris Linnaeus, 1758",8211070,Sciurus vulgaris,LC
41.334018,-7.320432,1e-05,,"Sciurus vulgaris Linnaeus, 1758",8211070,Sciurus vulgaris,LC
41.367217,-7.274735,1e-05,,"Sciurus vulgaris Linnaeus, 1758",8211070,Sciurus vulgaris,LC
41.317953,-7.363409,1e-05,,"Sciurus vulgaris Linnaeus, 1758",8211070,Sciurus vulgaris,LC
41.278182,-7.392139,1e-05,,"Sciurus vulgaris Linnaeus, 1758",8211070,Sciurus vulgaris,LC
41.2175,-7.433259,1e-05,,"Sciurus vulgaris Linnaeus, 1758",8211070,Sciurus vulgaris,LC
41.365388,-7.211477,1e-05,,"Sciurus vulgaris Linnaeus, 1758",8211070,Sciurus vulgaris,LC
41.240204,-7.426719,1e-05,,"Sciurus vulgaris Linnaeus, 1758",8211070,Sciurus vulgaris,LC
41.240204,-7.426719,1e-05,,"Sciurus vulgaris Linnaeus, 1758",8211070,Sciurus vulgaris,LC
41.387557,-7.226599,1e-05,,"Sciurus vulgaris Linnaeus, 1758",8211070,Sciurus vulgaris,LC
41.349368,-7.331712,1e-05,,"Sciurus vulgaris Linnaeus, 1758",8211070,Sciurus vulgaris,LC
41.332589,-7.338821,1e-05,,"Sciurus vulgaris Linnaeus, 1758",8211070,Sciurus vulgaris,LC
41.365388,-7.211477,1e-05,,"Sciurus vulgaris Linnaeus, 1758",8211070,Sciurus vulgaris,LC
41.239573,-7.414809,1e-05,,"Sciurus vulgaris Linnaeus, 1758",8211070,Sciurus vulgaris,LC
41.287786,-7.381824,1e-05,,"Sciurus vulgaris Linnaeus, 1758",8211070,Sciurus vulgaris,LC
41.347506,-7.286619,1e-05,,"Sciurus vulgaris Linnaeus, 1758",8211070,Sciurus vulgaris,LC
41.34381,-7.312102,1e-05,,"Sciurus vulgaris Linnaeus, 1758",8211070,Sciurus vulgaris,LC
41.232992,-7.422371,1e-05,,"Sciurus vulgaris Linnaeus, 1758",8211070,Sciurus vulgaris,LC
41.324592,-7.35847,1e-05,,"Sciurus vulgaris Linnaeus, 1758",8211070,Sciurus vulgaris,LC
41.287812,-7.37761,1e-05,,"Sciurus vulgaris Linnaeus, 1758",8211070,Sciurus vulgaris,LC
41.34381,-7.312102,1e-05,,"Sciurus vulgaris Linnaeus, 1758",8211070,Sciurus vulgaris,LC
41.335122,-7.349841,1e-05,,"Sciurus vulgaris Linnaeus, 1758",8211070,Sciurus vulgaris,LC
41.371878,-7.224916,1e-05,,"Sciurus vulgaris Linnaeus, 1758",8211070,Sciurus vulgaris,LC
41.254425,-7.404171,1e-05,,"Sciurus vulgaris Linnaeus, 1758",8211070,Sciurus vulgaris,LC
41.252894,-7.412743,1e-05,,"Sciurus vulgaris Linnaeus, 1758",8211070,Sciurus vulgaris,LC
41.351837,-7.342543,1e-05,,"Sciurus vulgaris Linnaeus, 1758",8211070,Sciurus vulgaris,LC
41.277647,-7.385986,1e-05,,"Sciurus vulgaris Linnaeus, 1758",8211070,Sciurus vulgaris,LC
41.28506,-7.387728,1e-05,,"Sciurus vulgaris Linnaeus, 1758",8211070,Sciurus vulgaris,LC
