year,lat,lon,coordinateUncertaintyInMeters,coordinatePrecision,scientificNameID,scientificName,speciesKey,species,iucnRedListCategory
2011,42.96917,0.60029,1000.0,,,"Sorex coronatus Millet, 1828",2436090,Sorex coronatus,LC
2010,44.25385,0.63712,4566.0,,,"Sorex coronatus Millet, 1828",2436090,Sorex coronatus,LC
2008,44.04689,1.78245,1000.0,,,"Sorex coronatus Millet, 1828",2436090,Sorex coronatus,LC
2008,44.02604,1.77541,1000.0,,,"Sorex coronatus Millet, 1828",2436090,Sorex coronatus,LC
2018,50.29819,1.82603,2658.0,,,"Sorex coronatus Millet, 1828",2436090,Sorex coronatus,LC
2018,50.1698,2.25144,2270.0,,,"Sorex coronatus Millet, 1828",2436090,Sorex coronatus,LC
2007,44.0198,1.7185,1000.0,,,"Sorex coronatus Millet, 1828",2436090,Sorex coronatus,LC
2019,43.74944,1.6539,10.0,,,"Sorex coronatus Millet, 1828",2436090,Sorex coronatus,LC
2008,44.3386,1.09706,1000.0,,,"Sorex coronatus Millet, 1828",2436090,Sorex coronatus,LC
2012,44.91135,-0.68139,2815.0,,,"Sorex coronatus Millet, 1828",2436090,Sorex coronatus,LC
2012,44.88882,-0.60023,2267.0,,,"Sorex coronatus Millet, 1828",2436090,Sorex coronatus,LC
2009,45.34651,0.53969,4089.0,,,"Sorex coronatus Millet, 1828",2436090,Sorex coronatus,LC
2017,43.94502,-0.45789,4586.0,,,"Sorex coronatus Millet, 1828",2436090,Sorex coronatus,LC
2004,44.65141,-0.63139,7283.0,,,"Sorex coronatus Millet, 1828",2436090,Sorex coronatus,LC
2011,44.65141,-0.63139,7283.0,,,"Sorex coronatus Millet, 1828",2436090,Sorex coronatus,LC
1998,44.89769,0.97779,2939.0,,,"Sorex coronatus Millet, 1828",2436090,Sorex coronatus,LC
1996,45.36752,0.71585,3214.0,,,"Sorex coronatus Millet, 1828",2436090,Sorex coronatus,LC
1996,45.36752,0.71585,3214.0,,,"Sorex coronatus Millet, 1828",2436090,Sorex coronatus,LC
2011,44.65141,-0.63139,7283.0,,,"Sorex coronatus Millet, 1828",2436090,Sorex coronatus,LC
2003,44.65141,-0.63139,7283.0,,,"Sorex coronatus Millet, 1828",2436090,Sorex coronatus,LC
2003,44.65141,-0.63139,7283.0,,,"Sorex coronatus Millet, 1828",2436090,Sorex coronatus,LC
2011,45.14211,0.78193,5894.0,,,"Sorex coronatus Millet, 1828",2436090,Sorex coronatus,LC
1996,44.78559,0.64673,2606.0,,,"Sorex coronatus Millet, 1828",2436090,Sorex coronatus,LC
1998,44.88111,0.2623,3436.0,,,"Sorex coronatus Millet, 1828",2436090,Sorex coronatus,LC
1996,44.79505,0.48108,3015.0,,,"Sorex coronatus Millet, 1828",2436090,Sorex coronatus,LC
1996,44.80493,0.72259,2292.0,,,"Sorex coronatus Millet, 1828",2436090,Sorex coronatus,LC
1998,44.88313,1.02534,3609.0,,,"Sorex coronatus Millet, 1828",2436090,Sorex coronatus,LC
1996,44.80172,1.13114,4145.0,,,"Sorex coronatus Millet, 1828",2436090,Sorex coronatus,LC
1996,45.00218,0.59532,3580.0,,,"Sorex coronatus Millet, 1828",2436090,Sorex coronatus,LC
1996,44.78559,0.64673,2606.0,,,"Sorex coronatus Millet, 1828",2436090,Sorex coronatus,LC
2013,45.3189,0.58092,4295.0,,,"Sorex coronatus Millet, 1828",2436090,Sorex coronatus,LC
2003,44.65141,-0.63139,7283.0,,,"Sorex coronatus Millet, 1828",2436090,Sorex coronatus,LC
2012,44.65141,-0.63139,7283.0,,,"Sorex coronatus Millet, 1828",2436090,Sorex coronatus,LC
2003,44.65141,-0.63139,7283.0,,,"Sorex coronatus Millet, 1828",2436090,Sorex coronatus,LC
1996,45.34651,0.53969,4089.0,,,"Sorex coronatus Millet, 1828",2436090,Sorex coronatus,LC
2011,45.14211,0.78193,5894.0,,,"Sorex coronatus Millet, 1828",2436090,Sorex coronatus,LC
1998,45.30046,0.48537,4240.0,,,"Sorex coronatus Millet, 1828",2436090,Sorex coronatus,LC
2003,44.65141,-0.63139,7283.0,,,"Sorex coronatus Millet, 1828",2436090,Sorex coronatus,LC
2002,43.42654,-1.51736,3908.0,,,"Sorex coronatus Millet, 1828",2436090,Sorex coronatus,LC
2018,43.61042,-1.04088,2094.0,,,"Sorex coronatus Millet, 1828",2436090,Sorex coronatus,LC
2017,43.52281,2.32007,1000.0,,,"Sorex coronatus Millet, 1828",2436090,Sorex coronatus,LC
2019,47.47302,-2.46543,3183.0,,,"Sorex coronatus Millet, 1828",2436090,Sorex coronatus,LC
2017,49.41273,0.23823,3338.0,,,"Sorex coronatus Millet, 1828",2436090,Sorex coronatus,LC
2017,49.27237,-0.20173,2448.0,,,"Sorex coronatus Millet, 1828",2436090,Sorex coronatus,LC
2017,49.40828,0.26768,2258.0,,,"Sorex coronatus Millet, 1828",2436090,Sorex coronatus,LC
2000,45.83521,-1.07453,5464.0,,,"Sorex coronatus Millet, 1828",2436090,Sorex coronatus,LC
2016,44.86698,-1.14067,7881.0,,,"Sorex coronatus Millet, 1828",2436090,Sorex coronatus,LC
2017,49.40828,0.26768,2258.0,,,"Sorex coronatus Millet, 1828",2436090,Sorex coronatus,LC
2020,49.65235,-1.81402,9376.0,,,"Sorex coronatus Millet, 1828",2436090,Sorex coronatus,LC
2008,48.77101,-3.55801,3154.0,,,"Sorex coronatus Millet, 1828",2436090,Sorex coronatus,LC
1965,49.77947,1.95937,5000.0,,,"Sorex coronatus Millet, 1828",2436090,Sorex coronatus,LC
2004,49.60371,3.34568,5000.0,,,"Sorex coronatus Millet, 1828",2436090,Sorex coronatus,LC
1981,50.13746,1.81229,5000.0,,,"Sorex coronatus Millet, 1828",2436090,Sorex coronatus,LC
2017,49.40828,0.26768,2258.0,,,"Sorex coronatus Millet, 1828",2436090,Sorex coronatus,LC
2020,49.65235,-1.81402,9376.0,,,"Sorex coronatus Millet, 1828",2436090,Sorex coronatus,LC
2017,49.40828,0.26768,2258.0,,,"Sorex coronatus Millet, 1828",2436090,Sorex coronatus,LC
2017,49.27237,-0.20173,2448.0,,,"Sorex coronatus Millet, 1828",2436090,Sorex coronatus,LC
2017,49.41273,0.23823,3338.0,,,"Sorex coronatus Millet, 1828",2436090,Sorex coronatus,LC
2013,44.52509,0.47585,2798.0,,,"Sorex coronatus Millet, 1828",2436090,Sorex coronatus,LC
2014,44.44818,0.62219,3468.0,,,"Sorex coronatus Millet, 1828",2436090,Sorex coronatus,LC
2013,44.46845,0.40453,3388.0,,,"Sorex coronatus Millet, 1828",2436090,Sorex coronatus,LC
2012,43.65827,-0.87805,2243.0,,,"Sorex coronatus Millet, 1828",2436090,Sorex coronatus,LC
