lat,lon,coordinatePrecision,scientificNameID,scientificName,speciesKey,species,iucnRedListCategory
53.1949,49.4184,0.0001,,"Sorex minutus Linnaeus, 1766",7571319,Sorex minutus,LC
53.1976,49.4107,0.0001,,"Sorex minutus Linnaeus, 1766",7571319,Sorex minutus,LC
53.1982,49.4096,0.0001,,"Sorex minutus Linnaeus, 1766",7571319,Sorex minutus,LC
53.1969,49.4123,0.0001,,"Sorex minutus Linnaeus, 1766",7571319,Sorex minutus,LC
53.1947,49.4214,0.0001,,"Sorex minutus Linnaeus, 1766",7571319,Sorex minutus,LC
53.1968,49.4121,0.0001,,"Sorex minutus Linnaeus, 1766",7571319,Sorex minutus,LC
53.197,49.4118,0.0001,,"Sorex minutus Linnaeus, 1766",7571319,Sorex minutus,LC
53.1984,49.4091,0.0001,,"Sorex minutus Linnaeus, 1766",7571319,Sorex minutus,LC
53.1968,49.4121,0.0001,,"Sorex minutus Linnaeus, 1766",7571319,Sorex minutus,LC
53.1964,49.4129,0.0001,,"Sorex minutus Linnaeus, 1766",7571319,Sorex minutus,LC
53.1947,49.4214,0.0001,,"Sorex minutus Linnaeus, 1766",7571319,Sorex minutus,LC
53.1969,49.4123,0.0001,,"Sorex minutus Linnaeus, 1766",7571319,Sorex minutus,LC
53.1968,49.4121,0.0001,,"Sorex minutus Linnaeus, 1766",7571319,Sorex minutus,LC
53.1984,49.4091,0.0001,,"Sorex minutus Linnaeus, 1766",7571319,Sorex minutus,LC
53.1959,49.4138,0.0001,,"Sorex minutus Linnaeus, 1766",7571319,Sorex minutus,LC
53.197,49.4118,0.0001,,"Sorex minutus Linnaeus, 1766",7571319,Sorex minutus,LC
53.1979,49.4102,0.0001,,"Sorex minutus Linnaeus, 1766",7571319,Sorex minutus,LC
53.1967,49.4123,0.0001,,"Sorex minutus Linnaeus, 1766",7571319,Sorex minutus,LC
53.1967,49.4123,0.0001,,"Sorex minutus Linnaeus, 1766",7571319,Sorex minutus,LC
53.1949,49.4202,0.0001,,"Sorex minutus Linnaeus, 1766",7571319,Sorex minutus,LC
53.1964,49.4129,0.0001,,"Sorex minutus Linnaeus, 1766",7571319,Sorex minutus,LC
53.1979,49.4102,0.0001,,"Sorex minutus Linnaeus, 1766",7571319,Sorex minutus,LC
