year,lat,lon,coordinateUncertaintyInMeters,coordinatePrecision,scientificNameID,scientificName,speciesKey,species,iucnRedListCategory
2021,56.459373,10.013461,100.0,,,"Sorex minutus Linnaeus, 1766",7571319,Sorex minutus,LC
2022,55.343946,10.750756,,,,"Sorex minutus Linnaeus, 1766",7571319,Sorex minutus,LC
2022,61.677768,7.316329,200.0,,,"Sorex minutus Linnaeus, 1766",7571319,Sorex minutus,LC
2022,60.639642,27.290357,1.0,,,"Sorex minutus Linnaeus, 1766",7571319,Sorex minutus,LC
2021,42.075,2.028,707.0,,,"Sorex minutus Linnaeus, 1766",7571319,Sorex minutus,LC
2021,42.223,3.092,707.0,,,"Sorex minutus Linnaeus, 1766",7571319,Sorex minutus,LC
2021,49.619126,36.333971,,,,"Sorex minutus Linnaeus, 1766",7571319,Sorex minutus,LC
2021,50.089261,36.29064,,,,"Sorex minutus Linnaeus, 1766",7571319,Sorex minutus,LC
2002,49.5529,6.10338,,,,"Sorex minutus Linnaeus, 1766",7571319,Sorex minutus,LC
2019,49.9963,6.10643,,,,"Sorex minutus Linnaeus, 1766",7571319,Sorex minutus,LC
2001,53.233475,8.250043,25.0,,,"Sorex minutus Linnaeus, 1766",7571319,Sorex minutus,LC
2021,55.91051,11.71737,5000.0,,,"Sorex minutus Linnaeus, 1766",7571319,Sorex minutus,LC
2016,51.7761,-0.0972,50.0,,,"Sorex minutus Linnaeus, 1766",7571319,Sorex minutus,LC
2015,51.8092,-0.0173,10.0,,,"Sorex minutus Linnaeus, 1766",7571319,Sorex minutus,LC
2014,51.808024,0.105434,70.7,,,"Sorex minutus Linnaeus, 1766",7571319,Sorex minutus,LC
2014,51.794839,-0.689134,707.1,,,"Sorex minutus Linnaeus, 1766",7571319,Sorex minutus,LC
2021,50.674816,-1.116851,707.1,,,"Sorex minutus Linnaeus, 1766",7571319,Sorex minutus,LC
2021,50.908358,0.572415,70.7,,,"Sorex minutus Linnaeus, 1766",7571319,Sorex minutus,LC
2021,52.294858,0.395434,7.1,,,"Sorex minutus Linnaeus, 1766",7571319,Sorex minutus,LC
2021,52.294858,0.395434,7.1,,,"Sorex minutus Linnaeus, 1766",7571319,Sorex minutus,LC
2021,54.272979,-3.213872,70.7,,,"Sorex minutus Linnaeus, 1766",7571319,Sorex minutus,LC
2018,57.337884,-1.966511,7.1,,,"Sorex minutus Linnaeus, 1766",7571319,Sorex minutus,LC
2021,50.678042,-1.121249,7.1,,,"Sorex minutus Linnaeus, 1766",7571319,Sorex minutus,LC
2021,52.295304,0.395604,7.1,,,"Sorex minutus Linnaeus, 1766",7571319,Sorex minutus,LC
2021,52.048314,-3.188082,13.0,,,"Sorex minutus Linnaeus, 1766",7571319,Sorex minutus,LC
2015,51.713544,-0.543118,70.7,,,"Sorex minutus Linnaeus, 1766",7571319,Sorex minutus,LC
2011,42.96917,0.60029,1000.0,,,"Sorex minutus Linnaeus, 1766",7571319,Sorex minutus,LC
2010,44.25385,0.63712,4566.0,,,"Sorex minutus Linnaeus, 1766",7571319,Sorex minutus,LC
2018,50.29819,1.82603,2658.0,,,"Sorex minutus Linnaeus, 1766",7571319,Sorex minutus,LC
2018,50.1698,2.25144,2270.0,,,"Sorex minutus Linnaeus, 1766",7571319,Sorex minutus,LC
2009,45.34651,0.53969,4089.0,,,"Sorex minutus Linnaeus, 1766",7571319,Sorex minutus,LC
2016,42.51962,2.29872,10.0,,,"Sorex minutus Linnaeus, 1766",7571319,Sorex minutus,LC
