year,lat,lon,coordinateUncertaintyInMeters,coordinatePrecision,scientificNameID,scientificName,speciesKey,species,iucnRedListCategory
2020,40.720124,22.926549,27908.0,,,"Spermophilus citellus (Linnaeus, 1766)",2437304,Spermophilus citellus,EN
2020,40.604397,22.850589,27908.0,,,"Spermophilus citellus (Linnaeus, 1766)",2437304,Spermophilus citellus,EN
2015,47.762775,16.905122,26807.0,,,"Spermophilus citellus (Linnaeus, 1766)",2437304,Spermophilus citellus,EN
2016,48.903736,20.609816,26614.0,,,"Spermophilus citellus (Linnaeus, 1766)",2437304,Spermophilus citellus,EN
2014,47.79841,16.953475,26807.0,,,"Spermophilus citellus (Linnaeus, 1766)",2437304,Spermophilus citellus,EN
2021,45.712669,27.241286,27126.0,,,"Spermophilus citellus (Linnaeus, 1766)",2437304,Spermophilus citellus,EN
2014,47.760844,16.965773,26807.0,,,"Spermophilus citellus (Linnaeus, 1766)",2437304,Spermophilus citellus,EN
2021,46.428389,17.341737,26999.0,,,"Spermophilus citellus (Linnaeus, 1766)",2437304,Spermophilus citellus,EN
2021,46.590835,17.202211,26999.0,,,"Spermophilus citellus (Linnaeus, 1766)",2437304,Spermophilus citellus,EN
2008,44.549071,28.561698,27317.0,,,"Spermophilus citellus (Linnaeus, 1766)",2437304,Spermophilus citellus,EN
2020,47.767766,16.842111,,,,"Spermophilus citellus (Linnaeus, 1766)",2437304,Spermophilus citellus,EN
2014,47.793442,16.914529,,,,"Spermophilus citellus (Linnaeus, 1766)",2437304,Spermophilus citellus,EN
2019,48.444017,15.71301,,,,"Spermophilus citellus (Linnaeus, 1766)",2437304,Spermophilus citellus,EN
2020,48.301733,16.458543,,,,"Spermophilus citellus (Linnaeus, 1766)",2437304,Spermophilus citellus,EN
2015,47.959008,16.746866,,,,"Spermophilus citellus (Linnaeus, 1766)",2437304,Spermophilus citellus,EN
2020,48.436308,15.694741,,,,"Spermophilus citellus (Linnaeus, 1766)",2437304,Spermophilus citellus,EN
2018,47.766784,16.84063,,,,"Spermophilus citellus (Linnaeus, 1766)",2437304,Spermophilus citellus,EN
2014,48.436368,15.697011,,,,"Spermophilus citellus (Linnaeus, 1766)",2437304,Spermophilus citellus,EN
2019,48.316613,16.436189,,,,"Spermophilus citellus (Linnaeus, 1766)",2437304,Spermophilus citellus,EN
2019,47.76493,16.838068,,,,"Spermophilus citellus (Linnaeus, 1766)",2437304,Spermophilus citellus,EN
2014,47.795113,16.913356,,,,"Spermophilus citellus (Linnaeus, 1766)",2437304,Spermophilus citellus,EN
2014,48.449457,15.672706,,,,"Spermophilus citellus (Linnaeus, 1766)",2437304,Spermophilus citellus,EN
2014,48.454244,15.684893,,,,"Spermophilus citellus (Linnaeus, 1766)",2437304,Spermophilus citellus,EN
2014,48.108593,16.780957,,,,"Spermophilus citellus (Linnaeus, 1766)",2437304,Spermophilus citellus,EN
2019,48.313895,16.402166,,,,"Spermophilus citellus (Linnaeus, 1766)",2437304,Spermophilus citellus,EN
2020,48.302534,16.458506,,,,"Spermophilus citellus (Linnaeus, 1766)",2437304,Spermophilus citellus,EN
2020,48.469021,15.687741,,,,"Spermophilus citellus (Linnaeus, 1766)",2437304,Spermophilus citellus,EN
2017,48.31404,16.40218,,,,"Spermophilus citellus (Linnaeus, 1766)",2437304,Spermophilus citellus,EN
2019,48.383295,16.085281,,,,"Spermophilus citellus (Linnaeus, 1766)",2437304,Spermophilus citellus,EN
2019,48.444899,15.713404,,,,"Spermophilus citellus (Linnaeus, 1766)",2437304,Spermophilus citellus,EN
