year,lat,lon,coordinateUncertaintyInMeters,coordinatePrecision,scientificNameID,scientificName,speciesKey,species,iucnRedListCategory
2021,42.034,3.188,707.0,,,"Suncus etruscus (Savi, 1822)",2435506,Suncus etruscus,LC
2021,42.142,2.789,707.0,,,"Suncus etruscus (Savi, 1822)",2435506,Suncus etruscus,LC
2015,43.36773,0.93486,10.0,,,"Suncus etruscus (Savi, 1822)",2435506,Suncus etruscus,LC
2019,43.31646,1.44235,1000.0,,,"Suncus etruscus (Savi, 1822)",2435506,Suncus etruscus,LC
2019,43.31646,1.44235,1000.0,,,"Suncus etruscus (Savi, 1822)",2435506,Suncus etruscus,LC
2019,43.31646,1.44235,1000.0,,,"Suncus etruscus (Savi, 1822)",2435506,Suncus etruscus,LC
2014,43.72858,4.11584,10.0,,,"Suncus etruscus (Savi, 1822)",2435506,Suncus etruscus,LC
2016,43.88681,4.25532,10.0,,,"Suncus etruscus (Savi, 1822)",2435506,Suncus etruscus,LC
2017,43.46741,4.24078,500.0,,,"Suncus etruscus (Savi, 1822)",2435506,Suncus etruscus,LC
2010,43.63312,4.18042,1000.0,,,"Pachyura etrusca (Savi, 1822)",2435506,Suncus etruscus,NE
2019,42.94785,2.25509,1000.0,,,"Suncus etruscus (Savi, 1822)",2435506,Suncus etruscus,LC
2017,43.55461,3.69534,10.0,,,"Suncus etruscus (Savi, 1822)",2435506,Suncus etruscus,LC
2021,43.17842,2.35972,1464.0,,,"Suncus etruscus (Savi, 1822)",2435506,Suncus etruscus,LC
2008,43.10166,6.1899,18915.0,,,"Suncus etruscus (Savi, 1822)",2435506,Suncus etruscus,LC
1985,43.10166,6.1899,18915.0,,,"Suncus etruscus (Savi, 1822)",2435506,Suncus etruscus,LC
2014,43.37374,6.37546,7881.0,,,"Suncus etruscus (Savi, 1822)",2435506,Suncus etruscus,LC
2017,44.4949,0.51872,3464.0,,,"Suncus etruscus (Savi, 1822)",2435506,Suncus etruscus,LC
2018,44.4949,0.51872,3464.0,,,"Suncus etruscus (Savi, 1822)",2435506,Suncus etruscus,LC
2017,44.4949,0.51872,3464.0,,,"Suncus etruscus (Savi, 1822)",2435506,Suncus etruscus,LC
2020,44.4949,0.51872,3464.0,,,"Suncus etruscus (Savi, 1822)",2435506,Suncus etruscus,LC
2016,44.4949,0.51872,3464.0,,,"Suncus etruscus (Savi, 1822)",2435506,Suncus etruscus,LC
2013,44.38349,0.32515,4944.0,,,"Suncus etruscus (Savi, 1822)",2435506,Suncus etruscus,LC
2013,44.4949,0.51872,3464.0,,,"Suncus etruscus (Savi, 1822)",2435506,Suncus etruscus,LC
2017,44.4949,0.51872,3464.0,,,"Suncus etruscus (Savi, 1822)",2435506,Suncus etruscus,LC
2015,44.51848,0.45343,4934.0,,,"Suncus etruscus (Savi, 1822)",2435506,Suncus etruscus,LC
2000,43.89142,-0.04958,5000.0,,,"Suncus etruscus (Savi, 1822)",2435506,Suncus etruscus,LC
2000,43.89483,0.07478,5000.0,,,"Suncus etruscus (Savi, 1822)",2435506,Suncus etruscus,LC
2021,41.911282,2.715401,49.0,,,"Suncus etruscus (Savi, 1822)",2435506,Suncus etruscus,LC
2019,46.019,8.956,,,,"Suncus etruscus (Savi, 1822)",2435506,Suncus etruscus,LC
2021,28.463253,-16.451769,40.0,,,"Suncus etruscus (Savi, 1822)",2435506,Suncus etruscus,LC
2021,43.778391,11.276543,16.0,,,"Suncus etruscus (Savi, 1822)",2435506,Suncus etruscus,LC
2016,12.888151,75.687716,3954.0,,,"Suncus etruscus (Savi, 1822)",2435506,Suncus etruscus,LC
2021,-5.112551,38.610245,211.0,,,"Suncus etruscus (Savi, 1822)",2435506,Suncus etruscus,LC
2013,30.459999,48.25,,,,"Suncus etruscus (Savi, 1822)",2435506,Suncus etruscus,LC
2010,32.720001,35.5,,,,"Suncus etruscus (Savi, 1822)",2435506,Suncus etruscus,LC
2006,31.379999,34.869999,,,,"Suncus etruscus (Savi, 1822)",2435506,Suncus etruscus,LC
2014,37.299999,-6.98,,,,"Suncus etruscus (Savi, 1822)",2435506,Suncus etruscus,LC
2014,37.200001,-6.96,,,,"Suncus etruscus (Savi, 1822)",2435506,Suncus etruscus,LC
2021,43.401249,3.404605,,,,"Suncus etruscus (Savi, 1822)",2435506,Suncus etruscus,LC
2016,39.642698,2.64554,2.0,,,"Suncus etruscus (Savi, 1822)",2435506,Suncus etruscus,LC
2016,32.7,35.275,,,,"Suncus etruscus (Savi, 1822)",2435506,Suncus etruscus,LC
2014,31.03,35.37,,,,"Suncus etruscus (Savi, 1822)",2435506,Suncus etruscus,LC
2014,32.55,34.95,,,,"Suncus etruscus (Savi, 1822)",2435506,Suncus etruscus,LC
2014,30.99,35.36,,,,"Suncus etruscus (Savi, 1822)",2435506,Suncus etruscus,LC
2014,30.99,35.36,,,,"Suncus etruscus (Savi, 1822)",2435506,Suncus etruscus,LC
2003,30.63,34.83,,,,"Suncus etruscus (Savi, 1822)",2435506,Suncus etruscus,LC
2015,32.277,34.949,,,,"Suncus etruscus (Savi, 1822)",2435506,Suncus etruscus,LC
2015,32.277,34.949,,,,"Suncus etruscus (Savi, 1822)",2435506,Suncus etruscus,LC
2015,31.617,35.508,,,,"Suncus etruscus (Savi, 1822)",2435506,Suncus etruscus,LC
2015,31.64,35.41,,,,"Suncus etruscus (Savi, 1822)",2435506,Suncus etruscus,LC
2016,31.713,35.456,,,,"Suncus etruscus (Savi, 1822)",2435506,Suncus etruscus,LC
2018,32.573,35.408,,,,"Suncus etruscus (Savi, 1822)",2435506,Suncus etruscus,LC
2016,32.573,35.408,,,,"Suncus etruscus (Savi, 1822)",2435506,Suncus etruscus,LC
2016,31.713,35.456,,,,"Suncus etruscus (Savi, 1822)",2435506,Suncus etruscus,LC
2015,31.713,35.456,,,,"Suncus etruscus (Savi, 1822)",2435506,Suncus etruscus,LC
2016,32.573,35.408,,,,"Suncus etruscus (Savi, 1822)",2435506,Suncus etruscus,LC
2016,32.573,35.408,,,,"Suncus etruscus (Savi, 1822)",2435506,Suncus etruscus,LC
2016,32.573,35.408,,,,"Suncus etruscus (Savi, 1822)",2435506,Suncus etruscus,LC
2014,32.541,35.429,,,,"Suncus etruscus (Savi, 1822)",2435506,Suncus etruscus,LC
2015,30.955,35.37,,,,"Suncus etruscus (Savi, 1822)",2435506,Suncus etruscus,LC
2016,32.573,35.408,,,,"Suncus etruscus (Savi, 1822)",2435506,Suncus etruscus,LC
2016,32.573,35.408,,,,"Suncus etruscus (Savi, 1822)",2435506,Suncus etruscus,LC
2016,32.573,35.408,,,,"Suncus etruscus (Savi, 1822)",2435506,Suncus etruscus,LC
2016,32.573,35.408,,,,"Suncus etruscus (Savi, 1822)",2435506,Suncus etruscus,LC
2016,32.573,35.408,,,,"Suncus etruscus (Savi, 1822)",2435506,Suncus etruscus,LC
2016,32.586,35.441,,,,"Suncus etruscus (Savi, 1822)",2435506,Suncus etruscus,LC
2016,32.586,35.441,,,,"Suncus etruscus (Savi, 1822)",2435506,Suncus etruscus,LC
2017,30.584,34.618,,,,"Suncus etruscus (Savi, 1822)",2435506,Suncus etruscus,LC
2015,31.64,35.41,,,,"Suncus etruscus (Savi, 1822)",2435506,Suncus etruscus,LC
2015,31.64,35.41,,,,"Suncus etruscus (Savi, 1822)",2435506,Suncus etruscus,LC
2016,32.573,35.408,,,,"Suncus etruscus (Savi, 1822)",2435506,Suncus etruscus,LC
