year,lat,lon,coordinateUncertaintyInMeters,coordinatePrecision,scientificNameID,scientificName,speciesKey,species,iucnRedListCategory
2020,37.028481,-7.815339,1953.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2022,44.815855,7.222577,15.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2021,42.014,2.342,707.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2021,42.022,2.222,707.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2021,41.909,1.68,707.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2021,41.445,2.097,707.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2021,41.997,1.522,707.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2021,41.997,1.51,707.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2021,42.348,2.485,707.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2021,41.92,1.15,707.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2021,42.024,2.463,707.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2021,42.087,1.507,707.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2021,42.016,1.545,707.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2021,41.374,2.17,707.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2020,42.339,2.521,707.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2020,41.373,2.134,707.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2020,41.727,2.526,707.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2018,41.879,0.849,707.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2021,42.27,1.746,707.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2021,40.726,0.84,707.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2021,41.166,0.766,707.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2021,42.642,1.25,707.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2021,41.645,2.358,707.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2021,41.988,1.51,707.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2021,42.282,1.964,707.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2021,42.387,1.695,707.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2021,42.385,3.153,707.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2021,41.998,1.534,707.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2020,42.123,1.494,707.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2021,41.988,1.522,707.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2020,42.33,2.533,707.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2020,42.339,2.485,707.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2020,41.754,2.501,707.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2018,41.554,2.239,707.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2018,41.772,2.465,707.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2018,42.051,0.892,707.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2018,43.25987,0.62443,10.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2012,42.83578,1.59579,25.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2016,43.37745,1.17622,25.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2013,42.70551,2.0286,25.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2014,43.00293,1.49389,25.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2012,43.01259,1.42875,25.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2016,43.05121,1.90179,25.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2019,43.00022,1.34071,25.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2016,42.6426,2.05419,4965.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2015,43.02602,1.61896,25.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2019,43.00058,1.58469,25.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2019,43.00267,1.49418,25.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2015,42.93569,1.94047,25.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2009,43.02985,1.73276,10.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2003,43.0667,0.14798,10.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2015,42.93826,1.93473,25.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2000,42.78443,0.17811,1000.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2007,42.69599,-0.03345,10.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
1998,44.15616,1.717,100.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2007,43.47865,2.74861,4992.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2002,43.02412,0.16535,10.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
1990,43.00263,1.75503,10.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2016,43.04925,-0.13817,10.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2006,44.50912,1.55415,10.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2004,44.15737,1.76831,10.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2004,44.11198,3.14861,10.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2007,42.70373,-0.06407,10.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2000,42.82114,0.1037,10.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2013,42.818,1.80315,1000.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2005,42.87586,0.00054,10.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2018,42.6426,2.05419,4965.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2004,43.79817,2.81917,1000.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2003,43.02412,0.16535,10.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2006,44.61818,1.54836,10.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2004,44.06628,3.04812,10.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
1996,43.02985,1.73276,10.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2007,42.7559,0.06831,100.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2006,44.07076,3.05067,10.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2006,43.96476,2.92734,10.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2018,43.03032,-0.22227,10.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2007,44.95539,1.88263,10.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
1992,43.02985,1.73276,10.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2009,42.88222,0.88639,10.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2013,42.72954,1.80884,1000.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2002,44.07076,3.05067,10.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2017,42.74332,0.23963,1000.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2011,43.47865,2.74861,4992.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2003,42.8563,0.26379,1000.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2019,42.9985,1.32883,10.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
1994,42.97954,1.67271,10.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2006,44.5437,1.48974,1000.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2002,44.11198,3.14861,10.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2016,43.04411,-0.06507,10.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2016,43.04235,-0.07846,10.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2003,42.90466,-0.2125,10.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2007,43.08331,0.96043,10.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2011,43.46814,2.14675,1000.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
1996,42.79259,-0.14017,10.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2007,43.47865,2.74861,4992.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2006,44.61818,1.54836,100.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2006,43.96476,2.92734,10.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2001,42.87722,-0.0159,10.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2019,42.8473,2.21245,3217.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2008,42.74077,0.3001,10.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2019,43.04411,-0.06507,10.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2014,43.00293,1.49389,1000.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
1998,44.15616,1.717,10.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2003,42.88876,-0.03134,10.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2010,43.47865,2.74861,4992.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2003,43.0516,0.14734,10.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2006,44.50912,1.55415,100.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2006,42.9197,1.02979,10.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2008,43.4129,2.14033,10.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
1999,43.02985,1.73276,10.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2004,42.84363,-0.14015,10.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
1996,44.13791,7.23544,1000.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2019,43.04411,-0.06507,10.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2019,42.9985,1.32883,10.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2005,42.69366,2.14681,10.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
1996,42.80767,-0.13678,1000.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2008,43.06785,1.3543,10.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2019,43.45953,2.24275,10.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2004,44.13128,3.18925,10.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2003,42.97568,0.65054,10.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2013,42.82732,1.81529,1000.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
1997,43.06914,1.3552,10.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2003,43.01145,0.6227,10.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2004,42.96184,-0.07288,10.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2009,43.00209,1.70328,10.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2009,43.00209,1.70328,10.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2018,42.96491,1.60471,1000.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2009,43.00804,1.69161,10.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2019,43.66106,3.80563,5000.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2019,43.66106,3.80563,5000.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2021,41.92256,9.39371,1.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2020,42.66453,9.21374,1.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2017,42.91599,0.63676,1000.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2017,42.8886,0.77334,1000.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2015,43.48196,3.67956,5000.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2015,43.54029,3.70272,2477.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2013,41.58819,9.2863,5000.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2009,43.10166,6.1899,18915.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2002,43.10166,6.1899,18915.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2011,43.71364,6.13363,3529.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2002,43.10166,6.1899,18915.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2003,43.10166,6.1899,18915.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2013,41.58819,9.2863,5000.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2011,43.49964,7.01852,5000.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2009,43.10166,6.1899,18915.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2016,45.53159,3.2859,1607.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
1993,43.10166,6.1899,18915.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2008,43.10166,6.1899,18915.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2017,43.42283,2.08468,1000.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2017,43.45647,2.17121,1000.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2017,43.45647,2.17121,1000.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2017,43.42283,2.08468,1000.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2017,43.45647,2.17121,1000.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2017,43.45647,2.17121,1000.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2010,45.23253,5.68437,2168.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2010,45.18221,5.72123,3265.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2010,45.12242,5.6562,3310.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2015,44.71321,4.96042,2902.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
2017,44.05858,5.95229,2851.0,,,"Tadarida teniotis (Rafinesque, 1814)",2433009,Tadarida teniotis,LC
