year,lat,lon,coordinateUncertaintyInMeters,coordinatePrecision,scientificNameID,scientificName,speciesKey,species,iucnRedListCategory
2022,41.098228,-8.557881,4.0,,,"Talpa occidentalis Cabrera, 1907",2436152,Talpa occidentalis,LC
2022,40.494698,-8.681646,8.0,,,"Talpa occidentalis Cabrera, 1907",2436152,Talpa occidentalis,LC
2022,39.807968,-8.774903,9.0,,,"Talpa occidentalis Cabrera, 1907",2436152,Talpa occidentalis,LC
2022,41.321702,-8.651624,27816.0,,,"Talpa occidentalis Cabrera, 1907",2436152,Talpa occidentalis,LC
2022,41.556925,-8.686442,27785.0,,,"Talpa occidentalis Cabrera, 1907",2436152,Talpa occidentalis,LC
2022,40.403208,-7.534383,239.0,,,"Talpa occidentalis Cabrera, 1907",2436152,Talpa occidentalis,LC
2022,40.623782,-8.656416,6.0,,,"Talpa occidentalis Cabrera, 1907",2436152,Talpa occidentalis,LC
2022,40.511148,-8.777925,6.0,,,"Talpa occidentalis Cabrera, 1907",2436152,Talpa occidentalis,LC
2022,40.448344,-8.799692,6.0,,,"Talpa occidentalis Cabrera, 1907",2436152,Talpa occidentalis,LC
2022,43.46023,-6.610544,31.0,,,"Talpa occidentalis Cabrera, 1907",2436152,Talpa occidentalis,LC
2022,41.103683,-8.566092,,,,"Talpa occidentalis Cabrera, 1907",2436152,Talpa occidentalis,LC
2021,38.639055,-9.051858,6.0,,,"Talpa occidentalis Cabrera, 1907",2436152,Talpa occidentalis,LC
2021,39.668232,-8.828661,5.0,,,"Talpa occidentalis Cabrera, 1907",2436152,Talpa occidentalis,LC
2021,42.58925,-8.670228,108.0,,,"Talpa occidentalis Cabrera, 1907",2436152,Talpa occidentalis,LC
2021,39.070689,-7.651247,52.0,,,"Talpa occidentalis Cabrera, 1907",2436152,Talpa occidentalis,LC
2021,38.749527,-9.418431,58.0,,,"Talpa occidentalis Cabrera, 1907",2436152,Talpa occidentalis,LC
2021,38.665287,-9.166627,7.0,,,"Talpa occidentalis Cabrera, 1907",2436152,Talpa occidentalis,LC
2022,41.100147,-8.561585,43.0,,,"Talpa occidentalis Cabrera, 1907",2436152,Talpa occidentalis,LC
2021,40.458333,-8.698889,,,,"Talpa occidentalis Cabrera, 1907",2436152,Talpa occidentalis,LC
2021,40.103584,-7.403842,14.0,,,"Talpa occidentalis Cabrera, 1907",2436152,Talpa occidentalis,LC
2021,39.03287,-9.118887,177.0,,,"Talpa occidentalis Cabrera, 1907",2436152,Talpa occidentalis,LC
2021,41.408325,-8.51248,48.0,,,"Talpa occidentalis Cabrera, 1907",2436152,Talpa occidentalis,LC
2021,42.894455,-6.818044,,,,"Talpa occidentalis Cabrera, 1907",2436152,Talpa occidentalis,LC
2020,40.494108,-3.74817,,,,"Talpa occidentalis Cabrera, 1907",2436152,Talpa occidentalis,LC
2021,42.155102,-7.583982,61.0,,,"Talpa occidentalis Cabrera, 1907",2436152,Talpa occidentalis,LC
2021,43.307244,-8.354767,8.0,,,"Talpa occidentalis Cabrera, 1907",2436152,Talpa occidentalis,LC
2021,41.068635,-3.447467,,,,"Talpa occidentalis Cabrera, 1907",2436152,Talpa occidentalis,LC
2021,40.259533,-3.492067,,,,"Talpa occidentalis Cabrera, 1907",2436152,Talpa occidentalis,LC
2021,41.059051,-3.526781,15.0,,,"Talpa occidentalis Cabrera, 1907",2436152,Talpa occidentalis,LC
2021,43.067997,-6.991139,547.0,,,"Talpa occidentalis Cabrera, 1907",2436152,Talpa occidentalis,LC
2019,42.053325,-8.153918,6.0,,,"Talpa occidentalis Cabrera, 1907",2436152,Talpa occidentalis,LC
2015,41.774298,-8.141338,3656.0,,,"Talpa occidentalis Cabrera, 1907",2436152,Talpa occidentalis,LC
2021,43.279494,-8.306818,15.0,,,"Talpa occidentalis Cabrera, 1907",2436152,Talpa occidentalis,LC
2021,42.499706,-8.006241,188.0,,,"Talpa occidentalis Cabrera, 1907",2436152,Talpa occidentalis,LC
2021,40.520812,-8.774388,2.0,,,"Talpa occidentalis Cabrera, 1907",2436152,Talpa occidentalis,LC
2021,42.07348,-8.363413,8.0,,,"Talpa occidentalis Cabrera, 1907",2436152,Talpa occidentalis,LC
2010,37.200001,-3.72,,,,"Talpa occidentalis Cabrera, 1907",2436152,Talpa occidentalis,LC
2008,37.200001,-3.72,,,,"Talpa occidentalis Cabrera, 1907",2436152,Talpa occidentalis,LC
2010,37.200001,-3.72,,,,"Talpa occidentalis Cabrera, 1907",2436152,Talpa occidentalis,LC
2010,37.200001,-3.72,,,,"Talpa occidentalis Cabrera, 1907",2436152,Talpa occidentalis,LC
2010,37.200001,-3.72,,,,"Talpa occidentalis Cabrera, 1907",2436152,Talpa occidentalis,LC
2021,40.038538,-7.501234,6.0,,,"Talpa occidentalis Cabrera, 1907",2436152,Talpa occidentalis,LC
2021,40.711331,-8.344442,9.0,,,"Talpa occidentalis Cabrera, 1907",2436152,Talpa occidentalis,LC
2021,41.408554,-8.512759,,,,"Talpa occidentalis Cabrera, 1907",2436152,Talpa occidentalis,LC
2020,41.267101,-8.083044,15.0,,,"Talpa occidentalis Cabrera, 1907",2436152,Talpa occidentalis,LC
