year,lat,lon,coordinateUncertaintyInMeters,coordinatePrecision,scientificNameID,scientificName,speciesKey,species,iucnRedListCategory
2020,61.568263,-148.951051,24641.0,,,"Ursus arctos Linnaeus, 1758",2433433,Ursus arctos,LC
2005,60.389927,53.756459,122.0,,,"Ursus arctos Linnaeus, 1758",2433433,Ursus arctos,LC
2019,59.861994,-153.134299,61.0,,,"Ursus arctos Linnaeus, 1758",2433433,Ursus arctos,LC
2019,59.862397,-153.132411,432.0,,,"Ursus arctos Linnaeus, 1758",2433433,Ursus arctos,LC
2019,59.862097,-153.135202,147.0,,,"Ursus arctos Linnaeus, 1758",2433433,Ursus arctos,LC
2019,59.861542,-153.134857,140.0,,,"Ursus arctos Linnaeus, 1758",2433433,Ursus arctos,LC
2019,59.861175,-153.133956,61.0,,,"Ursus arctos Linnaeus, 1758",2433433,Ursus arctos,LC
2019,59.861364,-153.134559,61.0,,,"Ursus arctos Linnaeus, 1758",2433433,Ursus arctos,LC
2019,59.862485,-153.131855,209.0,,,"Ursus arctos Linnaeus, 1758",2433433,Ursus arctos,LC
2019,59.863555,-153.131812,486.0,,,"Ursus arctos Linnaeus, 1758",2433433,Ursus arctos,LC
2019,59.854825,166.10898,50.0,,,"Ursus arctos beringianus Middendorff, 1851",2433433,Ursus arctos,
2019,59.861452,-153.134736,244.0,,,"Ursus arctos Linnaeus, 1758",2433433,Ursus arctos,LC
2019,59.861844,-153.135015,80.0,,,"Ursus arctos Linnaeus, 1758",2433433,Ursus arctos,LC
2021,55.416726,59.938454,25559.0,,,"Ursus arctos Linnaeus, 1758",2433433,Ursus arctos,LC
2019,59.861919,-153.134243,112.0,,,"Ursus arctos Linnaeus, 1758",2433433,Ursus arctos,LC
2021,48.557569,24.092817,3.0,,,"Ursus arctos Linnaeus, 1758",2433433,Ursus arctos,LC
2021,45.383879,23.501706,,,,"Ursus arctos Linnaeus, 1758",2433433,Ursus arctos,LC
2015,63.109207,-151.073349,199405.0,,,"Ursus arctos Linnaeus, 1758",2433433,Ursus arctos,LC
1948,52.63,5.77,1113.0,0.01,,"Ursus arctos Linnaeus, 1758",2433433,Ursus arctos,LC
2021,42.58,1.12,7071.0,,,"Ursus arctos Linnaeus, 1758",2433433,Ursus arctos,LC
2020,42.39,1.0,7071.0,,,"Ursus arctos Linnaeus, 1758",2433433,Ursus arctos,LC
2020,42.75,0.87,7071.0,,,"Ursus arctos Linnaeus, 1758",2433433,Ursus arctos,LC
2020,42.48,1.0,7071.0,,,"Ursus arctos Linnaeus, 1758",2433433,Ursus arctos,LC
2021,42.75,0.75,7071.0,,,"Ursus arctos Linnaeus, 1758",2433433,Ursus arctos,LC
